concept_id|concept_name|concept_code
45612947|Dioctyl Sulfosuccinic Acid, Sodium Salt|D004143
45612948|Dipyrone|D004177
45612949|Disease|D004194
45612950|Dissection|D004210
45612951|Dissociative Disorders|D004213
45612952|Dizziness|D004244
45612953|Dobutamine|D004280
45612954|Dopamine|D004298
45612955|Zinc-DTPA|D004369
45612956|Dyslexia|D004410
45612957|Dysostoses|D004413
45612958|Dyspnea, Paroxysmal|D004418
45612959|Dystocia|D004420
45612960|Dystonia|D004421
45612961|Dystonia Musculorum Deformans|D004422
45612962|Earache|D004433
45612963|Ebstein Anomaly|D004437
45612964|Eclampsia|D004461
45612965|Edrophonium|D004491
45612966|Transcutaneous Electric Nerve Stimulation|D004561
45612967|Electrolysis|D004572
45612968|Embolism|D004617
45612969|Endocrine System Diseases|D004700
45612970|Enteritis, Transmissible, of Turkeys|D004753
45612971|Epilepsy, Temporal Lobe|D004833
45612972|Epispadias|D004842
45612973|Escherichia coli|D004926
45612974|Esophageal Achalasia|D004931
45612975|Esophageal Fistula|D004937
45612976|Esophagoplasty|D004944
45612977|Ethylmorphine|D005036
45612978|Eunuchism|D005058
45612979|Exostoses, Multiple Hereditary|D005097
45612980|Facial Asymmetry|D005146
45612981|Failure to Thrive|D005183
45612982|Fallopian Tube Neoplasms|D005185
45612983|Farmer's Lung|D005203
45612984|Femoral Neck Fractures|D005265
45612985|Fetomaternal Transfusion|D005331
45612986|Fibromatosis, Gingival|D005351
45612987|Financial Audit|D005375
45612988|Firesetting Behavior|D005391
45612989|Flocculation Tests|D005428
45612990|Rehydration, Oral|D005440
45612991|Fluocinonide|D005447
45612992|Flurandrenolone|D005478
45612993|Flushing|D005483
45612994|Folic Acid Deficiency|D005494
45612995|Diet, Elemental|D005526
45612996|UTP-Hexose-1-Phosphate Uridylyltransferase|D005694
45613000|Glaucoma, Open-Angle|D005902
45613001|Glomerulonephritis|D005921
45613002|Glutaral|D005976
45613003|Glycine|D005998
45613004|Licorice|D006035
45613005|Graft vs Host Reaction|D006087
45613006|Granuloma, Laryngeal|D006102
45613007|Haloperidol|D006220
45613008|Hand Deformities, Congenital|D006228
45613009|Hand, Foot and Mouth Disease|D006232
45613010|Rhinitis, Allergic, Seasonal|D006255
45613011|Heart Aneurysm|D006322
45613012|Heart Neoplasms|D006338
45613013|Heartwater Disease|D006357
45613014|Helium|D006371
45613015|Hemangioendothelioma|D006390
45613016|Hemangioma, Cavernous|D006392
45613017|Hematocele|D006398
45613018|Hematology|D006405
45613019|Hematoma, Subdural|D006408
45613020|Hemochromatosis|D006432
45613021|Hemoglobinopathies|D006453
45613022|Hemoptysis|D006469
45613023|Gastrointestinal Hemorrhage|D006471
45613024|Hemorrhagic Fever, Crimean|D006479
45613025|Hemorrhagic Fevers, Viral|D006482
45613026|Hepatic Veno-Occlusive Disease|D006504
45613027|Hepatolenticular Degeneration|D006527
45613028|Hernia, Diaphragmatic|D006548
45613029|Hernia, Inguinal|D006552
45613030|Hernia, Obturator|D006553
45613031|Hernia, Umbilical|D006554
45613032|Hernia, Ventral|D006555
45613033|Heroin Dependence|D006556
45613034|Hesperidin|D006569
45613035|Hexachlorophene|D006582
45613036|Hip Dislocation|D006617
45613037|Hip Dislocation, Congenital|D006618
45613038|Hirschsprung Disease|D006627
45613039|Histoplasmin|D006659
45613040|House Calls|D006792
45613041|Humeral Fractures|D006810
45614471|Postphlebitic Syndrome|D011186
45614472|Potassium Deficiency|D011191
45614473|Precipitin Tests|D011233
45614474|Pregnancy Complications|D011248
45614475|Pregnancy Tests|D011258
45614476|Priapism|D011317
45614477|Proctitis|D011349
45614478|Proctoscopy|D011351
45614479|Progeria|D011371
45614480|Proglumide|D011377
45614481|Propafenone|D011405
45614482|Propantheline|D011413
45614483|Prostitution|D011477
45614484|Protein Hydrolysates|D011492
45614485|Pseudorabies|D011557
45614486|Purpura, Thrombocytopenic|D011696
45614487|Pyrantel|D011715
45614488|Pyridoxine|D011736
45614489|Pyrrolidonecarboxylic Acid|D011761
45614490|Q Fever|D011778
45614491|Quarantine|D011790
45614492|Radiotherapy|D011878
45614493|Rationalization|D011908
45614494|Reality Testing|D011936
45614495|Reflex Sympathetic Dystrophy|D012019
45614496|Rehabilitation, Vocational|D012050
45614497|Residual Volume|D012115
45614498|Respiratory Distress Syndrome, Adult|D012128
45614499|Respiratory Function Tests|D012129
45614500|Respiratory Sounds|D012135
45614501|Respiratory Tract Infections|D012141
45614502|Retroperitoneal Neoplasms|D012186
45614503|Rhinitis, Vasomotor|D012223
45614504|Rhinoplasty|D012225
45614505|Rickets|D012279
45614506|Rickettsialpox|D012288
45614507|Rifampin|D012293
45614508|Rinderpest|D012301
45614509|Rocky Mountain Spotted Fever|D012373
45614510|S-Adenosylmethionine|D012436
45614517|Schizotypal Personality Disorder|D012569
45614518|Secretin|D012633
45614519|Self Administration|D012646
45614520|Senna Extract|D012676
45614521|Sensory Deprivation|D012683
45614522|Serotyping|D012703
45614523|Shock, Cardiogenic|D012770
45614524|Sialadenitis|D012793
45614525|Sigmoidoscopy|D012812
45614526|Signs and Symptoms, Respiratory|D012818
45614527|Simethicone|D012841
45614528|Sister Chromatid Exchange|D012854
45614529|Skin Diseases, Infectious|D012874
45614530|Skin Neoplasms|D012878
45614531|Sleep Apnea Syndromes|D012891
45614532|Social Adjustment|D012917
45614533|Social Isolation|D012934
45614534|Sodium Iodide|D012974
45614535|Potassium Sorbate|D013011
45614536|Soybean Oil|D013024
45614537|Sphingolipidoses|D013106
45614538|Spinal Cord Injuries|D013119
45614539|Spinal Diseases|D013122
45614540|Spinal Puncture|D013129
45614541|Spirochaetales Infections|D013145
45614542|Staphylococcal Scalded Skin Syndrome|D013206
45614543|Staphylococcal Skin Infections|D013207
45614544|Stereotyped Behavior|D013239
45614545|Stomach Rupture|D013275
45614546|Stomach Ulcer|D013276
45614547|Stomach Volvulus|D013277
45614548|Stress Disorders, Post-Traumatic|D013313
45614549|Withdrawal Symptoms|D013375
45614550|Sulfisoxazole|D013444
45614551|Suppressor Mutation|D013489
45614552|Suramin|D013498
45614553|Endocrine Surgical Procedures|D013507
45614554|Pulmonary Surgical Procedures|D013510
45614555|Sweat Gland Neoplasms|D013544
45614556|Synovial Cyst|D013581
45614557|Syphilis, Congenital|D013590
45614558|Tachycardia|D013610
45614559|Tay-Sachs Disease|D013661
45614560|Giant Cell Arteritis|D013700
45614561|Tendon Injuries|D013708
45614562|Terminal Care|D013727
45614563|Testicular Diseases|D013733
45614564|Tetracycline|D013752
45614565|Thiostrepton|D013883
45614566|Thoracoscopy|D013906
45615993|LEOPARD Syndrome|D044542
45615994|Nutrition Therapy|D044623
45615995|Mannosidase Deficiency Diseases|D044904
45615996|Clove Oil|D045783
45615997|Ganglion Cysts|D045888
45615998|Porphyria, Variegate|D046350
45615999|Colitis, Microscopic|D046728
45616000|Colitis, Collagenous|D046729
45616001|Breast Cyst|D047688
45616002|Pneumonia of Calves, Enzootic|D048089
45616003|Bovine Respiratory Disease Complex|D048090
45616004|Muscular Dystrophies, Limb-Girdle|D049288
45616005|Graves Ophthalmopathy|D049970
45616006|Hallux Varus|D050488
45616007|Bunion, Tailor's|D050489
45616008|Palifermin|D051523
45616009|Hyperbilirubinemia, Neonatal|D051556
45616010|Bulimia Nervosa|D052018
45616011|Cephalopelvic Disproportion|D052178
45616012|Tendinitis|D052256
45616013|Lipodystrophy, Congenital Generalized|D052497
45616014|Tarlov Cysts|D052958
45616015|Kirby-Bauer Disk-Diffusion Method|D052978
45616016|Zanamivir|D053243
45616017|Prostatism|D053448
45616018|Pachyonychia Congenita|D053549
45616019|Opsoclonus-Myoclonus Syndrome|D053578
45616020|Lethargy|D053609
45616021|Reversible Posterior Leukoencephalopathy Syndrome|D054038
45616022|Coronary Occlusion|D054059
45616023|Heart Failure, Systolic|D054143
45616024|Lissencephaly, Type 1|D054221
45616025|Vesicular Stomatitis|D054243
45616026|Extranodal NK-T-Cell Lymphoma, Nasal and Nasal-Type|D054391
45616027|Osteophyte|D054850
45616028|Pure Autonomic Failure|D054970
45616029|Drug Users|D055030
45616030|Diet, Gluten-Free|D055050
45616031|Cancer Screening|D055088
45616032|Chronic Periodontitis|D055113
45616033|Dysphonia|D055154
45616034|Nerve Expansion|D055164
45616035|Macrophage Activation Syndrome|D055501
45616036|Keratosis, Actinic|D055623
45616037|Pulmonary Aspergillosis|D055732
45616038|Nevus, Halo|D055882
45616039|Knee-Chest Position|D056446
45616040|Systemic Vasculitis|D056647
45616041|Rheumatoid Vasculitis|D056653
45616042|Propionic Acidemia|D056693
45616043|Monilethrix|D056734
45616044|Netherton Syndrome|D056770
45616045|Binge-Eating Disorder|D056912
45616046|Liddle Syndrome|D056929
45616047|Laryngopharyngeal Reflux|D057045
45616048|Periprosthetic Fractures|D057068
45616049|Cervical Rib|D057070
45616050|Frontotemporal Dementia|D057180
45616051|Body Dysmorphic Disorders|D057215
45616052|Alcoholics|D057229
45616053|Triploidy|D057885
45616054|Kidney Failure, Acute|D058186
45616055|Flea Infestations|D058267
45616056|Asymptomatic Infections|D058345
45616057|Fraser Syndrome|D058497
45616058|Retinal Dystrophies|D058499
45616059|Arthroplasty, Replacement, Ankle|D058737
45616060|Tenotomy|D058971
45616061|Tissue Pain|D059226
45616062|Pregnancy, Quadruplet|D059287
45616063|Abdominal Compartment Syndrome|D059325
45616064|Cardio-Renal Syndrome|D059347
45616065|White Coat Hypertension|D059466
45616066|Foraminotomy|D059526
45616067|Kasabach-Merritt Syndrome|D059885
45616068|Coxa Vara|D060905
45616069|Coxa Valga|D060906
45616070|Trochlear Nerve Injuries|D061247
45616071|Insulin Lispro|D061268
45616072|Lymphoscintigraphy|D061305
45616073|Pasteurization|D061352
45616074|Lopinavir|D061466
45616075|Spinal Cord Stimulation|D062187
45616076|Wound Epithelialization|D062326
45616077|Percutaneous Coronary Intervention|D062645
45616078|Hyoscyamine|D064692
45616079|citiolone|C000486
45616080|bendamustine|C001758
45616081|hydroxyethylcellulose|C002283
45616082|disodium pyrophosphate|C003319
45616083|tritoqualine|C003722
45616084|trofosfamide|C003726
45617522|Uhl anomaly|C536932
45617523|Alopecia epilepsy oligophrenia syndrome of Moynahan|C537052
45617524|Flynn Aird syndrome|C537066
45617525|Ornithine aminotransferase deficiency|C537132
45617526|Nance Sweeney chondrodysplasia|C537141
45617527|Osteoarthropathy of fingers familial|C537144
45617528|Hypocalciuric hypercalcemia, familial, type 1|C537145
45617529|Pancreatoblastoma|C537162
45617530|Pigmented purpuric eruption|C537186
45617531|Hemochromatosis, type 2|C537247
45617532|Vascular purpura|C537256
45617533|Fibrolamellar hepatocellular carcinoma|C537258
45617534|Hereditary pancreatitis|C537262
45617535|Langer mesomelic dysplasia|C537267
45617536|Multifocal fibrosclerosis|C537375
45617537|Bruton type agammaglobulinemia|C537409
45617538|Stewart Treves syndrome|C537491
45617539|Seckel syndrome 1|C537533
45617540|Jansen type metaphyseal chondrodysplasia|C537564
45617541|Jeune syndrome|C537571
45617542|Androblastoma of ovary|C537588
45617543|Severe congenital neutropenia|C537592
45617544|Anotia|C537772
45617545|Gerodermia osteodysplastica|C537799
45617546|18-Hydroxylase deficiency|C537806
45617547|Ocular Albinism type 1|C537863
45617548|Phacomatosis pigmentovascularis|C537894
45617549|Femoral facial syndrome|C537916
45617550|Chromosome 9, partial trisomy 9p|C538026
45617551|Palindromic rheumatism|C538103
45617552|Lacrimoauriculodentodigital syndrome|C538132
45617553|Sucrase-isomaltase deficiency, congenital|C538139
45617554|Acidemia, isovaleric|C538167
45617555|Acquired agranulocytosis|C538171
45617556|Fumarase deficiency|C538191
45617557|Dentinogenesis imperfecta, shields type 3|C538216
45617558|Adenine phosphoribosyltransferase deficiency|C538228
45617559|Amyloidosis, familial visceral|C538249
45617560|Nance-Horan syndrome|C538336
45617561|HHH syndrome|C538380
45617562|Congenital hypertrichosis lanuginosa|C538389
45617563|Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells|C538539
45617564|AbobotulinumtoxinA|C542869
45617565|flavocoxid|C544478
45617566|ivacaftor|C545203
45617567|crofelemer|C546704
45617568|Medullary Cystic Kidney Disease 2|C548033
45617569|vemurafenib|C551177
45617570|gamithromycin|C552399
45617571|epoetin alfa|C554041
45617572|interferon gamma-1b|C554125
45617573|Congenital tracheomalacia|C557675
45617574|isophane insulin, beef-pork|C557864
45617575|vortioxetine|C557874
45617576|regorafenib|C559147
45617577|Melanoma, Cutaneous Malignant|C562393
45617578|Urticaria, Aquagenic|C562481
45617579|Cerebrocostomandibular Syndrome|C562538
45617580|Clavicle, Pseudarthrosis Of, Congenital|C562548
45617581|Prognathism, Mandibular|C562559
45617582|Gallbladder, Agenesis Of|C562564
45617583|Glycogen Storage Disease IB|C562594
45617584|Nephrosialidosis|C562606
45617585|Hyper-Beta-Alaninemia|C562684
45617586|Lysinuric Protein Intolerance|C562687
45617587|Epileptic Encephalopathy, Early Infantile, 3|C562695
45617588|Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans|C562710
45617589|Adrenocortical Hypofunction, Chronic Primary Congenital|C562711
45617590|Nevus, Epidermal|C562736
45617591|Adamantinoma Of Long Bones|C562741
45617592|Immunodysregulation, Polyendocrinopathy, and Enteropathy, X-Linked|C562780
45617593|Folate Malabsorption, Hereditary|C562799
45617594|Glycogen Storage Disease Id|C562806
45617595|Poikiloderma, Hereditary Sclerosing|C562824
45617596|Pulmonary Atresia With Ventricular Septal Defect|C562833
45617597|Aortic Aneurysm, Familial Thoracic 1|C562834
45617598|Congenital Disorder Of Glycosylation, Type I/IIX|C562844
45617599|Vertigo, Benign Recurrent|C562859
45617600|Nephrolithiasis, X-Linked Recessive, with Renal Failure|C562901
45617601|Telangiectasia, Hereditary Benign|C562908
45617602|Opticocochleodentate Degeneration|C563002
45617603|Hypertensive Nephropathy|C563161
45619035|Flumethasone|D005443
45619036|Floxuridine|D005467
45619037|Fluoxymesterone|D005474
45619038|Focal Infection|D005490
45619039|Fowlpox|D005586
45619040|Fox-Fordyce Disease|D005588
45619041|Fractures, Ununited|D005599
45619042|Fuchs' Endothelial Dystrophy|D005642
45619045|Gastritis, Atrophic|D005757
45619046|Genital Neoplasms, Male|D005834
45619047|Giant Cell Tumors|D005870
45619048|Gingival Hemorrhage|D005884
45619049|Gingival Neoplasms|D005887
45619050|Glioma|D005910
45619051|Glomerulosclerosis, Focal Segmental|D005923
45619052|Glossectomy|D005927
45619053|Glucosamine|D005944
45619054|Glycosaminoglycans|D006025
45619055|Glyoxal|D006037
45619056|Goiter|D006042
45619057|Gonadal Dysgenesis|D006059
45619058|Chorionic Gonadotropin|D006063
45619059|Hallux Valgus|D006215
45619060|Hamartoma Syndrome, Multiple|D006223
45619061|Hartnup Disease|D006250
45619062|Craniocerebral Trauma|D006259
45619063|Health Education, Dental|D006267
45619064|Heart Arrest, Induced|D006324
45619065|Cardiac Catheterization|D006328
45619066|Heart Septal Defects|D006343
45619067|Heavy Chain Disease|D006362
45619068|Hematologic Diseases|D006402
45619069|Hemoglobin, Glycosylated|D006442
45619070|Hemoglobin SC Disease|D006450
45619071|Hemoglobinuria|D006456
45619072|Hemophilia A|D006467
45619073|Hemorrhagic Disorders|D006474
45619074|Heparinoids|D006496
45619075|Hepatectomy|D006498
45619076|Hepatitis|D006505
45619077|Hernia, Femoral|D006550
45619078|Herpangina|D006557
45619079|Herpes Genitalis|D006558
45619080|Herpes Labialis|D006560
45619081|Carriers, Genetic|D006579
45619082|Altretamine|D006585
45619083|Hexetidine|D006590
45619084|Adenoma, Sweat Gland|D006607
45619085|Home Care|D006699
45619086|Homeless Persons|D006703
45619087|Hunger|D006815
45619088|Hydranencephaly|D006832
45619089|Hydrofluoric Acid|D006858
45619090|Hydroxychloroquine|D006886
45619091|5-Hydroxytryptophan|D006916
45619092|Hyperinsulinism|D006946
45619093|Hyperprolactinemia|D006966
45619094|Hypertension, Pulmonary|D006976
45619095|Hypertension, Renal|D006977
45619096|Hyperthyroidism|D006980
45619097|Hyperventilation|D006985
45619098|Hypesthesia|D006987
45619099|Hypokalemia|D007008
45619100|Hyponatremia|D007010
45619101|Immunoglobulins|D007136
45619102|Immunologic Tests|D007159
45619103|Infanticide|D007237
45619104|Influenza, Human|D007251
45619105|Injections, Intramuscular|D007273
45619106|Injections, Intravenous|D007275
45619107|Intervertebral Disc Displacement|D007405
45619108|Intestinal Obstruction|D007415
45619109|Iodine|D007455
45619110|Iodipamide|D007458
45619111|Clioquinol|D007464
45619112|Iopanoic Acid|D007480
45619113|Irritable Mood|D007508
45619114|Adenoma, Islet Cell|D007516
45619115|Ivermectin|D007559
45619116|Jaundice, Neonatal|D007567
45619117|Jaw Diseases|D007571
45619118|Jejunal Neoplasms|D007580
45619119|Keratoconjunctivitis Sicca|D007638
45619120|Ketotifen|D007665
45619121|Kidney Diseases|D007674
45619122|Medullary Sponge Kidney|D007691
45619123|Menkes Kinky Hair Syndrome|D007706
45619124|Vulvar Lichen Sclerosus|D007724
45619125|Krukenberg Tumor|D007725
45619126|Kuru|D007729
45619128|Kyasanur Forest Disease|D007733
45619129|Fetal Malpresentation|D007746
45619130|Labor, Induced|D007751
45611929|Noscapine|D009665
45610008|pipoxolan|C000121
45610009|dodecylbenzenesulfonic acid|C001114
45610010|homoharringtonine|C001652
45610011|hypromellose|C002284
45610012|parthenolide|C002669
45610013|sennoside A&B|C002839
45610014|polynoxylin|C003185
45610015|fenethylline|C004518
45610016|dipropylacetamide|C004651
45610017|colistimethate|C004691
45610018|methoxyphenamine|C005157
45610019|methampicillin|C005195
45610020|norpseudoephedrine|C005331
45610021|tramazoline|C005370
45610022|phenacemide|C005396
45610023|efloxate|C005472
45610024|tetrahydrozoline|C005810
45610025|anethole|C006578
45610026|brilliant green|C006798
45610027|butamirate|C006841
45610028|butethamate citrate|C006843
45610029|bovine cartilage extract|C006931
45610030|cetiedil|C006955
45610031|chloroacetate|C006972
45610032|chlorocresol|C006984
45610033|chloroxylenol|C007027
45610034|clomocycline|C007090
45610035|eprazinone|C007608
