id|drug|RxNorm_Preferred_Term|HOI|MedDRA_Preferred_Term|evidence_type|modality|evidence_source_code_id|statistic value|evidence_linkout|statistic_type
15|1308216|Lisinopril|35708603|Pharyngitis|aers_eb05||5|1.9299999475|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
16|1308216|Lisinopril|35406368|Hearing impaired|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
17|1308216|Lisinopril|35406368|Hearing impaired|aers_ebgm||5|0.5429999828|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
18|1308216|Lisinopril|35406368|Hearing impaired|aers_eb05||5|0.273999989|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
19|1308216|Lisinopril|36919212|Sleep disorder due to general medical condition, insomnia type|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
20|1308216|Lisinopril|36919212|Sleep disorder due to general medical condition, insomnia type|aers_ebgm||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
21|1308216|Lisinopril|36919212|Sleep disorder due to general medical condition, insomnia type|aers_eb05||5|0.3720000088|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
22|1308216|Lisinopril|35104405|Hodgkin's disease|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
23|1308216|Lisinopril|35104405|Hodgkin's disease|aers_ebgm||5|0.3779999912|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
24|1308216|Lisinopril|35104405|Hodgkin's disease|aers_eb05||5|0.0850000009|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
25|1308216|Lisinopril|36516872|Torticollis|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
26|1308216|Lisinopril|36516872|Torticollis|aers_ebgm||5|0.3770000041|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
27|1308216|Lisinopril|36516872|Torticollis|aers_eb05||5|0.0850000009|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
28|1308216|Lisinopril|35809130|Flushing|aers_report_count||5|53|https://open.fda.gov/drug/event/reference/|COUNT
29|1308216|Lisinopril|35809130|Flushing|aers_ebgm||5|0.4320000112|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
30|1308216|Lisinopril|35809130|Flushing|aers_eb05||5|0.3429999948|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
31|1308216|Lisinopril|35707732|Pancreatic disorder|aers_report_count||5|8|https://open.fda.gov/drug/event/reference/|COUNT
32|1308216|Lisinopril|35707732|Pancreatic disorder|aers_ebgm||5|1.2000000477|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
33|1308216|Lisinopril|35707732|Pancreatic disorder|aers_eb05||5|0.6629999876|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
34|1308216|Lisinopril|36110700|Pharyngeal abscess|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
35|1308216|Lisinopril|36110700|Pharyngeal abscess|aers_ebgm||5|1.0800000429|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
36|1308216|Lisinopril|36110700|Pharyngeal abscess|aers_eb05||5|0.2440000027|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
37|1308216|Lisinopril|36313476|White blood cell count decreased|aers_report_count||5|16|https://open.fda.gov/drug/event/reference/|COUNT
38|1308216|Lisinopril|36313476|White blood cell count decreased|aers_ebgm||5|0.2029999942|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
39|1308216|Lisinopril|36313476|White blood cell count decreased|aers_eb05||5|0.1330000013|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
40|1308216|Lisinopril|36818660|Breech presentation|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
41|1308216|Lisinopril|36818660|Breech presentation|aers_ebgm||5|3.2999999523|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
42|1308216|Lisinopril|36818660|Breech presentation|aers_eb05||5|1.5499999523|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
43|1308216|Lisinopril|37320098|Actinic keratosis|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
44|1308216|Lisinopril|37320098|Actinic keratosis|aers_ebgm||5|0.72299999|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
45|1308216|Lisinopril|37320098|Actinic keratosis|aers_eb05||5|0.2319999933|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
46|1308216|Lisinopril|35205384|Dressler's syndrome|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
47|1308216|Lisinopril|35205384|Dressler's syndrome|aers_ebgm||5|1.0399999619|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
48|1308216|Lisinopril|35205384|Dressler's syndrome|aers_eb05||5|0.2349999994|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
49|1308216|Lisinopril|35204982|Ventricular flutter|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
50|1308216|Lisinopril|35204982|Ventricular flutter|aers_ebgm||5|0.9049999714|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
51|1308216|Lisinopril|35204982|Ventricular flutter|aers_eb05||5|0.2049999982|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
52|1308216|Lisinopril|35707651|Tooth fracture|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
53|1308216|Lisinopril|35707651|Tooth fracture|aers_ebgm||5|0.2160000056|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
54|1308216|Lisinopril|35707651|Tooth fracture|aers_eb05||5|0.0489999987|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
55|1308216|Lisinopril|35205189|Myocardial infarction|aers_report_count||5|199|https://open.fda.gov/drug/event/reference/|COUNT
56|1308216|Lisinopril|35205189|Myocardial infarction|aers_ebgm||5|0.5289999843|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
57|1308216|Lisinopril|35205189|Myocardial infarction|aers_eb05||5|0.4699999988|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
58|1308216|Lisinopril|35708128|Irritable bowel syndrome|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
59|1308216|Lisinopril|35708128|Irritable bowel syndrome|aers_ebgm||5|0.5929999948|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
60|1308216|Lisinopril|35708128|Irritable bowel syndrome|aers_eb05||5|0.2980000079|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
61|1308216|Lisinopril|36110253|Pharyngitis streptococcal|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
62|1308216|Lisinopril|36110253|Pharyngitis streptococcal|aers_ebgm||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
63|1308216|Lisinopril|36110253|Pharyngitis streptococcal|aers_eb05||5|0.5040000081|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
64|1308216|Lisinopril|36416593|Hyperkalaemia|aers_report_count||5|1066|https://open.fda.gov/drug/event/reference/|COUNT
65|1308216|Lisinopril|36416593|Hyperkalaemia|aers_ebgm||5|13.5|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
66|1308216|Lisinopril|36416593|Hyperkalaemia|aers_eb05||5|12.8999996185|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
67|1308216|Lisinopril|35104161|Coagulopathy|aers_report_count||5|20|https://open.fda.gov/drug/event/reference/|COUNT
68|1308216|Lisinopril|35104161|Coagulopathy|aers_ebgm||5|0.5230000019|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
69|1308216|Lisinopril|35104161|Coagulopathy|aers_eb05||5|0.3589999974|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
70|1308216|Lisinopril|35506542|Endocrine disorder|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
71|1308216|Lisinopril|35506542|Endocrine disorder|aers_ebgm||5|0.6610000134|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
72|1308216|Lisinopril|35506542|Endocrine disorder|aers_eb05||5|0.150000006|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
73|1308216|Lisinopril|35606964|Eye pain|aers_report_count||5|28|https://open.fda.gov/drug/event/reference/|COUNT
74|1308216|Lisinopril|35606964|Eye pain|aers_ebgm||5|0.3950000107|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
75|1308216|Lisinopril|35606964|Eye pain|aers_eb05||5|0.2870000005|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
76|1308216|Lisinopril|35708567|Oral disorder|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
77|1308216|Lisinopril|35708567|Oral disorder|aers_ebgm||5|0.8090000153|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
78|1308216|Lisinopril|35708567|Oral disorder|aers_eb05||5|0.4079999924|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
79|1308216|Lisinopril|35708044|Colitis ulcerative|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
80|1308216|Lisinopril|35708044|Colitis ulcerative|aers_ebgm||5|0.3560000062|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
81|1308216|Lisinopril|35708044|Colitis ulcerative|aers_eb05||5|0.1679999977|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
82|1308216|Lisinopril|36110837|Human ehrlichiosis|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
83|1308216|Lisinopril|36110837|Human ehrlichiosis|aers_ebgm||5|1.1599999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
84|1308216|Lisinopril|36110837|Human ehrlichiosis|aers_eb05||5|0.2619999945|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
85|1308216|Lisinopril|35104113|Pancytopenia|aers_report_count||5|35|https://open.fda.gov/drug/event/reference/|COUNT
86|1308216|Lisinopril|35104113|Pancytopenia|aers_ebgm||5|0.3779999912|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
87|1308216|Lisinopril|35104113|Pancytopenia|aers_eb05||5|0.2849999964|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
88|1308216|Lisinopril|35708083|Oesophagitis|aers_report_count||5|21|https://open.fda.gov/drug/event/reference/|COUNT
89|1308216|Lisinopril|35708083|Oesophagitis|aers_ebgm||5|0.5809999704|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
90|1308216|Lisinopril|35708083|Oesophagitis|aers_eb05||5|0.40200001|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
91|1308216|Lisinopril|35708176|Hiccups|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
92|1308216|Lisinopril|35708176|Hiccups|aers_ebgm||5|0.4070000052|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
93|1308216|Lisinopril|35708176|Hiccups|aers_eb05||5|0.2049999982|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
94|1308216|Lisinopril|35205064|Aortic valve incompetence|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
95|1308216|Lisinopril|35205064|Aortic valve incompetence|aers_ebgm||5|0.47299999|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
96|1308216|Lisinopril|35205064|Aortic valve incompetence|aers_eb05||5|0.2240000069|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
97|1308216|Lisinopril|35707869|Melaena|aers_report_count||5|22|https://open.fda.gov/drug/event/reference/|COUNT
98|1308216|Lisinopril|35707869|Melaena|aers_ebgm||5|0.349999994|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
99|1308216|Lisinopril|35707869|Melaena|aers_eb05||5|0.2440000027|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
100|1308216|Lisinopril|35909435|Biliary tract disorder|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
101|1308216|Lisinopril|35909435|Biliary tract disorder|aers_ebgm||5|1.2000000477|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
102|1308216|Lisinopril|35909435|Biliary tract disorder|aers_eb05||5|0.5669999719|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
103|1308216|Lisinopril|35708050|Gastritis|aers_report_count||5|34|https://open.fda.gov/drug/event/reference/|COUNT
104|1308216|Lisinopril|35708050|Gastritis|aers_ebgm||5|0.7340000272|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
105|1308216|Lisinopril|35708050|Gastritis|aers_eb05||5|0.550999999|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
106|1308216|Lisinopril|35104323|Leukaemia|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
107|1308216|Lisinopril|35104323|Leukaemia|aers_ebgm||5|0.3409999907|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
108|1308216|Lisinopril|35104323|Leukaemia|aers_eb05||5|0.1319999993|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
109|1308216|Lisinopril|35205067|Aortic valve stenosis|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
110|1308216|Lisinopril|35205067|Aortic valve stenosis|aers_ebgm||5|1.4900000095|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
111|1308216|Lisinopril|35205067|Aortic valve stenosis|aers_eb05||5|0.851000011|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
112|1308216|Lisinopril|35909441|Cholecystitis|aers_report_count||5|23|https://open.fda.gov/drug/event/reference/|COUNT
113|1308216|Lisinopril|35909441|Cholecystitis|aers_ebgm||5|1.1299999952|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
114|1308216|Lisinopril|35909441|Cholecystitis|aers_eb05||5|0.7979999781|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
115|1308216|Lisinopril|35104397|Myelodysplastic syndrome|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
116|1308216|Lisinopril|35104397|Myelodysplastic syndrome|aers_ebgm||5|0.3330000043|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
117|1308216|Lisinopril|35104397|Myelodysplastic syndrome|aers_eb05||5|0.1669999957|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
118|1308216|Lisinopril|35607485|Visual impairment|aers_report_count||5|96|https://open.fda.gov/drug/event/reference/|COUNT
119|1308216|Lisinopril|35607485|Visual impairment|aers_ebgm||5|0.7689999938|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
120|1308216|Lisinopril|35607485|Visual impairment|aers_eb05||5|0.648999989|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
121|1308216|Lisinopril|36313585|Hepatic enzyme increased|aers_report_count||5|17|https://open.fda.gov/drug/event/reference/|COUNT
122|1308216|Lisinopril|36313585|Hepatic enzyme increased|aers_ebgm||5|0.4799999893|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
123|1308216|Lisinopril|36313585|Hepatic enzyme increased|aers_eb05||5|0.3190000057|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
124|1308216|Lisinopril|35104856|Leukocytosis|aers_report_count||5|45|https://open.fda.gov/drug/event/reference/|COUNT
125|1308216|Lisinopril|35104856|Leukocytosis|aers_ebgm||5|0.7860000134|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
126|1308216|Lisinopril|35104856|Leukocytosis|aers_eb05||5|0.6119999886|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
127|1308216|Lisinopril|36110555|Localised infection|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
128|1308216|Lisinopril|36110555|Localised infection|aers_ebgm||5|0.3910000026|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
129|1308216|Lisinopril|36110555|Localised infection|aers_eb05||5|0.1700000018|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
130|1308216|Lisinopril|36919118|Mental status changes|aers_report_count||5|56|https://open.fda.gov/drug/event/reference/|COUNT
131|1308216|Lisinopril|36919118|Mental status changes|aers_ebgm||5|1.4199999571|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
132|1308216|Lisinopril|36919118|Mental status changes|aers_eb05||5|1.1399999857|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
133|1308216|Lisinopril|35607035|Conjunctivitis infective|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
134|1308216|Lisinopril|35607035|Conjunctivitis infective|aers_ebgm||5|0.7850000262|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
135|1308216|Lisinopril|35607035|Conjunctivitis infective|aers_eb05||5|0.1780000031|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
136|1308216|Lisinopril|35104691|Thrombocytopenia|aers_report_count||5|106|https://open.fda.gov/drug/event/reference/|COUNT
137|1308216|Lisinopril|35104691|Thrombocytopenia|aers_ebgm||5|0.423999995|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
138|1308216|Lisinopril|35104691|Thrombocytopenia|aers_eb05||5|0.3600000143|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
139|1308216|Lisinopril|35607265|Eyelid ptosis|aers_report_count||5|8|https://open.fda.gov/drug/event/reference/|COUNT
140|1308216|Lisinopril|35607265|Eyelid ptosis|aers_ebgm||5|0.7649999857|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
141|1308216|Lisinopril|35607265|Eyelid ptosis|aers_eb05||5|0.4219999909|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
142|1308216|Lisinopril|36316089|Chest X-ray abnormal|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
143|1308216|Lisinopril|36316089|Chest X-ray abnormal|aers_ebgm||5|0.5149999857|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
144|1308216|Lisinopril|36316089|Chest X-ray abnormal|aers_eb05||5|0.2590000033|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
145|1308216|Lisinopril|35204912|Bundle branch block right|aers_report_count||5|22|https://open.fda.gov/drug/event/reference/|COUNT
146|1308216|Lisinopril|35204912|Bundle branch block right|aers_ebgm||5|1.9099999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
147|1308216|Lisinopril|35204912|Bundle branch block right|aers_eb05||5|1.3300000429|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
148|1308216|Lisinopril|36617644|Ovarian cancer|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
149|1308216|Lisinopril|36617644|Ovarian cancer|aers_ebgm||5|0.2189999968|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
150|1308216|Lisinopril|36617644|Ovarian cancer|aers_eb05||5|0.0500000007|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
151|1308216|Lisinopril|36718422|Dysphonia|aers_report_count||5|93|https://open.fda.gov/drug/event/reference/|COUNT
152|1308216|Lisinopril|36718422|Dysphonia|aers_ebgm||5|1.8200000525|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
153|1308216|Lisinopril|36718422|Dysphonia|aers_eb05||5|1.5299999714|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
154|1308216|Lisinopril|37420510|Bedridden|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
155|1308216|Lisinopril|37420510|Bedridden|aers_ebgm||5|0.2680000067|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
156|1308216|Lisinopril|37420510|Bedridden|aers_eb05||5|0.0860000029|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
157|1308216|Lisinopril|35707649|Tooth disorder|aers_report_count||5|11|https://open.fda.gov/drug/event/reference/|COUNT
158|1308216|Lisinopril|35707649|Tooth disorder|aers_ebgm||5|0.4930000007|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
159|1308216|Lisinopril|35707649|Tooth disorder|aers_eb05||5|0.2960000038|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
160|1308216|Lisinopril|35607050|Corneal oedema|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
161|1308216|Lisinopril|35607050|Corneal oedema|aers_ebgm||5|0.4329999983|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
162|1308216|Lisinopril|35607050|Corneal oedema|aers_eb05||5|0.0979999974|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
163|1308216|Lisinopril|36718098|Trigeminal neuralgia|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
164|1308216|Lisinopril|36718098|Trigeminal neuralgia|aers_ebgm||5|0.6190000176|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
165|1308216|Lisinopril|36718098|Trigeminal neuralgia|aers_eb05||5|0.199000001|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
166|1308216|Lisinopril|35204963|Supraventricular tachycardia|aers_report_count||5|18|https://open.fda.gov/drug/event/reference/|COUNT
167|1308216|Lisinopril|35204963|Supraventricular tachycardia|aers_ebgm||5|0.7540000081|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
168|1308216|Lisinopril|35204963|Supraventricular tachycardia|aers_eb05||5|0.5070000291|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
169|1308216|Lisinopril|35205233|Hepatic congestion|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
170|1308216|Lisinopril|35205233|Hepatic congestion|aers_ebgm||5|0.7609999776|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
171|1308216|Lisinopril|35205233|Hepatic congestion|aers_eb05||5|0.2939999998|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
172|1308216|Lisinopril|35104281|Haemolytic anaemia|aers_report_count||5|24|https://open.fda.gov/drug/event/reference/|COUNT
173|1308216|Lisinopril|35104281|Haemolytic anaemia|aers_ebgm||5|0.8769999743|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
174|1308216|Lisinopril|35104281|Haemolytic anaemia|aers_eb05||5|0.621999979|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
175|1308216|Lisinopril|36516833|Myositis|aers_report_count||5|10|https://open.fda.gov/drug/event/reference/|COUNT
176|1308216|Lisinopril|36516833|Myositis|aers_ebgm||5|0.4449999928|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
177|1308216|Lisinopril|36516833|Myositis|aers_eb05||5|0.2610000074|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
178|1308216|Lisinopril|36516958|Neck pain|aers_report_count||5|42|https://open.fda.gov/drug/event/reference/|COUNT
179|1308216|Lisinopril|36516958|Neck pain|aers_ebgm||5|0.9330000281|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
180|1308216|Lisinopril|36516958|Neck pain|aers_eb05||5|0.7200000286|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
181|1308216|Lisinopril|35305538|Ear malformation|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
182|1308216|Lisinopril|35305538|Ear malformation|aers_ebgm||5|2.8199999332|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
183|1308216|Lisinopril|35305538|Ear malformation|aers_eb05||5|1.2200000286|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
184|1308216|Lisinopril|35205383|Cardiac tamponade|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
185|1308216|Lisinopril|35205383|Cardiac tamponade|aers_ebgm||5|0.6290000081|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
186|1308216|Lisinopril|35205383|Cardiac tamponade|aers_eb05||5|0.273999989|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
187|1308216|Lisinopril|35809044|Temperature regulation disorder|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
188|1308216|Lisinopril|35809044|Temperature regulation disorder|aers_ebgm||5|0.8360000253|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
189|1308216|Lisinopril|35809044|Temperature regulation disorder|aers_eb05||5|0.1889999956|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
190|1308216|Lisinopril|35104306|Jaundice|aers_report_count||5|53|https://open.fda.gov/drug/event/reference/|COUNT
191|1308216|Lisinopril|35104306|Jaundice|aers_ebgm||5|0.6060000062|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
