id|drug|RxNorm_Preferred_term|HOI|MedDRA_Preferred_Term
1308216-36416501|1308216|Lisinopril|36416501|Respiratory failure
1308216-35204903|1308216|Lisinopril|35204903|Atrioventricular block complete
1308216-36315486|1308216|Lisinopril|36315486|C-reactive protein increased
1308216-35607312|1308216|Lisinopril|35607312|Pupils unequal
1308216-35607495|1308216|Lisinopril|35607495|Optic neuropathy
1308216-36818651|1308216|Lisinopril|36818651|Hydrops foetalis
1308216-36617206|1308216|Lisinopril|36617206|Seborrhoeic keratosis
1308216-35205038|1308216|Lisinopril|35205038|Dyspnoea
1308216-35104218|1308216|Lisinopril|35104218|Transfusion reaction
1308216-35406361|1308216|Lisinopril|35406361|Deafness neurosensory
1308216-37019320|1308216|Lisinopril|37019320|Renal failure chronic
1308216-37320287|1308216|Lisinopril|37320287|Ingrowing nail
1308216-37520627|1308216|Lisinopril|37520627|Internal fixation of fracture
1308216-35708093|1308216|Lisinopril|35708093|Diarrhoea
1308216-35708302|1308216|Lisinopril|35708302|Intestinal perforation
1308216-37622385|1308216|Lisinopril|37622385|Aortic aneurysm rupture
1308216-36918926|1308216|Lisinopril|36918926|Reading disorder
1308216-35809104|1308216|Lisinopril|35809104|Gait disturbance
1308216-35104378|1308216|Lisinopril|35104378|Chronic myeloid leukaemia
1308216-37320143|1308216|Lisinopril|37320143|Eczema
1308216-35707552|1308216|Lisinopril|35707552|Anal fissure
1308216-35708156|1308216|Lisinopril|35708156|Abdominal pain upper
1308216-37522104|1308216|Lisinopril|37522104|Radiotherapy
1308216-36617436|1308216|Lisinopril|36617436|Renal cyst
1308216-36718569|1308216|Lisinopril|36718569|Poor quality sleep
1308216-37119612|1308216|Lisinopril|37119612|Prostatic disorder
1308216-36211263|1308216|Lisinopril|36211263|Muscle strain
1308216-36110248|1308216|Lisinopril|36110248|Erysipelas
1308216-35809059|1308216|Lisinopril|35809059|Death
1308216-35809091|1308216|Lisinopril|35809091|Hunger
1308216-36918918|1308216|Lisinopril|36918918|Attention deficit/hyperactivity disorder
1308216-36718259|1308216|Lisinopril|36718259|Parkinsonism
1308216-35708372|1308216|Lisinopril|35708372|Steatorrhoea
1308216-36009857|1308216|Lisinopril|36009857|Sarcoidosis
1308216-36211109|1308216|Lisinopril|36211109|Pelvic fracture
1308216-35305969|1308216|Lisinopril|35305969|Skull malformation
1308216-36211227|1308216|Lisinopril|36211227|Asbestosis
1308216-36110099|1308216|Lisinopril|36110099|Clostridial infection
1308216-36416680|1308216|Lisinopril|36416680|Metabolic disorder
1308216-36516877|1308216|Lisinopril|36516877|Pelvic floor muscle weakness
1308216-36517122|1308216|Lisinopril|36517122|Bursitis
1308216-35708636|1308216|Lisinopril|35708636|Aphthous stomatitis
1308216-35104871|1308216|Lisinopril|35104871|Lymphopenia
1308216-36316304|1308216|Lisinopril|36316304|Toxicologic test abnormal
1308216-36718220|1308216|Lisinopril|36718220|Dystonia
1308216-36211065|1308216|Lisinopril|36211065|Fracture
1308216-37019334|1308216|Lisinopril|37019334|Kidney small
1308216-35707547|1308216|Lisinopril|35707547|Umbilical hernia
1308216-35707572|1308216|Lisinopril|35707572|Proctalgia
1308216-35205062|1308216|Lisinopril|35205062|Aortic valve disease
1308216-35205094|1308216|Lisinopril|35205094|Mitral valve incompetence
1308216-35406429|1308216|Lisinopril|35406429|Otitis media
1308216-35506654|1308216|Lisinopril|35506654|Hypopituitarism
1308216-35708155|1308216|Lisinopril|35708155|Abdominal pain lower
1308216-35607294|1308216|Lisinopril|35607294|Strabismus
1308216-36918968|1308216|Lisinopril|36918968|Delusion
1308216-35506454|1308216|Lisinopril|35506454|Primary hyperaldosteronism
1308216-35104065|1308216|Lisinopril|35104065|Anaemia folate deficiency
1308216-37019293|1308216|Lisinopril|37019293|Nephritis
1308216-35305965|1308216|Lisinopril|35305965|Microcephaly
1308216-35406373|1308216|Lisinopril|35406373|Sudden hearing loss
1308216-36312750|1308216|Lisinopril|36312750|Scan abdomen abnormal
1308216-35708256|1308216|Lisinopril|35708256|Volvulus
1308216-35809098|1308216|Lisinopril|35809098|Thirst
1308216-35708394|1308216|Lisinopril|35708394|Gastrointestinal neoplasm
1308216-35406423|1308216|Lisinopril|35406423|Otosclerosis
1308216-36211273|1308216|Lisinopril|36211273|Nerve injury
1308216-37320223|1308216|Lisinopril|37320223|Decubitus ulcer
1308216-35707630|1308216|Lisinopril|35707630|Periodontitis
1308216-35707561|1308216|Lisinopril|35707561|Anorectal disorder
1308216-36110736|1308216|Lisinopril|36110736|Urinary tract infection
1308216-36919235|1308216|Lisinopril|36919235|Suicidal ideation
1308216-37019379|1308216|Lisinopril|37019379|Urethral stenosis
1308216-37019411|1308216|Lisinopril|37019411|Urine flow decreased
1308216-37320185|1308216|Lisinopril|37320185|Pityriasis rosea
1308216-35406364|1308216|Lisinopril|35406364|Deafness transitory
1308216-35104179|1308216|Lisinopril|35104179|Leukocytoclastic vasculitis
1308216-35708417|1308216|Lisinopril|35708417|Colon cancer
1308216-35205241|1308216|Lisinopril|35205241|Cardiac failure acute
1308216-35104315|1308216|Lisinopril|35104315|Hereditary spherocytosis
1308216-36617222|1308216|Lisinopril|36617222|Metastases to kidney
1308216-37019440|1308216|Lisinopril|37019440|Proteinuria
1308216-35104783|1308216|Lisinopril|35104783|Hypersplenism
1308216-35708628|1308216|Lisinopril|35708628|Oropharyngeal pain
1308216-35809243|1308216|Lisinopril|35809243|Pain
1308216-35406443|1308216|Lisinopril|35406443|Tympanic membrane perforation
1308216-36918860|1308216|Lisinopril|36918860|Nervousness
1308216-37019343|1308216|Lisinopril|37019343|Renal aneurysm
1308216-35205112|1308216|Lisinopril|35205112|Tricuspid valve disease
1308216-36009829|1308216|Lisinopril|36009829|Polymyositis
1308216-36718137|1308216|Lisinopril|36718137|Tension headache
1308216-35205202|1308216|Lisinopril|35205202|Endocarditis bacterial
1308216-35506541|1308216|Lisinopril|35506541|Renal papillary necrosis
1308216-35708100|1308216|Lisinopril|35708100|Constipation
1308216-35708122|1308216|Lisinopril|35708122|Cardiospasm
1308216-35104351|1308216|Lisinopril|35104351|Acute myeloid leukaemia
1308216-35909645|1308216|Lisinopril|35909645|Bile duct cancer
1308216-35708136|1308216|Lisinopril|35708136|Abdominal mass
1308216-35607414|1308216|Lisinopril|35607414|Retinal haemorrhage
1308216-35708054|1308216|Lisinopril|35708054|Gastritis haemorrhagic
1308216-35104740|1308216|Lisinopril|35104740|Lymphadenitis
1308216-35809236|1308216|Lisinopril|35809236|Facial pain
1308216-35506636|1308216|Lisinopril|35506636|Hypoglycaemia
1308216-35607431|1308216|Lisinopril|35607431|Retinopathy hypertensive
1308216-35809395|1308216|Lisinopril|35809395|Calcinosis
1308216-35205001|1308216|Lisinopril|35205001|Heart disease congenital
1308216-35607096|1308216|Lisinopril|35607096|Eyelid oedema
1308216-35707653|1308216|Lisinopril|35707653|Tooth injury
1308216-35707804|1308216|Lisinopril|35707804|Female genital tract fistula
1308216-37420513|1308216|Lisinopril|37420513|Cardiac assistance device user
1308216-35305584|1308216|Lisinopril|35305584|Corneal dystrophy
1308216-35305703|1308216|Lisinopril|35305703|Congenital oral malformation
1308216-35506630|1308216|Lisinopril|35506630|Impaired fasting glucose
1308216-35104693|1308216|Lisinopril|35104693|Thrombocytopenic purpura
1308216-35104812|1308216|Lisinopril|35104812|Splenomegaly
1308216-35707960|1308216|Lisinopril|35707960|Gastrointestinal infection
1308216-35306249|1308216|Lisinopril|35306249|Pulmonary hypoplasia
1308216-36211426|1308216|Lisinopril|36211426|Heat exhaustion
1308216-36009757|1308216|Lisinopril|36009757|Anaphylactic shock
1308216-36110978|1308216|Lisinopril|36110978|Progressive multifocal leukoencephalopathy
1308216-35305493|1308216|Lisinopril|35305493|Congenital anomaly
1308216-35506663|1308216|Lisinopril|35506663|Galactorrhoea
1308216-36009708|1308216|Lisinopril|36009708|Erythema nodosum
1308216-36009958|1308216|Lisinopril|36009958|Immunodeficiency common variable
1308216-35104684|1308216|Lisinopril|35104684|Autoimmune thrombocytopenia
1308216-35204938|1308216|Lisinopril|35204938|Neonatal tachycardia
1308216-35205272|1308216|Lisinopril|35205272|Cardiomyopathy
1308216-35607340|1308216|Lisinopril|35607340|Optic atrophy
1308216-36110581|1308216|Lisinopril|36110581|Wound infection
1308216-35305512|1308216|Lisinopril|35305512|Multiple congenital abnormalities
1308216-35406394|1308216|Lisinopril|35406394|Vertigo positional
1308216-35607161|1308216|Lisinopril|35607161|Retinal vasculitis
1308216-36110335|1308216|Lisinopril|36110335|Candidiasis
1308216-36718486|1308216|Lisinopril|36718486|Tarsal tunnel syndrome
1308216-36313741|1308216|Lisinopril|36313741|Prostatic specific antigen increased
1308216-35708031|1308216|Lisinopril|35708031|Peritonitis bacterial
1308216-35809225|1308216|Lisinopril|35809225|Oedema
1308216-36312070|1308216|Lisinopril|36312070|Blood pressure decreased
1308216-36516726|1308216|Lisinopril|36516726|Bone cyst
1308216-35506754|1308216|Lisinopril|35506754|Tetany
1308216-36718179|1308216|Lisinopril|36718179|Cognitive disorder
1308216-35104364|1308216|Lisinopril|35104364|Chronic lymphocytic leukaemia
1308216-35406358|1308216|Lisinopril|35406358|Conductive deafness
1308216-35606965|1308216|Lisinopril|35606965|Eye swelling
1308216-35607013|1308216|Lisinopril|35607013|Optic ischaemic neuropathy
1308216-36416652|1308216|Lisinopril|36416652|Lipodystrophy acquired
1308216-36717994|1308216|Lisinopril|36717994|Cerebral artery embolism
1308216-35708174|1308216|Lisinopril|35708174|Faecal incontinence
1308216-36211465|1308216|Lisinopril|36211465|Incorrect dose administered
1308216-35909615|1308216|Lisinopril|35909615|Hepatitis alcoholic
1308216-36110532|1308216|Lisinopril|36110532|Vulvitis
1308216-35607434|1308216|Lisinopril|35607434|Amblyopia
1308216-36617565|1308216|Lisinopril|36617565|Cervix carcinoma
1308216-36718141|1308216|Lisinopril|36718141|Migraine
1308216-36009951|1308216|Lisinopril|36009951|Immunodeficiency
1308216-36110691|1308216|Lisinopril|36110691|Epiglottitis
1308216-35607031|1308216|Lisinopril|35607031|Conjunctivitis
1308216-35707916|1308216|Lisinopril|35707916|Gastroenteritis clostridial
1308216-36211311|1308216|Lisinopril|36211311|Road traffic accident
1308216-36416584|1308216|Lisinopril|36416584|Electrolyte imbalance
1308216-36718449|1308216|Lisinopril|36718449|Urinary incontinence
1308216-36718313|1308216|Lisinopril|36718313|Apallic syndrome
1308216-36110154|1308216|Lisinopril|36110154|Pneumonia legionella
1308216-36718476|1308216|Lisinopril|36718476|Peripheral nerve lesion
1308216-36918858|1308216|Lisinopril|36918858|Anxiety
1308216-36314400|1308216|Lisinopril|36314400|Bacterial test positive
1308216-36516930|1308216|Lisinopril|36516930|Scoliosis
1308216-36617155|1308216|Lisinopril|36617155|Breast cyst
1308216-37019425|1308216|Lisinopril|37019425|Haematuria
1308216-36718130|1308216|Lisinopril|36718130|Cluster headache
1308216-35909564|1308216|Lisinopril|35909564|Portal hypertension
1308216-37320281|1308216|Lisinopril|37320281|Hidradenitis
1308216-37119469|1308216|Lisinopril|37119469|Breast disorder
1308216-36517123|1308216|Lisinopril|36517123|Synovial cyst
1308216-35707930|1308216|Lisinopril|35707930|Gastroenteritis viral
1308216-35707654|1308216|Lisinopril|35707654|Tooth resorption
1308216-35708139|1308216|Lisinopril|35708139|Dyspepsia
1308216-36718563|1308216|Lisinopril|36718563|Hypersomnia
1308216-36918945|1308216|Lisinopril|36918945|Major depression
1308216-36110229|1308216|Lisinopril|36110229|Staphylococcal infection
1308216-36211222|1308216|Lisinopril|36211222|Subdural haematoma
1308216-36211347|1308216|Lisinopril|36211347|Renal injury
1308216-36718304|1308216|Lisinopril|36718304|Dyslexia
1308216-36110590|1308216|Lisinopril|36110590|Lung abscess
1308216-36516909|1308216|Lisinopril|36516909|Sciatica
1308216-36009915|1308216|Lisinopril|36009915|Temporal arteritis
1308216-36211237|1308216|Lisinopril|36211237|Haemothorax
1308216-35205258|1308216|Lisinopril|35205258|Pulmonary congestion
1308216-35506582|1308216|Lisinopril|35506582|Hirsutism
1308216-35204913|1308216|Lisinopril|35204913|Conduction disorder
1308216-35708159|1308216|Lisinopril|35708159|Abdominal tenderness
1308216-36416718|1308216|Lisinopril|36416718|Nicotinic acid deficiency
1308216-36718235|1308216|Lisinopril|36718235|Paralysis
1308216-36718092|1308216|Lisinopril|36718092|Olfactory nerve disorder
1308216-36211190|1308216|Lisinopril|36211190|Toxic encephalopathy
1308216-35506788|1308216|Lisinopril|35506788|Exophthalmos
1308216-36211312|1308216|Lisinopril|36211312|Scar
1308216-35909611|1308216|Lisinopril|35909611|Hepatic necrosis
1308216-36315819|1308216|Lisinopril|36315819|Semen analysis abnormal
1308216-36718298|1308216|Lisinopril|36718298|Aphasia
1308216-36211529|1308216|Lisinopril|36211529|Phlebitis
1308216-37320270|1308216|Lisinopril|37320270|Alopecia effluvium
1308216-36818766|1308216|Lisinopril|36818766|Neonatal disorder
1308216-37622451|1308216|Lisinopril|37622451|Orthostatic hypotension
1308216-37521618|1308216|Lisinopril|37521618|Caesarean section
1308216-36416551|1308216|Lisinopril|36416551|Osteoporosis
1308216-35708711|1308216|Lisinopril|35708711|Salivary gland enlargement
1308216-37019396|1308216|Lisinopril|37019396|Dysuria
1308216-35104834|1308216|Lisinopril|35104834|Eosinophilic oesophagitis
1308216-37119492|1308216|Lisinopril|37119492|Breast pain
1308216-36718079|1308216|Lisinopril|36718079|Facial paresis
1308216-37622523|1308216|Lisinopril|37622523|Malignant hypertension
1308216-37219820|1308216|Lisinopril|37219820|Pneumonia aspiration
1308216-35708737|1308216|Lisinopril|35708737|Tongue disorder
1308216-37520633|1308216|Lisinopril|37520633|Arthrodesis
1308216-36110026|1308216|Lisinopril|36110026|Cellulitis
1308216-35406402|1308216|Lisinopril|35406402|Eustachian tube disorder
1308216-35205236|1308216|Lisinopril|35205236|Oedema peripheral
1308216-37622442|1308216|Lisinopril|37622442|Circulatory collapse
1308216-36919121|1308216|Lisinopril|36919121|Personality change due to a general medical condition
1308216-36818647|1308216|Lisinopril|36818647|Foetal distress syndrome
1308216-36516761|1308216|Lisinopril|36516761|Bone pain
1308216-35305582|1308216|Lisinopril|35305582|Congenital corneal anomaly
1308216-35909527|1308216|Lisinopril|35909527|Hepatic cirrhosis
1308216-37119758|1308216|Lisinopril|37119758|Vulval ulceration
1308216-36718146|1308216|Lisinopril|36718146|Hydrocephalus
1308216-35606973|1308216|Lisinopril|35606973|Ocular discomfort
1308216-37320268|1308216|Lisinopril|37320268|Alopecia
1308216-36718111|1308216|Lisinopril|36718111|Multiple sclerosis
1308216-35205265|1308216|Lisinopril|35205265|Cor pulmonale chronic
1308216-36110677|1308216|Lisinopril|36110677|Pyoderma
1308216-36919098|1308216|Lisinopril|36919098|Abnormal behaviour
1308216-35708363|1308216|Lisinopril|35708363|Coeliac disease
1308216-36516848|1308216|Lisinopril|36516848|Muscle spasms
1308216-35204948|1308216|Lisinopril|35204948|Tachycardia
1308216-36718529|1308216|Lisinopril|36718529|Eclampsia
1308216-36211677|1308216|Lisinopril|36211677|Post procedural complication
1308216-37320323|1308216|Lisinopril|37320323|Seborrhoea
1308216-36717971|1308216|Lisinopril|36717971|Carotid artery dissection
1308216-36211094|1308216|Lisinopril|36211094|Rotator cuff syndrome
1308216-36109999|1308216|Lisinopril|36109999|Actinomycosis
1308216-35707866|1308216|Lisinopril|35707866|Haematochezia
1308216-35809369|1308216|Lisinopril|35809369|Drug withdrawal syndrome
1308216-36516886|1308216|Lisinopril|36516886|Myopathy
1308216-36617224|1308216|Lisinopril|36617224|Metastases to lung
1308216-36818729|1308216|Lisinopril|36818729|Premature baby
1308216-36416525|1308216|Lisinopril|36416525|Cachexia
1308216-35104883|1308216|Lisinopril|35104883|Neutropenia
1308216-36211689|1308216|Lisinopril|36211689|Procedural complication
1308216-35104067|1308216|Lisinopril|35104067|Anaemia vitamin B12 deficiency
1308216-36009828|1308216|Lisinopril|36009828|Polymyalgia rheumatica
1308216-36211280|1308216|Lisinopril|36211280|Accident
1308216-35306127|1308216|Lisinopril|35306127|Congenital bladder anomaly
1308216-35205160|1308216|Lisinopril|35205160|Arteriosclerosis coronary artery
1308216-36818833|1308216|Lisinopril|36818833|Pregnancy
1308216-35808926|1308216|Lisinopril|35808926|Infusion site extravasation
1308216-35707843|1308216|Lisinopril|35707843|Oesophageal disorder
1308216-35204966|1308216|Lisinopril|35204966|Cardiac arrest
1308216-37119582|1308216|Lisinopril|37119582|Penile oedema
1308216-36009852|1308216|Lisinopril|36009852|Vitiligo
1308216-36211157|1308216|Lisinopril|36211157|Carbon monoxide poisoning
1308216-36919230|1308216|Lisinopril|36919230|Completed suicide
1308216-37119548|1308216|Lisinopril|37119548|Menorrhagia
1308216-36315380|1308216|Lisinopril|36315380|Weight decreased
1308216-36718199|1308216|Lisinopril|36718199|Dyskinesia
1308216-37019399|1308216|Lisinopril|37019399|Micturition urgency
1308216-36516957|1308216|Lisinopril|36516957|Musculoskeletal pain
1308216-37219830|1308216|Lisinopril|37219830|Idiopathic pulmonary fibrosis
1308216-36416527|1308216|Lisinopril|36416527|Failure to thrive
1308216-36617300|1308216|Lisinopril|36617300|Neoplasm malignant
1308216-36718151|1308216|Lisinopril|36718151|Brain oedema
1308216-36717962|1308216|Lisinopril|36717962|Encephalitis
1308216-35909501|1308216|Lisinopril|35909501|Liver disorder
1308216-36416606|1308216|Lisinopril|36416606|Dehydration
1308216-36416638|1308216|Lisinopril|36416638|Hyperlipidaemia
1308216-36313968|1308216|Lisinopril|36313968|Laboratory test abnormal
1308216-36211260|1308216|Lisinopril|36211260|Ligament sprain
1308216-36919221|1308216|Lisinopril|36919221|Conversion disorder
1308216-36718530|1308216|Lisinopril|36718530|Epilepsy
1308216-36516824|1308216|Lisinopril|36516824|Osteoarthritis
1308216-35205355|1308216|Lisinopril|35205355|Myocarditis
1308216-36919157|1308216|Lisinopril|36919157|Schizophreniform disorder
1308216-36918925|1308216|Lisinopril|36918925|Learning disorder
1308216-36416696|1308216|Lisinopril|36416696|Gouty arthritis
1308216-36312077|1308216|Lisinopril|36312077|Blood pressure increased
1308216-36617349|1308216|Lisinopril|36617349|Cerebral cyst
1308216-37320141|1308216|Lisinopril|37320141|Dermatitis
1308216-37622384|1308216|Lisinopril|37622384|Aortic aneurysm
1308216-37219863|1308216|Lisinopril|37219863|Pleural effusion
1308216-36211242|1308216|Lisinopril|36211242|Silicosis
1308216-36919066|1308216|Lisinopril|36919066|Disturbance in social behaviour
1308216-35506745|1308216|Lisinopril|35506745|Hyperparathyroidism
1308216-37019410|1308216|Lisinopril|37019410|Urinary retention
1308216-37320170|1308216|Lisinopril|37320170|Skin exfoliation
1308216-35506666|1308216|Lisinopril|35506666|Hypothalamo-pituitary disorder
1308216-35104830|1308216|Lisinopril|35104830|Eosinophilic colitis
1308216-36009703|1308216|Lisinopril|36009703|Bronchospasm
1308216-35205168|1308216|Lisinopril|35205168|Coronary artery occlusion
1308216-36718024|1308216|Lisinopril|36718024|Subarachnoid haemorrhage
1308216-37320186|1308216|Lisinopril|37320186|Pityriasis rubra pilaris
1308216-37320254|1308216|Lisinopril|37320254|Skin ulcer
1308216-37219810|1308216|Lisinopril|37219810|Wheezing
1308216-36516959|1308216|Lisinopril|36516959|Pain in extremity
1308216-36110145|1308216|Lisinopril|36110145|Helicobacter infection
1308216-36211123|1308216|Lisinopril|36211123|Spinal fracture
1308216-37320193|1308216|Lisinopril|37320193|Photosensitivity reaction
1308216-37622477|1308216|Lisinopril|37622477|Thrombophlebitis superficial
1308216-36617657|1308216|Lisinopril|36617657|Uterine cancer
1308216-37522270|1308216|Lisinopril|37522270|Surgery
1308216-37521048|1308216|Lisinopril|37521048|Colostomy
1308216-36718105|1308216|Lisinopril|36718105|Vocal cord paresis
1308216-37019433|1308216|Lisinopril|37019433|Ketonuria
1308216-37119473|1308216|Lisinopril|37119473|Breast enlargement
1308216-36110309|1308216|Lisinopril|36110309|Acarodermatitis
1308216-36416637|1308216|Lisinopril|36416637|Hypertriglyceridaemia
1308216-36617187|1308216|Lisinopril|36617187|Dermal cyst
1308216-35607306|1308216|Lisinopril|35607306|Mydriasis
1308216-35708717|1308216|Lisinopril|35708717|Sialoadenitis
1308216-35909520|1308216|Lisinopril|35909520|Hepatorenal syndrome
1308216-36516898|1308216|Lisinopril|36516898|Limb deformity
1308216-36211076|1308216|Lisinopril|36211076|Pathological fracture
1308216-36919194|1308216|Lisinopril|36919194|Libido decreased
1308216-37320176|1308216|Lisinopril|37320176|Lichen planus
1308216-35104271|1308216|Lisinopril|35104271|Sickle cell anaemia with crisis
1308216-36516817|1308216|Lisinopril|36516817|Joint stiffness
1308216-36211288|1308216|Lisinopril|36211288|Asphyxia
1308216-36919128|1308216|Lisinopril|36919128|Drug dependence
1308216-36918846|1308216|Lisinopril|36918846|Adjustment disorder
1308216-37019318|1308216|Lisinopril|37019318|Renal failure
1308216-36919218|1308216|Lisinopril|36919218|Factitious disorder
