"PreferredSubstance","RxNORM","NUI","NDFRT_LABEL","DRUGBANK_CA","DRUGBANK_BIO2RDF"
"ADENOSINE","http://purl.bioontology.org/ontology/RXNORM/296","http://purl.bioontology.org/ontology/NDFRT/N0000147627","ADENOSINE","http://www.drugbank.ca/drugs/DB00640","http://bio2rdf.org/drugbank:DB00640"
"ADENOSINE","http://purl.bioontology.org/ontology/RXNORM/296","http://purl.bioontology.org/ontology/NDFRT/N0000007355","Adenosine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00640","http://bio2rdf.org/drugbank:DB00640"
"ALANINE","http://purl.bioontology.org/ontology/RXNORM/426","http://purl.bioontology.org/ontology/NDFRT/N0000146978","ALANINE","http://www.drugbank.ca/drugs/DB00160","http://bio2rdf.org/drugbank:DB00160"
"ALANINE","http://purl.bioontology.org/ontology/RXNORM/426","http://purl.bioontology.org/ontology/NDFRT/N0000146978","ALANINE","http://www.drugbank.ca/drugs/DB01786","http://bio2rdf.org/drugbank:DB01786"
"ALANINE","http://purl.bioontology.org/ontology/RXNORM/426","http://purl.bioontology.org/ontology/NDFRT/N0000007363","Alanine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00160","http://bio2rdf.org/drugbank:DB00160"
"ALANINE","http://purl.bioontology.org/ontology/RXNORM/426","http://purl.bioontology.org/ontology/NDFRT/N0000007363","Alanine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01786","http://bio2rdf.org/drugbank:DB01786"
"ALBENDAZOLE","http://purl.bioontology.org/ontology/RXNORM/430","http://purl.bioontology.org/ontology/NDFRT/N0000148464","ALBENDAZOLE","http://www.drugbank.ca/drugs/DB00518","http://bio2rdf.org/drugbank:DB00518"
"ALBENDAZOLE","http://purl.bioontology.org/ontology/RXNORM/430","http://purl.bioontology.org/ontology/NDFRT/N0000006466","Albendazole [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00518","http://bio2rdf.org/drugbank:DB00518"
"ALBUTEROL","http://purl.bioontology.org/ontology/RXNORM/435","http://purl.bioontology.org/ontology/NDFRT/N0000147099","ALBUTEROL","http://www.drugbank.ca/drugs/DB01001","http://bio2rdf.org/drugbank:DB01001"
"ALBUTEROL","http://purl.bioontology.org/ontology/RXNORM/435","http://purl.bioontology.org/ontology/NDFRT/N0000007409","Albuterol [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01001","http://bio2rdf.org/drugbank:DB01001"
"ALFENTANIL","http://purl.bioontology.org/ontology/RXNORM/480","http://purl.bioontology.org/ontology/NDFRT/N0000147693","ALFENTANIL","http://www.drugbank.ca/drugs/DB00802","http://bio2rdf.org/drugbank:DB00802"
"ALFENTANIL","http://purl.bioontology.org/ontology/RXNORM/480","http://purl.bioontology.org/ontology/NDFRT/N0000006447","Alfentanil [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00802","http://bio2rdf.org/drugbank:DB00802"
"ALLOPURINOL","http://purl.bioontology.org/ontology/RXNORM/519","http://purl.bioontology.org/ontology/NDFRT/N0000146247","ALLOPURINOL","http://www.drugbank.ca/drugs/DB00437","http://bio2rdf.org/drugbank:DB00437"
"ALLOPURINOL","http://purl.bioontology.org/ontology/RXNORM/519","http://purl.bioontology.org/ontology/NDFRT/N0000005830","Allopurinol [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00437","http://bio2rdf.org/drugbank:DB00437"
"ALPRAZOLAM","http://purl.bioontology.org/ontology/RXNORM/596","http://purl.bioontology.org/ontology/NDFRT/N0000146413","ALPRAZOLAM","http://www.drugbank.ca/drugs/DB00404","http://bio2rdf.org/drugbank:DB00404"
"ALPRAZOLAM","http://purl.bioontology.org/ontology/RXNORM/596","http://purl.bioontology.org/ontology/NDFRT/N0000006611","Alprazolam [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00404","http://bio2rdf.org/drugbank:DB00404"
"ALPROSTADIL","http://purl.bioontology.org/ontology/RXNORM/598","http://purl.bioontology.org/ontology/NDFRT/N0000146437","ALPROSTADIL","http://www.drugbank.ca/drugs/DB00770","http://bio2rdf.org/drugbank:DB00770"
"ALPROSTADIL","http://purl.bioontology.org/ontology/RXNORM/598","http://purl.bioontology.org/ontology/NDFRT/N0000006614","Alprostadil [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00770","http://bio2rdf.org/drugbank:DB00770"
"AMANTADINE","http://purl.bioontology.org/ontology/RXNORM/620","http://purl.bioontology.org/ontology/NDFRT/N0000147697","AMANTADINE","http://www.drugbank.ca/drugs/DB00915","http://bio2rdf.org/drugbank:DB00915"
"AMANTADINE","http://purl.bioontology.org/ontology/RXNORM/620","http://purl.bioontology.org/ontology/NDFRT/N0000006670","Amantadine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00915","http://bio2rdf.org/drugbank:DB00915"
"ALTRETAMINE","http://purl.bioontology.org/ontology/RXNORM/5296","http://purl.bioontology.org/ontology/NDFRT/N0000147673","ALTRETAMINE","http://www.drugbank.ca/drugs/DB00488","http://bio2rdf.org/drugbank:DB00488"
"ALTRETAMINE","http://purl.bioontology.org/ontology/RXNORM/5296","http://purl.bioontology.org/ontology/NDFRT/N0000007266","Altretamine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00488","http://bio2rdf.org/drugbank:DB00488"
"ALTEPLASE","http://purl.bioontology.org/ontology/RXNORM/8410","http://purl.bioontology.org/ontology/NDFRT/N0000147695","ALTEPLASE","http://www.drugbank.ca/drugs/DB00009","http://bio2rdf.org/drugbank:DB00009"
"ALTEPLASE","http://purl.bioontology.org/ontology/RXNORM/8410","http://purl.bioontology.org/ontology/NDFRT/N0000147508","ALTEPLASE,RECOMBINANT","http://www.drugbank.ca/drugs/DB00009","http://bio2rdf.org/drugbank:DB00009"
"ALTEPLASE","http://purl.bioontology.org/ontology/RXNORM/8410","http://purl.bioontology.org/ontology/NDFRT/N0000007047","Tissue Plasminogen Activator [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00009","http://bio2rdf.org/drugbank:DB00009"
"ADEFOVIR","http://purl.bioontology.org/ontology/RXNORM/16521","http://purl.bioontology.org/ontology/NDFRT/N0000022290","ADEFOVIR","http://www.drugbank.ca/drugs/DB00718","http://bio2rdf.org/drugbank:DB00718"
"ADEFOVIR","http://purl.bioontology.org/ontology/RXNORM/16521","http://purl.bioontology.org/ontology/NDFRT/N0000010035","adefovir [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00718","http://bio2rdf.org/drugbank:DB00718"
"ACARBOSE","http://purl.bioontology.org/ontology/RXNORM/16681","http://purl.bioontology.org/ontology/NDFRT/N0000148420","ACARBOSE","http://www.drugbank.ca/drugs/DB00284","http://bio2rdf.org/drugbank:DB00284"
"ACARBOSE","http://purl.bioontology.org/ontology/RXNORM/16681","http://purl.bioontology.org/ontology/NDFRT/N0000007005","Acarbose [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00284","http://bio2rdf.org/drugbank:DB00284"
"ACITRETIN","http://purl.bioontology.org/ontology/RXNORM/16818","http://purl.bioontology.org/ontology/NDFRT/N0000148524","ACITRETIN","http://www.drugbank.ca/drugs/DB00459","http://bio2rdf.org/drugbank:DB00459"
"ACITRETIN","http://purl.bioontology.org/ontology/RXNORM/16818","http://purl.bioontology.org/ontology/NDFRT/N0000007192","Acitretin [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00459","http://bio2rdf.org/drugbank:DB00459"
"ALCLOMETASONE DIPROPIONATE","http://purl.bioontology.org/ontology/RXNORM/17268","http://purl.bioontology.org/ontology/NDFRT/N0000147193","ALCLOMETASONE DIPROPIONATE","http://www.drugbank.ca/drugs/DB00240","http://bio2rdf.org/drugbank:DB00240"
"ALCLOMETASONE DIPROPIONATE","http://purl.bioontology.org/ontology/RXNORM/17268","http://purl.bioontology.org/ontology/NDFRT/N0000179031","alclometasone dipropionate [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00240","http://bio2rdf.org/drugbank:DB00240"
"ALFUZOSIN","http://purl.bioontology.org/ontology/RXNORM/17300","http://purl.bioontology.org/ontology/NDFRT/N0000148814","ALFUZOSIN","http://www.drugbank.ca/drugs/DB00346","http://bio2rdf.org/drugbank:DB00346"
"ALFUZOSIN","http://purl.bioontology.org/ontology/RXNORM/17300","http://purl.bioontology.org/ontology/NDFRT/N0000010340","alfuzosin [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00346","http://bio2rdf.org/drugbank:DB00346"
"ADAPALENE","http://purl.bioontology.org/ontology/RXNORM/60223","http://purl.bioontology.org/ontology/NDFRT/N0000148452","ADAPALENE","http://www.drugbank.ca/drugs/DB00210","http://bio2rdf.org/drugbank:DB00210"
"ADAPALENE","http://purl.bioontology.org/ontology/RXNORM/60223","http://purl.bioontology.org/ontology/NDFRT/N0000006484","adapalene [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00210","http://bio2rdf.org/drugbank:DB00210"
"ALDESLEUKIN","http://purl.bioontology.org/ontology/RXNORM/70223","http://purl.bioontology.org/ontology/NDFRT/N0000148066","ALDESLEUKIN","http://www.drugbank.ca/drugs/DB00041","http://bio2rdf.org/drugbank:DB00041"
"ALDESLEUKIN","http://purl.bioontology.org/ontology/RXNORM/70223","http://purl.bioontology.org/ontology/NDFRT/N0000006812","aldesleukin [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00041","http://bio2rdf.org/drugbank:DB00041"
"ALITRETINOIN","http://purl.bioontology.org/ontology/RXNORM/81864","http://purl.bioontology.org/ontology/NDFRT/N0000148606","ALITRETINOIN","http://www.drugbank.ca/drugs/DB00523","http://bio2rdf.org/drugbank:DB00523"
"ALITRETINOIN","http://purl.bioontology.org/ontology/RXNORM/81864","http://purl.bioontology.org/ontology/NDFRT/N0000006664","alitretinoin [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00523","http://bio2rdf.org/drugbank:DB00523"
"ACAMPROSATE","http://purl.bioontology.org/ontology/RXNORM/82819","http://purl.bioontology.org/ontology/NDFRT/N0000148859","ACAMPROSATE","http://www.drugbank.ca/drugs/DB00659","http://bio2rdf.org/drugbank:DB00659"
"ACAMPROSATE","http://purl.bioontology.org/ontology/RXNORM/82819","http://purl.bioontology.org/ontology/NDFRT/N0000010555","acamprosate [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00659","http://bio2rdf.org/drugbank:DB00659"
"ABCIXIMAB","http://purl.bioontology.org/ontology/RXNORM/83929","http://purl.bioontology.org/ontology/NDFRT/N0000148393","ABCIXIMAB","http://www.drugbank.ca/drugs/DB00054","http://bio2rdf.org/drugbank:DB00054"
"ABCIXIMAB","http://purl.bioontology.org/ontology/RXNORM/83929","http://purl.bioontology.org/ontology/NDFRT/N0000007092","abciximab [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00054","http://bio2rdf.org/drugbank:DB00054"
"ALOSETRON","http://purl.bioontology.org/ontology/RXNORM/85248","http://purl.bioontology.org/ontology/NDFRT/N0000148640","ALOSETRON","http://www.drugbank.ca/drugs/DB00969","http://bio2rdf.org/drugbank:DB00969"
"ALOSETRON","http://purl.bioontology.org/ontology/RXNORM/85248","http://purl.bioontology.org/ontology/NDFRT/N0000005874","alosetron [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00969","http://bio2rdf.org/drugbank:DB00969"
"ALCLOMETASONE","http://purl.bioontology.org/ontology/RXNORM/108088","http://purl.bioontology.org/ontology/NDFRT/N0000147692","ALCLOMETASONE","http://www.drugbank.ca/drugs/DB00240","http://bio2rdf.org/drugbank:DB00240"
"ALEMTUZUMAB","http://purl.bioontology.org/ontology/RXNORM/117055","http://purl.bioontology.org/ontology/NDFRT/N0000148705","ALEMTUZUMAB","http://www.drugbank.ca/drugs/DB00087","http://bio2rdf.org/drugbank:DB00087"
"ALEMTUZUMAB","http://purl.bioontology.org/ontology/RXNORM/117055","http://purl.bioontology.org/ontology/NDFRT/N0000010039","alemtuzumab [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00087","http://bio2rdf.org/drugbank:DB00087"
"ABACAVIR","http://purl.bioontology.org/ontology/RXNORM/190521","http://purl.bioontology.org/ontology/NDFRT/N0000022135","ABACAVIR","http://www.drugbank.ca/drugs/DB01048","http://bio2rdf.org/drugbank:DB01048"
"ABACAVIR","http://purl.bioontology.org/ontology/RXNORM/190521","http://purl.bioontology.org/ontology/NDFRT/N0000004254","abacavir [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01048","http://bio2rdf.org/drugbank:DB01048"
"ABACAVIR","http://purl.bioontology.org/ontology/RXNORM/190521","http://purl.bioontology.org/ontology/NDFRT/N0000180961","AVACAVIR","http://www.drugbank.ca/drugs/DB01048","http://bio2rdf.org/drugbank:DB01048"
"ALMOTRIPTAN","http://purl.bioontology.org/ontology/RXNORM/279645","http://purl.bioontology.org/ontology/NDFRT/N0000148709","ALMOTRIPTAN","http://www.drugbank.ca/drugs/DB00918","http://bio2rdf.org/drugbank:DB00918"
"ALMOTRIPTAN","http://purl.bioontology.org/ontology/RXNORM/279645","http://purl.bioontology.org/ontology/NDFRT/N0000010060","almotriptan [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00918","http://bio2rdf.org/drugbank:DB00918"
"ALEFACEPT","http://purl.bioontology.org/ontology/RXNORM/299635","http://purl.bioontology.org/ontology/NDFRT/N0000148792","ALEFACEPT","http://www.drugbank.ca/drugs/DB00092","http://bio2rdf.org/drugbank:DB00092"
"ALEFACEPT","http://purl.bioontology.org/ontology/RXNORM/299635","http://purl.bioontology.org/ontology/NDFRT/N0000010038","alefacept [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00092","http://bio2rdf.org/drugbank:DB00092"
"ALISKIREN","http://purl.bioontology.org/ontology/RXNORM/325646","http://purl.bioontology.org/ontology/NDFRT/N0000176084","ALISKIREN","http://www.drugbank.ca/drugs/DB01258","http://bio2rdf.org/drugbank:DB01258"
"ALISKIREN","http://purl.bioontology.org/ontology/RXNORM/325646","http://purl.bioontology.org/ontology/NDFRT/N0000179765","aliskiren [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01258","http://bio2rdf.org/drugbank:DB01258"
"ADALIMUMAB","http://purl.bioontology.org/ontology/RXNORM/327361","http://purl.bioontology.org/ontology/NDFRT/N0000148789","ADALIMUMAB","http://www.drugbank.ca/drugs/DB00051","http://bio2rdf.org/drugbank:DB00051"
"ADALIMUMAB","http://purl.bioontology.org/ontology/RXNORM/327361","http://purl.bioontology.org/ontology/NDFRT/N0000010034","adalimumab [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00051","http://bio2rdf.org/drugbank:DB00051"
"AGALSIDASE BETA","http://purl.bioontology.org/ontology/RXNORM/338817","http://purl.bioontology.org/ontology/NDFRT/N0000148806","AGALSIDASE BETA","http://www.drugbank.ca/drugs/DB00103","http://bio2rdf.org/drugbank:DB00103"
"AGALSIDASE BETA","http://purl.bioontology.org/ontology/RXNORM/338817","http://purl.bioontology.org/ontology/NDFRT/N0000010037","agalsidase beta [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00103","http://bio2rdf.org/drugbank:DB00103"
"ALVIMOPAN","http://purl.bioontology.org/ontology/RXNORM/480639","http://purl.bioontology.org/ontology/NDFRT/N0000171764","ALVIMOPAN","http://www.drugbank.ca/drugs/DB06274","http://bio2rdf.org/drugbank:DB06274"
"ALVIMOPAN","http://purl.bioontology.org/ontology/RXNORM/480639","http://purl.bioontology.org/ontology/NDFRT/N0000179783","alvimopan [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB06274","http://bio2rdf.org/drugbank:DB06274"
"ABATACEPT","http://purl.bioontology.org/ontology/RXNORM/614391","http://purl.bioontology.org/ontology/NDFRT/N0000171747","ABATACEPT","http://www.drugbank.ca/drugs/DB01281","http://bio2rdf.org/drugbank:DB01281"
"ABATACEPT","http://purl.bioontology.org/ontology/RXNORM/614391","http://purl.bioontology.org/ontology/NDFRT/N0000175348","abatacept [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01281","http://bio2rdf.org/drugbank:DB01281"
"ALGLUCOSIDASE ALFA","http://purl.bioontology.org/ontology/RXNORM/629565","http://purl.bioontology.org/ontology/NDFRT/N0000171827","ALGLUCOSIDASE ALFA","http://www.drugbank.ca/drugs/DB01272","http://bio2rdf.org/drugbank:DB01272"
"ALCAFTADINE","http://purl.bioontology.org/ontology/RXNORM/1000082","http://purl.bioontology.org/ontology/NDFRT/N0000181719","ALCAFTADINE","http://www.drugbank.ca/drugs/DB06766","http://bio2rdf.org/drugbank:DB06766"
"AMBENONIUM","http://purl.bioontology.org/ontology/RXNORM/623","http://purl.bioontology.org/ontology/NDFRT/N0000020242","AMBENONIUM","http://www.drugbank.ca/drugs/DB01122","http://bio2rdf.org/drugbank:DB01122"
"AMIKACIN","http://purl.bioontology.org/ontology/RXNORM/641","http://purl.bioontology.org/ontology/NDFRT/N0000147698","AMIKACIN","http://www.drugbank.ca/drugs/DB00479","http://bio2rdf.org/drugbank:DB00479"
"AMIKACIN","http://purl.bioontology.org/ontology/RXNORM/641","http://purl.bioontology.org/ontology/NDFRT/N0000006770","Amikacin [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00479","http://bio2rdf.org/drugbank:DB00479"
"AMILORIDE","http://purl.bioontology.org/ontology/RXNORM/644","http://purl.bioontology.org/ontology/NDFRT/N0000147699","AMILORIDE","http://www.drugbank.ca/drugs/DB00594","http://bio2rdf.org/drugbank:DB00594"
"AMILORIDE","http://purl.bioontology.org/ontology/RXNORM/644","http://purl.bioontology.org/ontology/NDFRT/N0000006772","Amiloride [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00594","http://bio2rdf.org/drugbank:DB00594"
"AMINOPHYLLINE","http://purl.bioontology.org/ontology/RXNORM/689","http://purl.bioontology.org/ontology/NDFRT/N0000146397","AMINOPHYLLINE","http://www.drugbank.ca/drugs/DB01223","http://bio2rdf.org/drugbank:DB01223"
"AMINOPHYLLINE","http://purl.bioontology.org/ontology/RXNORM/689","http://purl.bioontology.org/ontology/NDFRT/N0000146397","AMINOPHYLLINE","http://www.drugbank.ca/drugs/DB00587","http://bio2rdf.org/drugbank:DB00587"
"AMINOPHYLLINE","http://purl.bioontology.org/ontology/RXNORM/689","http://purl.bioontology.org/ontology/NDFRT/N0000005738","Aminophylline [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01223","http://bio2rdf.org/drugbank:DB01223"
"AMINOPHYLLINE","http://purl.bioontology.org/ontology/RXNORM/689","http://purl.bioontology.org/ontology/NDFRT/N0000005738","Aminophylline [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00587","http://bio2rdf.org/drugbank:DB00587"
"AMIODARONE","http://purl.bioontology.org/ontology/RXNORM/703","http://purl.bioontology.org/ontology/NDFRT/N0000147701","AMIODARONE","http://www.drugbank.ca/drugs/DB01118","http://bio2rdf.org/drugbank:DB01118"
"AMIODARONE","http://purl.bioontology.org/ontology/RXNORM/703","http://purl.bioontology.org/ontology/NDFRT/N0000005761","Amiodarone [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01118","http://bio2rdf.org/drugbank:DB01118"
"AMITRIPTYLINE","http://purl.bioontology.org/ontology/RXNORM/704","http://purl.bioontology.org/ontology/NDFRT/N0000147702","AMITRIPTYLINE","http://www.drugbank.ca/drugs/DB00321","http://bio2rdf.org/drugbank:DB00321"
"AMITRIPTYLINE","http://purl.bioontology.org/ontology/RXNORM/704","http://purl.bioontology.org/ontology/NDFRT/N0000005763","Amitriptyline [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00321","http://bio2rdf.org/drugbank:DB00321"
"AMOXAPINE","http://purl.bioontology.org/ontology/RXNORM/722","http://purl.bioontology.org/ontology/NDFRT/N0000146270","AMOXAPINE","http://www.drugbank.ca/drugs/DB00543","http://bio2rdf.org/drugbank:DB00543"
"AMOXAPINE","http://purl.bioontology.org/ontology/RXNORM/722","http://purl.bioontology.org/ontology/NDFRT/N0000005838","Amoxapine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00543","http://bio2rdf.org/drugbank:DB00543"
"AMOXICILLIN","http://purl.bioontology.org/ontology/RXNORM/723","http://purl.bioontology.org/ontology/NDFRT/N0000145985","AMOXICILLIN","http://www.drugbank.ca/drugs/DB01060","http://bio2rdf.org/drugbank:DB01060"
"AMOXICILLIN","http://purl.bioontology.org/ontology/RXNORM/723","http://purl.bioontology.org/ontology/NDFRT/N0000005840","Amoxicillin [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01060","http://bio2rdf.org/drugbank:DB01060"
"AMPHETAMINE","http://purl.bioontology.org/ontology/RXNORM/725","http://purl.bioontology.org/ontology/NDFRT/N0000147705","AMPHETAMINE","http://www.drugbank.ca/drugs/DB00182","http://bio2rdf.org/drugbank:DB00182"
"AMPHETAMINE","http://purl.bioontology.org/ontology/RXNORM/725","http://purl.bioontology.org/ontology/NDFRT/N0000005864","Amphetamine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00182","http://bio2rdf.org/drugbank:DB00182"
"AMPICILLIN","http://purl.bioontology.org/ontology/RXNORM/733","http://purl.bioontology.org/ontology/NDFRT/N0000145927","AMPICILLIN","http://www.drugbank.ca/drugs/DB00415","http://bio2rdf.org/drugbank:DB00415"
"AMPICILLIN","http://purl.bioontology.org/ontology/RXNORM/733","http://purl.bioontology.org/ontology/NDFRT/N0000005873","Ampicillin [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00415","http://bio2rdf.org/drugbank:DB00415"
"ANTHRALIN","http://purl.bioontology.org/ontology/RXNORM/873","http://purl.bioontology.org/ontology/NDFRT/N0000146914","ANTHRALIN","http://www.drugbank.ca/drugs/DB00233","http://bio2rdf.org/drugbank:DB00233"
"ANTHRALIN","http://purl.bioontology.org/ontology/RXNORM/873","http://purl.bioontology.org/ontology/NDFRT/N0000006034","Anthralin [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00233","http://bio2rdf.org/drugbank:DB00233"
"ANTIPYRINE","http://purl.bioontology.org/ontology/RXNORM/1001","http://purl.bioontology.org/ontology/NDFRT/N0000146454","ANTIPYRINE","http://www.drugbank.ca/drugs/DB01435","http://bio2rdf.org/drugbank:DB01435"
"ANTIPYRINE","http://purl.bioontology.org/ontology/RXNORM/1001","http://purl.bioontology.org/ontology/NDFRT/N0000007006","Antipyrine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01435","http://bio2rdf.org/drugbank:DB01435"
"APOMORPHINE","http://purl.bioontology.org/ontology/RXNORM/1043","http://purl.bioontology.org/ontology/NDFRT/N0000147712","APOMORPHINE","http://www.drugbank.ca/drugs/DB00714","http://bio2rdf.org/drugbank:DB00714"
"APOMORPHINE","http://purl.bioontology.org/ontology/RXNORM/1043","http://purl.bioontology.org/ontology/NDFRT/N0000006482","Apomorphine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00714","http://bio2rdf.org/drugbank:DB00714"
"ARGININE","http://purl.bioontology.org/ontology/RXNORM/1091","http://purl.bioontology.org/ontology/NDFRT/N0000146979","ARGININE","http://www.drugbank.ca/drugs/DB00125","http://bio2rdf.org/drugbank:DB00125"
"ARGININE","http://purl.bioontology.org/ontology/RXNORM/1091","http://purl.bioontology.org/ontology/NDFRT/N0000007331","Arginine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00125","http://bio2rdf.org/drugbank:DB00125"
"ASPARAGINASE","http://purl.bioontology.org/ontology/RXNORM/1156","http://purl.bioontology.org/ontology/NDFRT/N0000146324","ASPARAGINASE","http://www.drugbank.ca/drugs/DB00023","http://bio2rdf.org/drugbank:DB00023"
"ASPARAGINASE","http://purl.bioontology.org/ontology/RXNORM/1156","http://purl.bioontology.org/ontology/NDFRT/N0000006477","Asparaginase [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00023","http://bio2rdf.org/drugbank:DB00023"
"ASPIRIN","http://purl.bioontology.org/ontology/RXNORM/1191","http://purl.bioontology.org/ontology/NDFRT/N0000145918","ASPIRIN","http://www.drugbank.ca/drugs/DB00945","http://bio2rdf.org/drugbank:DB00945"
