drug_concept_id	HOI_concept_id	NCT_ID	INTERVENTION_NAME
903643	0	NCT00492856	tretinoin
744798	0	NCT00595556	zonisamide
1560171	0	NCT00095056	glipizide
1580747	0	NCT00095056	sitagliptin
19011130	0	NCT00910845	normal saline
1516976	0	NCT00474045	insulin detemir
968426	0	NCT00652145	mesalamine
19011130	0	NCT01519245	normal saline
19026972	0	NCT01049945	lenalidomide
1518254	0	NCT01049945	dexamethasone
1331270	0	NCT01369745	dipyridamole
1310317	0	NCT00061945	cyclophosphamide
1312706	0	NCT00061945	alemtuzumab
1518254	0	NCT00061945	dexamethasone
19012585	0	NCT00061945	asparaginase
1703687	0	NCT00061945	acyclovir
1311078	0	NCT00061945	cytarabine
1167322	0	NCT00061945	allopurinol
1305058	0	NCT00061945	methotrexate
1304850	0	NCT00061945	filgrastim
1436650	0	NCT00061945	mercaptopurine
1545958	0	NCT00435045	atorvastatin
44785829	0	NCT00680745	dapagliflozin
1397141	0	NCT00728845	bevacizumab
1344905	0	NCT00728845	carboplatin
1777087	0	NCT00728845	hydroxychloroquine
1378382	0	NCT00728845	paclitaxel
734354	0	NCT00407745	pregabalin
1503297	0	NCT00627445	metformin
40163731	0	NCT01148745	ferumoxytol
1118084	0	NCT00520845	celecoxib
1314273	0	NCT01145495	rituximab
19026972	0	NCT01145495	lenalidomide
1310317	0	NCT00516295	cyclophosphamide
1397141	0	NCT00516295	bevacizumab
19088328	0	NCT00455195	alglucosidase alfa
40226208	0	NCT00325195	pegloticase
1516800	0	NCT00577395	risedronate
1337651	0	NCT00278395	vorinostat
1337651	0	NCT00937495	vorinostat
1336825	0	NCT00937495	bortezomib
911354	0	NCT00828295	palonosetron
19092845	0	NCT01614795	temsirolimus
1397141	0	NCT00816595	bevacizumab
1325608	0	NCT00816595	pegfilgrastim
1314273	0	NCT00816595	rituximab
1310317	0	NCT00816595	cyclophosphamide
19031224	0	NCT00816595	pentostatin
1551099	0	NCT00929695	prednisone
1506270	0	NCT00929695	methylprednisolone
40242675	0	NCT01297595	crizotinib
1545958	0	NCT00654095	atorvastatin
19080982	0	NCT00509795	ranibizumab
19080982	0	NCT00456495	ranibizumab
40161532	0	NCT01008995	ustekinumab
1516976	0	NCT00659295	insulin detemir
1787101	0	NCT00850395	maraviroc
1524674	0	NCT00361595	zoledronic acid
1344905	0	NCT00561795	carboplatin
1378382	0	NCT00561795	paclitaxel
742267	0	NCT00846495	topiramate
1189458	0	NCT00846495	frovatriptan
1777087	0	NCT00765765	hydroxychloroquine
19025348	0	NCT00765765	ixabepilone
1341149	0	NCT00096265	temozolomide
40168385	0	NCT00383565	romidepsin
902938	0	NCT01401465	ciclesonide
905233	0	NCT01401465	mometasone
19011440	0	NCT01281865	everolimus
42904298	0	NCT01159665	ocriplasmin
902722	0	NCT00885365	tobramycin
1341149	0	NCT00098865	temozolomide
19137042	0	NCT00098865	thalidomide
19026972	0	NCT00352365	lenalidomide
40164052	0	NCT00174265	asenapine
785788	0	NCT00174265	olanzapine
1308432	0	NCT00066365	sargramostim
1526475	0	NCT00867165	ezetimibe
739138	0	NCT00159965	sertraline
1314924	0	NCT01342965	gemcitabine
1397599	0	NCT01342965	cisplatin
961145	0	NCT00681265	glycerin
978236	0	NCT00118365	eflornithine
1236607	0	NCT00118365	sulindac
1517070	0	NCT00902265	desmopressin
19071967	0	NCT00449865	creatine
715710	0	NCT01556165	rasagiline
19062817	0	NCT00912509	riboflavin
1344992	0	NCT00084409	iloprost
1119119	0	NCT00808509	adalimumab
1305058	0	NCT00808509	methotrexate
1151789	0	NCT00293709	etanercept
1358436	0	NCT00764309	dasatinib
1738521	0	NCT01198509	doxycycline
1707687	0	NCT01198509	vancomycin
1315946	0	NCT00721409	letrozole
948078	0	NCT00362609	pantoprazole
720810	0	NCT01361009	pramipexole
1359548	0	NCT00536809	lapatinib
1318011	0	NCT00536809	oxaliplatin
1337620	0	NCT00536809	capecitabine
1338985	0	NCT01836809	nesiritide
1397141	0	NCT00089609	bevacizumab
1336539	0	NCT00616109	sunitinib
42799711	0	NCT00085709	gemtuzumab ozogamicin
757688	0	NCT01490086	aripiprazole
19024728	0	NCT00477386	decitabine
1350310	0	NCT00741286	cilostazol
19010927	0	NCT00843986	conivaptan
1304919	0	NCT00461786	pemetrexed
1337068	0	NCT00578786	ambrisentan
1378509	0	NCT00316186	topotecan
1344905	0	NCT00316186	carboplatin
1560524	0	NCT00552786	glucose
1314865	0	NCT00313586	azacitidine
40170911	0	NCT01029886	liraglutide
1397599	0	NCT00113386	cisplatin
1315942	0	NCT00113386	docetaxel
1304850	0	NCT00113386	filgrastim
1325608	0	NCT00113386	pegfilgrastim
1305058	0	NCT00121186	methotrexate
950637	0	NCT00121186	tacrolimus
1301267	0	NCT00121186	melphalan
19027958	0	NCT01367886	fesoterodine
1397599	0	NCT00726986	cisplatin
1350504	0	NCT00726986	etoposide
19090984	0	NCT00518986	armodafinil
19087394	0	NCT00655486	lacosamide
40170911	0	NCT00856986	liraglutide
1516976	0	NCT00856986	insulin detemir
1503297	0	NCT00856986	metformin
19122121	0	NCT00609986	insulin
19011130	0	NCT01580618	normal saline
744798	0	NCT00398918	zonisamide
1315411	0	NCT00124618	cetuximab
1312706	0	NCT00669318	alemtuzumab
1314273	0	NCT00669318	rituximab
1308432	0	NCT00669318	sargramostim
19031224	0	NCT00669318	pentostatin
1304919	0	NCT00380718	pemetrexed
1314273	0	NCT00070018	rituximab
1551099	0	NCT00070018	prednisone
40242675	0	NCT01154218	crizotinib
40170911	0	NCT00393718	liraglutide
19098548	0	NCT00396318	tenecteplase
45774639	0	NCT00783718	vedolizumab
1125315	0	NCT00616018	acetaminophen
1711246	0	NCT00395018	entecavir
1310317	0	NCT00478218	cyclophosphamide
1518254	0	NCT00478218	dexamethasone
19026972	0	NCT00478218	lenalidomide
1358436	0	NCT01030718	dasatinib
19080982	0	NCT00826618	ranibizumab
40228152	0	NCT00168818	dabigatran etexilate
1301025	0	NCT00168818	enoxaparin
1304919	0	NCT00609518	pemetrexed
1518254	0	NCT00609518	dexamethasone
19137042	0	NCT00096018	thalidomide
19011130	0	NCT00284518	normal saline
19090761	0	NCT01334918	regadenoson
1304850	0	NCT00352118	filgrastim
1325608	0	NCT00352118	pegfilgrastim
1397599	0	NCT00352118	cisplatin
1315942	0	NCT00352118	docetaxel
955632	0	NCT00352118	fluorouracil
953076	0	NCT01000818	famotidine
923645	0	NCT01000818	omeprazole
1304850	0	NCT00389818	filgrastim
1325608	0	NCT00389818	pegfilgrastim
1314273	0	NCT00389818	rituximab
1308432	0	NCT00389818	sargramostim
1310317	0	NCT00389818	cyclophosphamide
1551099	0	NCT00389818	prednisone
1717704	0	NCT00527618	valacyclovir
1703687	0	NCT00527618	acyclovir
19080982	0	NCT00499590	ranibizumab
1503297	0	NCT00682890	metformin
1736999	0	NCT00615290	tipranavir
1377141	0	NCT00003590	hydroxyurea
44784845	0	NCT00833690	inosine
1548111	0	NCT00110890	cinacalcet
1309770	0	NCT00126490	aldesleukin
1397141	0	NCT00126490	bevacizumab
1714165	0	NCT00851890	peginterferon alfa-2a
1398399	0	NCT00143390	exemestane
1348265	0	NCT00143390	anastrozole
1525215	0	NCT01195090	pioglitazone
19025348	0	NCT00207090	ixabepilone
1508439	0	NCT00459290	mifepristone
1358436	0	NCT00563290	dasatinib
1550557	0	NCT01179490	prednisolone
906780	0	NCT01093690	metoclopramide
722031	0	NCT00086190	paroxetine
743670	0	NCT00086190	venlafaxine
1762711	0	NCT01180790	ribavirin
1311078	0	NCT00022490	cytarabine
1736887	0	NCT00087490	linezolid
1707687	0	NCT00087490	vancomycin
1580747	0	NCT00701090	sitagliptin
1344905	0	NCT00526890	carboplatin
1378382	0	NCT00526890	paclitaxel
757688	0	NCT00619190	aripiprazole
1762711	0	NCT00925990	ribavirin
1580747	0	NCT00749190	sitagliptin
705944	0	NCT00844090	methylphenidate
989878	0	NCT00590590	lidocaine
40239216	0	NCT01422876	linagliptin
19025348	0	NCT00077376	ixabepilone
1387104	0	NCT00077376	trastuzumab
1344905	0	NCT00077376	carboplatin
19092845	0	NCT00072176	temsirolimus
1526475	0	NCT00203476	ezetimibe
1517824	0	NCT00203476	niacin
1501617	0	NCT00203476	colestipol
1336539	0	NCT00471276	sunitinib
19137042	0	NCT00310076	thalidomide
1310317	0	NCT00107276	cyclophosphamide
1337620	0	NCT00107276	capecitabine
40238188	0	NCT00089076	ipilimumab
1304919	0	NCT00520676	pemetrexed
1315942	0	NCT00520676	docetaxel
1344905	0	NCT00520676	carboplatin
19098548	0	NCT00395876	tenecteplase
1378382	0	NCT02015676	paclitaxel
1119119	0	NCT00195676	adalimumab
40165636	0	NCT01256476	pitavastatin
1551860	0	NCT01256476	pravastatin
734354	0	NCT00991276	pregabalin
720810	0	NCT00991276	pramipexole
42900584	0	NCT01403376	teriflunomide
19003999	0	NCT00206076	mycophenolate mofetil
1503297	0	NCT00676338	metformin
1580747	0	NCT00676338	sitagliptin
1525215	0	NCT00676338	pioglitazone
19080982	0	NCT00606138	ranibizumab
1518254	0	NCT00064038	dexamethasone
19026972	0	NCT00064038	lenalidomide
1397141	0	NCT00491738	bevacizumab
1336539	0	NCT00491738	sunitinib
1580747	0	NCT00888238	sitagliptin
1151789	0	NCT00195338	etanercept
45774435	0	NCT01432938	dulaglutide
1337651	0	NCT00907738	vorinostat
1309770	0	NCT01041638	aldesleukin
1308432	0	NCT01041638	sargramostim
984232	0	NCT01041638	isotretinoin
19037038	0	NCT00998738	calcium gluconate
19093848	0	NCT00998738	magnesium sulfate
42873638	0	NCT00511238	carfilzomib
1309770	0	NCT00704938	aldesleukin
1304850	0	NCT00704938	filgrastim
1310317	0	NCT00704938	cyclophosphamide
1150871	0	NCT00925938	misoprostol
1103006	0	NCT00359138	desloratadine
1136422	0	NCT00359138	levocetirizine
1344905	0	NCT00008138	carboplatin
1378382	0	NCT00008138	paclitaxel
1124957	0	NCT00613938	oxycodone
722031	0	NCT00062738	paroxetine
19113574	0	NCT00252538	interferon-alpha
1543229	0	NCT00741338	laronidase
19092139	0	NCT01304238	lepirudin
19026343	0	NCT01304238	danaparoid
1322207	0	NCT01304238	argatroban
1315865	0	NCT01304238	fondaparinux
734354	0	NCT00537238	pregabalin
711584	0	NCT00537238	levetiracetam
1154161	0	NCT00442338	montelukast
1301267	0	NCT00217438	melphalan
40165636	0	NCT00309738	pitavastatin
1539403	0	NCT00309738	simvastatin
1112807	0	NCT00041938	aspirin
1789276	0	NCT00464438	gatifloxacin
1305058	0	NCT01283971	methotrexate
1387426	0	NCT01283971	folate
1119119	0	NCT01283971	adalimumab
1118084	0	NCT00033371	celecoxib
978236	0	NCT00033371	eflornithine
1314273	0	NCT01153971	rituximab
1353766	0	NCT01238471	propranolol
734354	0	NCT00385671	pregabalin
797399	0	NCT00385671	gabapentin
1350504	0	NCT00602771	etoposide
42800040	0	NCT00809471	avanafil
1118084	0	NCT00581971	celecoxib
1336825	0	NCT00104871	bortezomib
1742432	0	NCT00230971	tigecycline
1539403	0	NCT01061671	simvastatin
1736999	0	NCT00440271	tipranavir
1748921	0	NCT00440271	ritonavir
1318011	0	NCT01159171	oxaliplatin
1397599	0	NCT00360971	cisplatin
19038562	0	NCT00360971	palifermin
1304919	0	NCT00190671	pemetrexed
1310317	0	NCT00190671	cyclophosphamide
45774639	0	NCT01224171	vedolizumab
1717963	0	NCT01148771	ertapenem
1311078	0	NCT00416598	cytarabine
1350504	0	NCT00416598	etoposide
1304850	0	NCT00416598	filgrastim
1333357	0	NCT00416598	busulfan
19024728	0	NCT00416598	decitabine
40222444	0	NCT00095498	denosumab
45775372	0	NCT01153698	dabigatran
1304919	0	NCT00087698	pemetrexed
1397599	0	NCT00087698	cisplatin
40226208	0	NCT01356498	pegloticase
1521987	0	NCT00259298	teriparatide
1741309	0	NCT00443898	terbinafine
1344992	0	NCT00709098	iloprost
1341149	0	NCT00512798	temozolomide
1762711	0	NCT01221298	ribavirin
744740	0	NCT00936598	zolpidem
1304850	0	NCT00085098	filgrastim
1350504	0	NCT00085098	etoposide
1344905	0	NCT00085098	carboplatin
1397599	0	NCT00085098	cisplatin
1310317	0	NCT00085098	cyclophosphamide
1584910	0	NCT00503698	somatropin
780442	0	NCT01078298	varenicline
19090984	0	NCT00758498	armodafinil
19014202	0	NCT00165698	alfacalcidol
797399	0	NCT00603473	gabapentin
19058410	0	NCT00738673	degarelix
968426	0	NCT00577473	mesalamine
1337651	0	NCT00305773	vorinostat
753626	0	NCT01549873	propofol
757352	0	NCT00856973	eszopiclone
1597235	0	NCT00702273	follitropin beta
785788	0	NCT00401973	olanzapine
19087090	0	NCT00401973	amantadine
1503297	0	NCT00401973	metformin
744798	0	NCT00401973	zonisamide
1337620	0	NCT00437073	capecitabine
1378509	0	NCT00437073	topotecan
1359548	0	NCT00437073	lapatinib
42709327	0	NCT00453973	peginesatide
1397141	0	NCT00673673	bevacizumab
1304107	0	NCT00574873	imatinib
1398399	0	NCT00066573	exemestane
1348265	0	NCT00066573	anastrozole
1308432	0	NCT00091273	sargramostim
1133201	0	NCT00684073	buprenorphine
1516800	0	NCT00247273	risedronate
1378509	0	NCT00316173	topotecan
1322199	0	NCT00061373	eptifibatide
1304919	0	NCT00550173	pemetrexed
1325363	0	NCT00550173	erlotinib
1350489	0	NCT00161473	prazosin
19034726	0	NCT00195273	sirolimus
19010482	0	NCT00195273	cyclosporine
19003999	0	NCT00195273	mycophenolate mofetil
19036892	0	NCT00195273	daclizumab
1344905	0	NCT00023673	carboplatin
1378382	0	NCT00023673	paclitaxel
1580747	0	NCT00637273	sitagliptin
1525215	0	NCT00637273	pioglitazone
40172153	0	NCT00533273	collagenase clostridium histolyticum
1337068	0	NCT01178073	ambrisentan
1336926	0	NCT01178073	tadalafil
43014182	0	NCT00607373	mipomersen
1397141	0	NCT00853073	bevacizumab
19011663	0	NCT00853073	balanced salt solution
19011130	0	NCT00915473	normal saline
1506270	0	NCT00915473	methylprednisolone
989878	0	NCT00915473	lidocaine
989878	0	NCT00827073	lidocaine
1315942	0	NCT00378573	docetaxel
1314924	0	NCT00378573	gemcitabine
1397141	0	NCT00378573	bevacizumab
1304850	0	NCT00569673	filgrastim
1325608	0	NCT00569673	pegfilgrastim
1315942	0	NCT00569673	docetaxel
42709327	0	NCT00598273	peginesatide
1336825	0	NCT01072773	bortezomib
1310317	0	NCT01072773	cyclophosphamide
1518254	0	NCT01072773	dexamethasone
936429	0	NCT00336973	efalizumab
936748	0	NCT00736073	aprepitant
917006	0	NCT00474175	benzocaine
19026972	0	NCT00098475	lenalidomide
1518254	0	NCT00098475	dexamethasone
19137042	0	NCT00098475	thalidomide
40165636	0	NCT00344175	pitavastatin
1539403	0	NCT00344175	simvastatin
19080982	0	NCT00527475	ranibizumab
912803	0	NCT00527475	verteporfin
1151789	0	NCT00488475	etanercept
1397599	0	NCT00095875	cisplatin
1315942	0	NCT00095875	docetaxel
955632	0	NCT00095875	fluorouracil
1344905	0	NCT00095875	carboplatin
1318011	0	NCT00192075	oxaliplatin
19087394	0	NCT00522275	lacosamide
1314924	0	NCT00940875	gemcitabine
1305058	0	NCT00405275	methotrexate
1311078	0	NCT00470275	cytarabine
734354	0	NCT00553475	pregabalin
1315942	0	NCT00054275	docetaxel
744740	0	NCT00784875	zolpidem
1712889	0	NCT00656175	raltegravir
1517998	0	NCT00842075	pramlintide
904351	0	NCT00002975	aminolevulinic acid
19010927	0	NCT00592475	conivaptan
1304919	0	NCT01169675	pemetrexed
734354	0	NCT00264875	pregabalin
1301267	0	NCT00635024	melphalan
1314865	0	NCT01281124	azacitidine
1397599	0	NCT00742924	cisplatin
1350504	0	NCT00742924	etoposide
19078187	0	NCT00742924	ifosfamide
1305058	0	NCT00742924	methotrexate
1524674	0	NCT00742924	zoledronic acid
1304850	0	NCT00742924	filgrastim
1712889	0	NCT01227824	raltegravir
1518254	0	NCT01405924	dexamethasone
19022131	0	NCT01405924	fosaprepitant dimeglumine
40167582	0	NCT00655824	ofatumumab
937368	0	NCT00521924	infliximab
785788	0	NCT00402324	olanzapine
1580747	0	NCT00832624	sitagliptin
19060985	0	NCT00217724	glutamine
1304850	0	NCT00274924	filgrastim
1314273	0	NCT00274924	rituximab
1344905	0	NCT00274924	carboplatin
1310317	0	NCT00274924	cyclophosphamide
1350504	0	NCT00274924	etoposide
19078187	0	NCT00274924	ifosfamide
1551099	0	NCT00274924	prednisone
1308290	0	NCT00274924	vincristine
1315942	0	NCT00527124	docetaxel
1551099	0	NCT00527124	prednisone
40163718	0	NCT01014624	prasugrel
1322184	0	NCT01014624	clopidogrel
1583722	0	NCT00577824	exenatide
1548111	0	NCT00379899	cinacalcet
1397599	0	NCT00702299	cisplatin
1378382	0	NCT00702299	paclitaxel
722031	0	NCT00700999	paroxetine
40230761	0	NCT00868699	lurasidone
1305058	0	NCT00810199	methotrexate
1304643	0	NCT00661999	darbepoetin alfa
1396131	0	NCT00661999	ferrous sulfate
1314273	0	NCT00869999	rituximab
1322184	0	NCT01107899	clopidogrel
40163718	0	NCT01107899	prasugrel
1348265	0	NCT00217399	anastrozole
1314924	0	NCT00316199	gemcitabine
1378382	0	NCT00316199	paclitaxel
1510813	0	NCT00986999	rosuvastatin
1395557	0	NCT00850499	fludarabine
1314273	0	NCT00850499	rituximab
1397141	0	NCT00541099	bevacizumab
1315942	0	NCT00541099	docetaxel
19024728	0	NCT00619099	decitabine
1119119	0	NCT00853099	adalimumab
785788	0	NCT00645099	olanzapine
1358436	0	NCT00070499	dasatinib
1397141	0	NCT00121199	bevacizumab
1314273	0	NCT00121199	rituximab
1310317	0	NCT00121199	cyclophosphamide
1551099	0	NCT00121199	prednisone
1314924	0	NCT00456599	gemcitabine
1318011	0	NCT00456599	oxaliplatin
940004	0	NCT00568399	sodium thiosulfate
753626	0	NCT01436799	propofol
19059528	0	NCT01436799	alfentanil
19003999	0	NCT00827099	mycophenolate mofetil
950637	0	NCT00827099	tacrolimus
955632	0	NCT00113399	fluorouracil
1378382	0	NCT00113399	paclitaxel
1304850	0	NCT00113399	filgrastim
1397599	0	NCT00113399	cisplatin
1315942	0	NCT00113399	docetaxel
1547504	0	NCT00252499	rosiglitazone
1551803	0	NCT00252499	fenofibrate
1551803	0	NCT00872599	fenofibrate
713196	0	NCT01144052	interferon beta-1b
40166035	0	NCT01192152	saxagliptin
739138	0	NCT00677352	sertraline
1521987	0	NCT00343252	teriparatide
1516800	0	NCT00343252	risedronate
1304919	0	NCT00269152	pemetrexed
1397599	0	NCT00269152	cisplatin
1344905	0	NCT00269152	carboplatin
1314924	0	NCT00191152	gemcitabine
1315942	0	NCT00191152	docetaxel
1337620	0	NCT00191152	capecitabine
1314273	0	NCT00851552	rituximab
1336825	0	NCT00851552	bortezomib
1717963	0	NCT00939952	ertapenem
1337620	0	NCT00087152	capecitabine
1310317	0	NCT00774852	cyclophosphamide
19014878	0	NCT00774852	azathioprine
1551099	0	NCT00774852	prednisone
1503297	0	NCT01068652	metformin
1516976	0	NCT01068652	insulin detemir
1304850	0	NCT00076752	filgrastim
1506270	0	NCT00076752	methylprednisolone
1310317	0	NCT00076752	cyclophosphamide
755695	0	NCT00592852	fluoxetine
715259	0	NCT00443352	duloxetine
40230597	0	NCT00633152	ceftaroline
1736887	0	NCT00633152	linezolid
1314273	0	NCT00691652	rituximab
19054821	0	NCT00691652	clofarabine
1301125	0	NCT00386152	epoetin alfa
1304643	0	NCT00386152	darbepoetin alfa
1397141	0	NCT00434252	bevacizumab
1344905	0	NCT00434252	carboplatin
1378382	0	NCT00434252	paclitaxel
40222444	0	NCT01495000	denosumab
1151789	0	NCT00581100	etanercept
40234834	0	NCT01680900	vilazodone
1516976	0	NCT00795600	insulin detemir
19088328	0	NCT00158600	alglucosidase alfa
948078	0	NCT00365300	pantoprazole
1378382	0	NCT00096200	paclitaxel
1344905	0	NCT00096200	carboplatin
1583722	0	NCT00097500	exenatide
1310149	0	NCT00262600	warfarin
43012718	0	NCT01431300	gadofosveset
757352	0	NCT00889200	eszopiclone
1315865	0	NCT00911300	fondaparinux
19080982	0	NCT01492400	ranibizumab
1597235	0	NCT00696800	follitropin beta
1118084	0	NCT00357500	celecoxib
1310317	0	NCT00357500	cyclophosphamide
1350504	0	NCT00357500	etoposide
1551803	0	NCT00357500	fenofibrate
19137042	0	NCT00357500	thalidomide
1119119	0	NCT00647400	adalimumab
1516976	0	NCT00184600	insulin detemir
1341149	0	NCT00424554	temozolomide
1703687	0	NCT01026454	acyclovir
1717704	0	NCT01026454	valacyclovir
1301267	0	NCT01078454	melphalan
1518254	0	NCT01078454	dexamethasone
1336825	0	NCT01078454	bortezomib
1786621	0	NCT01155154	cephalexin
997881	0	NCT01155154	clindamycin
905518	0	NCT01276054	methylene blue
1154077	0	NCT00397254	rizatriptan
44814600	0	NCT01430754	tasimelteon
19027958	0	NCT01286454	fesoterodine
1315411	0	NCT00288054	cetuximab
1315942	0	NCT00288054	docetaxel
40222444	0	NCT00896454	denosumab
40164052	0	NCT01190254	asenapine
