source_code|source_vocabulary_id|source_code_description|target_concept_id|target_vocabulary_id|mapping_type|primary_map|valid_start_date|valid_end_date|invalid_reason
D002974|46|Clemastine|1197677|8|DRUG|Y|1970-01-01|2099-12-31|
D003009|46|Chlorazepate|790253|8|DRUG|Y|1970-01-01|2099-12-31|
D003022|46|Clotrimazole|1000632|8|DRUG|Y|1970-01-01|2099-12-31|
D003033|46|Coal Tar|1000995|8|DRUG|Y|1970-01-01|2099-12-31|
D002710|46|Chlorhexidine|1790812|8|DRUG|Y|1970-01-01|2099-12-31|
D002720|46|Chlormezanone|19092290|8|DRUG|Y|1970-01-01|2099-12-31|
D002740|46|Chlorothiazide|992590|8|DRUG|Y|1970-01-01|2099-12-31|
D002750|46|Chlorquinaldol|19095028|8|DRUG|Y|1970-01-01|2099-12-31|
D002955|46|Leucovorin|1388796|8|DRUG|Y|1970-01-01|2099-12-31|
D002990|46|Clobetasol|998415|8|DRUG|Y|1970-01-01|2099-12-31|
D003002|46|Clonixin|19099129|8|DRUG|Y|1970-01-01|2099-12-31|
D003314|46|Corn Oil|19007533|8|DRUG|Y|1970-01-01|2099-12-31|
D003495|46|Cyclandelate|1309323|8|DRUG|Y|1970-01-01|2099-12-31|
D003518|46|Cyclopenthiazide|19010015|8|DRUG|Y|1970-01-01|2099-12-31|
D003523|46|Cycloserine|1710446|8|DRUG|Y|1970-01-01|2099-12-31|
D003561|46|Cytarabine|1311078|8|DRUG|Y|1970-01-01|2099-12-31|
D003613|46|Danazol|1511449|8|DRUG|Y|1970-01-01|2099-12-31|
D003708|46|Nordazepam|19080959|8|DRUG|Y|1970-01-01|2099-12-31|
D003840|46|Deoxycholate|19052896|8|DRUG|Y|1970-01-01|2099-12-31|
D003850|46|Streptodornase|19136184|8|DRUG|Y|1970-01-01|2099-12-31|
D003891|46|Desipramine|716968|8|DRUG|Y|1970-01-01|2099-12-31|
D003909|46|Dexetimide|19082894|8|DRUG|Y|1970-01-01|2099-12-31|
D003982|46|Dibekacin|19023508|8|DRUG|Y|1970-01-01|2099-12-31|
D004028|46|Dienestrol|925102|8|DRUG|Y|1970-01-01|2099-12-31|
D004053|46|Diethylpropion|725822|8|DRUG|Y|1970-01-01|2099-12-31|
D004087|46|Dihydroergotamine|1126557|8|DRUG|Y|1970-01-01|2099-12-31|
D004281|46|Docosahexaenoate|19016670|8|DRUG|Y|1970-01-01|2099-12-31|
D004656|46|Enalapril|1341927|8|DRUG|Y|1970-01-01|2099-12-31|
D004874|46|Ergonovine|1345205|8|DRUG|Y|1970-01-01|2099-12-31|
D004878|46|Ergotamine|1145379|8|DRUG|Y|1970-01-01|2099-12-31|
D005045|46|Etomidate|19050488|8|DRUG|Y|1970-01-01|2099-12-31|
D005439|46|Flufenamic Acid|19110711|8|DRUG|Y|1970-01-01|2099-12-31|
D005469|46|Fluorometholone|955583|8|DRUG|Y|1970-01-01|2099-12-31|
D005473|46|Fluoxetine|755695|8|DRUG|Y|1970-01-01|2099-12-31|
D005492|46|Folate|1387426|8|DRUG|Y|1970-01-01|2010-10-03|D
D001960|46|Bromazepam|19030353|8|DRUG|Y|1970-01-01|2099-12-31|
D001964|46|Bromhexine|19030493|8|DRUG|Y|1970-01-01|2099-12-31|
D002064|46|Buserelin|19033280|8|DRUG|Y|1970-01-01|2099-12-31|
C006088|46|bornaprine|19018661|8|DRUG|Y|1970-01-01|2099-12-31|
C006154|46|nadoxolol|19080436|8|DRUG|Y|1970-01-01|2099-12-31|
C006656|46|azatadine|1133993|8|DRUG|Y|1970-01-01|2099-12-31|
C006683|46|bamifylline|19018518|8|DRUG|Y|1970-01-01|2099-12-31|
C006955|46|cetiedil|19031267|8|DRUG|Y|1970-01-01|2099-12-31|
C007005|46|carprofen|19046454|8|DRUG|Y|1970-01-01|2099-12-31|
C010679|46|anisindione|1332661|8|DRUG|Y|1970-01-01|2099-12-31|
C010725|46|fenbufen|19095703|8|DRUG|Y|1970-01-01|2099-12-31|
C011001|46|isoaminile|19003416|8|DRUG|Y|1970-01-01|2099-12-31|
C011369|46|calcium threonate|1302788|8|DRUG|Y|1970-01-01|2099-12-31|
C011685|46|bitolterol|1138050|8|DRUG|Y|1970-01-01|2099-12-31|
C011731|46|cloprednol|19050907|8|DRUG|Y|1970-01-01|2099-12-31|
C011911|46|mesulfen|19072051|8|DRUG|Y|1970-01-01|2099-12-31|
C011941|46|nabilone|913440|8|DRUG|Y|1970-01-01|2099-12-31|
D015215|46|Zidovudine|1710612|8|DRUG|Y|1970-01-01|2099-12-31|
D015311|46|Cefmetazole|19072255|8|DRUG|Y|1970-01-01|2099-12-31|
D015365|46|Enoxacin|1743222|8|DRUG|Y|1970-01-01|2099-12-31|
D015377|46|Cilastatin|1797258|8|DRUG|Y|1970-01-01|2099-12-31|
D015381|46|Interferon Alfa-2b|1380068|8|DRUG|Y|1970-01-01|2099-12-31|
C003316|46|sobrerol|19039512|8|DRUG|Y|1970-01-01|2099-12-31|
C003321|46|polystyrene sulfonic acid, homopolymer, calcium salt|19112563|8|DRUG|Y|1970-01-01|2099-12-31|
C003722|46|tritoqualine|19101651|8|DRUG|Y|1970-01-01|2099-12-31|
C004568|46|tiadenol|19100753|8|DRUG|Y|1970-01-01|2099-12-31|
C004639|46|cyclothiazide|19082886|8|DRUG|Y|1970-01-01|2099-12-31|
C004651|46|dipropylacetamide|19054995|8|DRUG|Y|1970-01-01|2099-12-31|
C004686|46|clocortolone|950882|8|DRUG|Y|1970-01-01|2099-12-31|
C005200|46|sodium metabisulfite|19039874|8|DRUG|Y|1970-01-01|2099-12-31|
C005274|46|naringin|19080895|8|DRUG|Y|1970-01-01|2099-12-31|
C005454|46|piperonal|19025422|8|DRUG|Y|1970-01-01|2099-12-31|
C005472|46|efloxate|19057394|8|DRUG|Y|1970-01-01|2099-12-31|
C005701|46|picosulfate sodium|19025115|8|DRUG|Y|1970-01-01|2099-12-31|
C005810|46|tetrahydrozoline|941577|8|DRUG|Y|1970-01-01|2099-12-31|
C005822|46|thenyldiamine|19041786|8|DRUG|Y|1970-01-01|2099-12-31|
C007090|46|clomocycline|19047265|8|DRUG|Y|1970-01-01|2099-12-31|
C003155|46|piprozoline|19093365|8|DRUG|Y|1970-01-01|2099-12-31|
C003773|46|xibornol|19102105|8|DRUG|Y|1970-01-01|2099-12-31|
C004279|46|tromantadine|19101679|8|DRUG|Y|1970-01-01|2099-12-31|
C007333|46|dichloralantipyrine|1189490|8|DRUG|Y|1970-01-01|2099-12-31|
C007639|46|ethaverine|19095288|8|DRUG|Y|1970-01-01|2099-12-31|
C008088|46|1-hydroxycholecalciferol|19014202|8|DRUG|Y|1970-01-01|2099-12-31|
D007444|46|Inulin|980478|8|DRUG|Y|1970-01-01|2099-12-31|
D007458|46|Iodipamide|19080817|8|DRUG|Y|1970-01-01|2099-12-31|
D007466|46|Iodophors|19122138|8|DRUG|Y|1970-01-01|2099-12-31|
D007487|46|Ipodate|19081385|8|DRUG|Y|1970-01-01|2099-12-31|
D007505|46|Iron-Dextran Complex|1381661|8|DRUG|Y|1970-01-01|2099-12-31|
D007548|46|Isosorbide Dinitrate|1383925|8|DRUG|Y|1970-01-01|2099-12-31|
D007649|46|Ketamine|785649|8|DRUG|Y|1970-01-01|2099-12-31|
D007779|46|Lactobacillus acidophilus|987153|8|DRUG|Y|1970-01-01|2099-12-31|
D007792|46|Lactulose|987245|8|DRUG|Y|1970-01-01|2099-12-31|
D007809|46|Lanolin|19087317|8|DRUG|Y|1970-01-01|2099-12-31|
D007987|46|Gonadotropin-Releasing Hormone|19089810|8|DRUG|Y|1970-01-01|2099-12-31|
D008110|46|Liver Extracts|19091701|8|DRUG|Y|1970-01-01|2099-12-31|
D008276|46|Magnesium Hydroxide|992956|8|DRUG|Y|1970-01-01|2099-12-31|
D008277|46|Magnesium Oxide|993631|8|DRUG|Y|1970-01-01|2099-12-31|
D008454|46|Mazindol|794229|8|DRUG|Y|1970-01-01|2099-12-31|
D008464|46|Mecamylamine|1394333|8|DRUG|Y|1970-01-01|2099-12-31|
D008620|46|Meprobamate|702865|8|DRUG|Y|1970-01-01|2099-12-31|
D008655|46|Mesterolone|19003140|8|DRUG|Y|1970-01-01|2099-12-31|
D008696|46|Methandrostenolone|19004098|8|DRUG|Y|1970-01-01|2099-12-31|
D008728|46|Methotrimeprazine|19005147|8|DRUG|Y|1970-01-01|2099-12-31|
D008775|46|Methylprednisolone|1506270|8|DRUG|Y|1970-01-01|2099-12-31|
D009278|46|Naphazoline|914533|8|DRUG|Y|1970-01-01|2099-12-31|
D009340|46|Nefopam|19015602|8|DRUG|Y|1970-01-01|2099-12-31|
D009355|46|Neomycin|915981|8|DRUG|Y|1970-01-01|2099-12-31|
D009534|46|Niclosamide|19018416|8|DRUG|Y|1970-01-01|2099-12-31|
C006281|46|febuprol|19095667|8|DRUG|Y|1970-01-01|2099-12-31|
C006691|46|bentoquatam|915518|8|DRUG|Y|1970-01-01|2099-12-31|
C006912|46|carboxypolymethylene|19026397|8|DRUG|Y|1970-01-01|2099-12-31|
C006984|46|chlorocresol|19037891|8|DRUG|Y|1970-01-01|2099-12-31|
C007147|46|4-cresyl acetate|920064|8|DRUG|Y|1970-01-01|2099-12-31|
C007608|46|eprazinone|19095266|8|DRUG|Y|1970-01-01|2099-12-31|
C007942|46|pentifylline|19022570|8|DRUG|Y|1970-01-01|2099-12-31|
C008170|46|iron sorbitex|19003345|8|DRUG|Y|1970-01-01|2099-12-31|
C008729|46|oxaprozin|1118045|8|DRUG|Y|1970-01-01|2099-12-31|
C008783|46|pentaerythritol|19022446|8|DRUG|Y|1970-01-01|2099-12-31|
C008959|46|lyapolate|19008192|8|DRUG|Y|1970-01-01|2099-12-31|
C009348|46|sulfanilylurea|19100419|8|DRUG|Y|1970-01-01|2099-12-31|
C009488|46|thiphenamil|19100738|8|DRUG|Y|1970-01-01|2099-12-31|
C010581|46|glucometacin|19098123|8|DRUG|Y|1970-01-01|2099-12-31|
C010651|46|buflomedil|19039639|8|DRUG|Y|1970-01-01|2099-12-31|
C008133|46|invert sugar|19003107|8|DRUG|Y|1970-01-01|2099-12-31|
D015774|46|Ganciclovir|1757803|8|DRUG|Y|1970-01-01|2099-12-31|
D016049|46|Didanosine|1724869|8|DRUG|Y|1970-01-01|2099-12-31|
D016293|46|Moricizine|1344996|8|DRUG|Y|1970-01-01|2099-12-31|
C469428|46|bevacizumab|1397141|8|DRUG|Y|1970-01-01|2099-12-31|
C471996|46|deracoxib|19036391|8|DRUG|Y|1970-01-01|2099-12-31|
C484563|46|insulin, lente, beef|19090204|8|DRUG|Y|1970-01-01|2099-12-31|
C500838|46|varenicline|780442|8|DRUG|Y|1970-01-01|2099-12-31|
D017829|46|Granisetron|1000772|8|DRUG|Y|1970-01-01|2099-12-31|
D017830|46|Octoxynol|916059|8|DRUG|Y|1970-01-01|2099-12-31|
D017985|46|Dalteparin|1301065|8|DRUG|Y|1970-01-01|2099-12-31|
D018029|46|Rho(D) Immune Globulin|535714|8|DRUG|Y|1970-01-01|2099-12-31|
D019258|46|Saquinavir|1746244|8|DRUG|Y|1970-01-01|2099-12-31|
D019344|46|Lactic Acid|904826|8|DRUG|Y|1970-01-01|2009-12-06|D
D019347|46|Potassium Acetate|19076414|8|DRUG|Y|1970-01-01|2099-12-31|
D019772|46|Topotecan|1378509|8|DRUG|Y|1970-01-01|2099-12-31|
D019782|46|Riluzole|735951|8|DRUG|Y|1970-01-01|2099-12-31|
D019787|46|Linoleate|19011795|8|DRUG|Y|1970-01-01|2099-12-31|
D019791|46|Guanidine|766337|8|DRUG|Y|1970-01-01|2099-12-31|
C013459|46|cyclopentamine|19080427|8|DRUG|Y|1970-01-01|2099-12-31|
C014557|46|flunixin|19096546|8|DRUG|Y|1970-01-01|2099-12-31|
C014635|46|lactitol|19071236|8|DRUG|Y|1970-01-01|2099-12-31|
C015358|46|methylparaben|19009877|8|DRUG|Y|1970-01-01|2099-12-31|
C015372|46|iodinated glycerol|1103137|8|DRUG|Y|1970-01-01|2099-12-31|
C015668|46|4-aminomethylbenzoic acid|19012200|8|DRUG|Y|1970-01-01|2099-12-31|
C015712|46|bisdequalinium|19018635|8|DRUG|Y|1970-01-01|2099-12-31|
C015853|46|eprozinol|19058682|8|DRUG|Y|1970-01-01|2099-12-31|
C016167|46|triflusal|19042778|8|DRUG|Y|1970-01-01|2099-12-31|
C016986|46|apraclonidine|919986|8|DRUG|Y|1970-01-01|2099-12-31|
C017590|46|oxitropium|19018882|8|DRUG|Y|1970-01-01|2099-12-31|
C018279|46|sodium phosphate|939871|8|DRUG|Y|1970-01-01|2099-12-31|
C502012|46|vildagliptin|19122137|8|DRUG|Y|1970-01-01|2099-12-31|
C502411|46|maraviroc|1787101|8|DRUG|Y|1970-01-01|2099-12-31|
C515100|46|carbonyl iron (Fe(CO)5)|1400498|8|DRUG|Y|1970-01-01|2099-12-31|
C517982|46|idursulfase|19091430|8|DRUG|Y|1970-01-01|2099-12-31|
D000114|46|Acetylene|19040233|8|DRUG|Y|1970-01-01|2099-12-31|
D015738|46|Famotidine|953076|8|DRUG|Y|1970-01-01|2099-12-31|
D015765|46|Almitrine|19113052|8|DRUG|Y|1970-01-01|2099-12-31|
D015766|46|Albendazole|1753745|8|DRUG|Y|1970-01-01|2099-12-31|
D015767|46|Mefloquine|19000498|8|DRUG|Y|1970-01-01|2099-12-31|
D015784|46|Betaxolol|1322081|8|DRUG|Y|1970-01-01|2099-12-31|
D016210|46|Methacholine|19024227|8|DRUG|Y|1970-01-01|2099-12-31|
D016255|46|Anistreplase|19044890|8|DRUG|Y|1970-01-01|2099-12-31|
D016700|46|Encainide|19051513|8|DRUG|Y|1970-01-01|2099-12-31|
D017292|46|Doxazosin|1363053|8|DRUG|Y|1970-01-01|2099-12-31|
D017330|46|Remoxipride|19035226|8|DRUG|Y|1970-01-01|2099-12-31|
D017335|46|Enoximone|19063454|8|DRUG|Y|1970-01-01|2099-12-31|
D017374|46|Paroxetine|722031|8|DRUG|Y|1970-01-01|2099-12-31|
D017409|46|Sufentanil|19078219|8|DRUG|Y|1970-01-01|2099-12-31|
D017762|46|Nadroparin|19001014|8|DRUG|Y|1970-01-01|2099-12-31|
D000241|46|Adenosine|1309204|8|DRUG|Y|1970-01-01|2099-12-31|
D000255|46|Adenosine Triphosphate|19015230|8|DRUG|Y|1970-01-01|2099-12-31|
D000516|46|alpha-Amylases|19115053|8|DRUG|Y|1970-01-01|2099-12-31|
D000561|46|Amdinocillin Pivoxil|19088223|8|DRUG|Y|1970-01-01|2099-12-31|
D000584|46|Amiloride|991382|8|DRUG|Y|1970-01-01|2099-12-31|
C473307|46|nicoboxil|19090809|8|DRUG|Y|1970-01-01|2099-12-31|
C473478|46|sunitinib|1336539|8|DRUG|Y|1970-01-01|2099-12-31|
C476513|46|levobupivacaine|19098741|8|DRUG|Y|1970-01-01|2099-12-31|
C479038|46|carbomer|19055217|8|DRUG|Y|1970-01-01|2099-12-31|
C074031|46|exenatide|1583722|8|DRUG|Y|1970-01-01|2099-12-31|
C074848|46|Tocamphyl|19123338|8|DRUG|Y|1970-01-01|2099-12-31|
C075375|46|grepafloxacin|1747032|8|DRUG|Y|1970-01-01|2099-12-31|
C076029|46|olanzapine|785788|8|DRUG|Y|1970-01-01|2099-12-31|
C076775|46|clostebol|19123502|8|DRUG|Y|1970-01-01|2099-12-31|
C076986|46|flutrimazole|19123624|8|DRUG|Y|1970-01-01|2099-12-31|
C079150|46|paliperidone|703244|8|DRUG|Y|1970-01-01|2099-12-31|
C081732|46|iloperidone|19017241|8|DRUG|Y|1970-01-01|2099-12-31|
C084645|46|distigmine|19035856|8|DRUG|Y|1970-01-01|2099-12-31|
C084775|46|fenspiride|19107829|8|DRUG|Y|1970-01-01|2099-12-31|
C084825|46|thioproperazine|19000305|8|DRUG|Y|1970-01-01|2099-12-31|
C084828|46|allobarbital|19113034|8|DRUG|Y|1970-01-01|2099-12-31|
C084833|46|butabarbital|959174|8|DRUG|Y|1970-01-01|2099-12-31|
C089399|46|ichthammol|977949|8|DRUG|Y|1970-01-01|2099-12-31|
C092560|46|rituximab|1314273|8|DRUG|Y|1970-01-01|2099-12-31|
C093802|46|zinc bromide|19135810|8|DRUG|Y|1970-01-01|2099-12-31|
C093875|46|montelukast|1154161|8|DRUG|Y|1970-01-01|2099-12-31|
C095105|46|bexarotene|1389888|8|DRUG|Y|1970-01-01|2099-12-31|
C100135|46|propicillin|19096054|8|DRUG|Y|1970-01-01|2099-12-31|
C100209|46|phenethicillin|19088795|8|DRUG|Y|1970-01-01|2099-12-31|
C100275|46|fomocain|19065032|8|DRUG|Y|1970-01-01|2099-12-31|
C100280|46|ketophenylbutazone|19069191|8|DRUG|Y|1970-01-01|2099-12-31|
C100295|46|poldine|19026134|8|DRUG|Y|1970-01-01|2099-12-31|
C101012|46|ferrous lactate|19016234|8|DRUG|Y|1970-01-01|2099-12-31|
C101315|46|Capromab Pendetide|19016248|8|DRUG|Y|1970-01-01|2099-12-31|
C106389|46|conivaptan|19010927|8|DRUG|Y|1970-01-01|2099-12-31|
C106856|46|alatrofloxacin|19018154|8|DRUG|Y|1970-01-01|2099-12-31|
C108577|46|infliximab|937368|8|DRUG|Y|1970-01-01|2099-12-31|
C110051|46|calcium lactate|19058896|8|DRUG|Y|1970-01-01|2099-12-31|
C111481|46|shark cartilage extract|1340875|8|DRUG|Y|1970-01-01|2099-12-31|
C112035|46|lopinavir|1738170|8|DRUG|Y|1970-01-01|2099-12-31|
C112748|46|trastuzumab|1387104|8|DRUG|Y|1970-01-01|2099-12-31|
C113825|46|quinupristin|1789515|8|DRUG|Y|1970-01-01|2099-12-31|
C117342|46|calfactant|19089891|8|DRUG|Y|1970-01-01|2099-12-31|
C121182|46|tenecteplase|19098548|8|DRUG|Y|1970-01-01|2099-12-31|
C121677|46|valganciclovir|1703063|8|DRUG|Y|1970-01-01|2099-12-31|
C400082|46|bortezomib|1336825|8|DRUG|Y|1970-01-01|2099-12-31|
C407042|46|plant stanol ester|1398573|8|DRUG|Y|1970-01-01|2099-12-31|
D017291|46|Clarithromycin|1750500|8|DRUG|Y|1970-01-01|2099-12-31|
D017312|46|Toremifene|1342346|8|DRUG|Y|1970-01-01|2099-12-31|
D017336|46|Loratadine|1107830|8|DRUG|Y|1970-01-01|2099-12-31|
D018698|46|Glutamate|911486|8|DRUG|Y|1970-01-01|2099-12-31|
D019289|46|Pyruvate|19126916|8|DRUG|Y|1970-01-01|2099-12-31|
D019301|46|Oleate|19126536|8|DRUG|Y|1970-01-01|2099-12-31|
D019327|46|Copper Sulfate|19057346|8|DRUG|Y|1970-01-01|2099-12-31|
D019346|46|Sodium Acetate|19077884|8|DRUG|Y|1970-01-01|2099-12-31|
C012021|46|quinestradol|19098415|8|DRUG|Y|1970-01-01|2099-12-31|
C012318|46|fenbutrazate|19018289|8|DRUG|Y|1970-01-01|2099-12-31|
C012839|46|cholinophyllin|19049816|8|DRUG|Y|1970-01-01|2099-12-31|
C413685|46|entecavir|1711246|8|DRUG|Y|1970-01-01|2099-12-31|
C418563|46|tenofovir disoproxil|1710281|8|DRUG|Y|1970-01-01|2099-12-31|
C418863|46|pralatrexate|40166461|8|DRUG|Y|1970-01-01|2099-12-31|
C426063|46|vardenafil|1311276|8|DRUG|Y|1970-01-01|2099-12-31|
C438103|46|travoprost|904501|8|DRUG|Y|1970-01-01|2099-12-31|
C467567|46|lenalidomide|19026972|8|DRUG|Y|1970-01-01|2099-12-31|
C468008|46|certolizumab pegol|912263|8|DRUG|Y|1970-01-01|2099-12-31|
C469407|46|natalizumab|735843|8|DRUG|Y|1970-01-01|2099-12-31|
D000658|46|Amoxicillin|1713332|8|DRUG|Y|1970-01-01|2099-12-31|
D000666|46|Amphotericin B|1717240|8|DRUG|Y|1970-01-01|2099-12-31|
D000676|46|Amrinone|19017805|8|DRUG|Y|1970-01-01|2099-12-31|
D000735|46|Androstenedione|19026277|8|DRUG|Y|1970-01-01|2099-12-31|
C021182|46|gemeprost|19011126|8|DRUG|Y|1970-01-01|2099-12-31|
C022909|46|5-methoxypsoralen|19018285|8|DRUG|Y|1970-01-01|2099-12-31|
C022990|46|chromic chloride|19049877|8|DRUG|Y|1970-01-01|2099-12-31|
C023177|46|sultilains|19088614|8|DRUG|Y|1970-01-01|2099-12-31|
C025026|46|sodium sulfite|939979|8|DRUG|Y|1970-01-01|2099-12-31|
D013974|46|Thyroxine|1501700|8|DRUG|Y|1970-01-01|2099-12-31|
D013976|46|Tiapride|19008012|8|DRUG|Y|1970-01-01|2099-12-31|
C025136|46|phenylacetate|1511856|8|DRUG|Y|1970-01-01|2099-12-31|
C025292|46|diacetylrhein|19088915|8|DRUG|Y|1970-01-01|2099-12-31|
C025698|46|selenium disulfide|938061|8|DRUG|Y|1970-01-01|2099-12-31|
C026013|46|fenproporex|19095727|8|DRUG|Y|1970-01-01|2099-12-31|
C026055|46|oxilofrin|19018261|8|DRUG|Y|1970-01-01|2099-12-31|
C026191|46|diethylamine salicylate|19029278|8|DRUG|Y|1970-01-01|2099-12-31|
C026455|46|thymalfasin|19100740|8|DRUG|Y|1970-01-01|2099-12-31|
C027385|46|tibolone|19041933|8|DRUG|Y|1970-01-01|2099-12-31|
C027429|46|veralipride|19043327|8|DRUG|Y|1970-01-01|2099-12-31|
C027696|46|acipimox|19029644|8|DRUG|Y|1970-01-01|2099-12-31|
C027953|46|alminoprofen|19018431|8|DRUG|Y|1970-01-01|2099-12-31|
D013993|46|Tilidine|19002431|8|DRUG|Y|1970-01-01|2099-12-31|
D008535|46|Megestrol|1300978|8|DRUG|Y|1970-01-01|2099-12-31|
D008618|46|Mephobarbital|702685|8|DRUG|Y|1970-01-01|2099-12-31|
D008621|46|Meptazinol|19003010|8|DRUG|Y|1970-01-01|2099-12-31|
D008691|46|Methadone|1103640|8|DRUG|Y|1970-01-01|2099-12-31|
D008701|46|Methapyrilene|19004158|8|DRUG|Y|1970-01-01|2099-12-31|
D008711|46|Metergoline|19004626|8|DRUG|Y|1970-01-01|2099-12-31|
D008713|46|Methimazole|1504620|8|DRUG|Y|1970-01-01|2099-12-31|
D008771|46|Corbadrine|19015395|8|DRUG|Y|1970-01-01|2099-12-31|
D008790|46|Metoprolol|1307046|8|DRUG|Y|1970-01-01|2099-12-31|
D008795|46|Metronidazole|1707164|8|DRUG|Y|1970-01-01|2099-12-31|
D008797|46|Metyrapone|19007490|8|DRUG|Y|1970-01-01|2099-12-31|
D008802|46|Mezlocillin|19007701|8|DRUG|Y|1970-01-01|2099-12-31|
D008879|46|Midodrine|1308368|8|DRUG|Y|1970-01-01|2099-12-31|
D008911|46|Minocycline|1708880|8|DRUG|Y|1970-01-01|2099-12-31|
D008939|46|Mitotane|1309161|8|DRUG|Y|1970-01-01|2099-12-31|
D009257|46|Nafronyl|19014035|8|DRUG|Y|1970-01-01|2099-12-31|
D009271|46|Naltrexone|1714319|8|DRUG|Y|1970-01-01|2099-12-31|
D009526|46|Nialamide|19127550|8|DRUG|Y|1970-01-01|2099-12-31|
D009538|46|Nicotine|718583|8|DRUG|Y|1970-01-01|2099-12-31|
D009583|46|Nitrofurazone|920378|8|DRUG|Y|1970-01-01|2099-12-31|
D009599|46|Nitroprusside|19020994|8|DRUG|Y|1970-01-01|2099-12-31|
D009609|46|Nitrous Oxide|19021129|8|DRUG|Y|1970-01-01|2099-12-31|
D009637|46|Masoprocol|988447|8|DRUG|Y|1970-01-01|2099-12-31|
D009639|46|Norethandrolone|19128219|8|DRUG|Y|1970-01-01|2099-12-31|
D009827|46|Oleandomycin|19023254|8|DRUG|Y|1970-01-01|2099-12-31|
D010113|46|Oxyphenbutazone|19025925|8|DRUG|Y|1970-01-01|2099-12-31|
D010194|46|Pancreatin|926487|8|DRUG|Y|1970-01-01|2099-12-31|
D010205|46|Pantothenic Acid|19026739|8|DRUG|Y|1970-01-01|2099-12-31|
D010426|46|Pentosan Polysulfate|924151|8|DRUG|Y|1970-01-01|2099-12-31|
D010461|46|Peptones|19032237|8|DRUG|Y|1970-01-01|2099-12-31|
D010546|46|Perphenazine|733008|8|DRUG|Y|1970-01-01|2099-12-31|
D014011|46|Tinidazole|1702559|8|DRUG|Y|1970-01-01|2099-12-31|
D014031|46|Tobramycin|902722|8|DRUG|Y|1970-01-01|2099-12-31|
D014048|46|Tolonium Chloride|19008782|8|DRUG|Y|1970-01-01|2099-12-31|
D010620|46|Phenazocine|19132884|8|DRUG|Y|1970-01-01|2099-12-31|
D010629|46|Phenformin|19033909|8|DRUG|Y|1970-01-01|2099-12-31|
D010638|46|Phenoperidine|19132889|8|DRUG|Y|1970-01-01|2099-12-31|
D010643|46|Phenoxybenzamine|1335301|8|DRUG|Y|1970-01-01|2099-12-31|
