source_code|source_code_description|concept_code|concept_name|concept_id
C005274|naringin|31538|naringin|19080895
C005454|piperonal|33753|piperonal|19025422
C005472|efloxate|23852|efloxate|19057394
C005701|picosulfate sodium|33688|picosulfate sodium|19025115
C005810|tetrahydrozoline|37935|tetrahydrozoline|941577
C005822|thenyldiamine|38025|thenyldiamine|19041786
C007090|clomocycline|21272|clomocycline|19047265
C003155|piprozoline|33761|piprozoline|19093365
C003773|xibornol|39823|xibornol|19102105
C004279|tromantadine|38868|tromantadine|19101679
C007333|dichloralantipyrine|22892|dichloralantipyrine|1189490
C007639|ethaverine|24464|ethaverine|19095288
C008088|1-hydroxycholecalciferol|12062|Alfacalcidol|19014202
D007444|Inulin|5924|Inulin|980478
D007458|Iodipamide|5936|Iodipamide|19080817
D007466|Iodophors|596712|Iodophors|19122138
D007487|Ipodate|5976|Ipodate|19081385
D007505|Iron-Dextran Complex|5992|Iron-Dextran Complex|1381661
D007548|Isosorbide Dinitrate|6058|Isosorbide Dinitrate|1383925
D007649|Ketamine|6130|Ketamine|785649
D007779|Lactobacillus acidophilus|6205|Lactobacillus acidophilus|987153
D007792|Lactulose|6218|Lactulose|987245
D007809|Lanolin|6227|Lanolin|19087317
D007987|Gonadotropin-Releasing Hormone|6384|Gonadorelin|19089810
D008110|Liver Extracts|6459|Liver Extract|19091701
D008276|Magnesium Hydroxide|6581|Magnesium Hydroxide|992956
D008277|Magnesium Oxide|6582|Magnesium Oxide|993631
D008454|Mazindol|6664|Mazindol|794229
D008464|Mecamylamine|6673|Mecamylamine|1394333
D008620|Meprobamate|6760|Meprobamate|702865
D008655|Mesterolone|6781|Mesterolone|19003140
D008696|Methandrostenolone|6818|Methandrostenolone|19004098
D008728|Methotrimeprazine|6852|Methotrimeprazine|19005147
D008775|Methylprednisolone|6902|Methylprednisolone|1506270
D009278|Naphazoline|7247|Naphazoline|914533
D009340|Nefopam|7285|Nefopam|19015602
D009355|Neomycin|7299|Neomycin|915981
D009534|Niclosamide|7402|Niclosamide|19018416
C006281|febuprol|24809|febuprol|19095667
C006691|bentoquatam|134568|bentoquatam|915518
C006912|carboxypolymethylene|20298|carboxypolymethylene|19026397
C006984|chlorocresol|20823|chlorocresol|19037891
C007147|4-cresyl acetate|14997|4-cresyl acetate|920064
C007608|eprazinone|24272|eprazinone|19095266
C007942|pentifylline|33086|pentifylline|19022570
C008170|iron sorbitex|27824|iron sorbitex|19003345
C008729|oxaprozin|32613|oxaprozin|1118045
C008783|pentaerythritol|33055|pentaerythritol|19022446
C008959|lyapolate|29006|lyapolate|19008192
C009348|sulfanilylurea|37333|sulfanilylurea|19100419
C009488|thiphenamil|38150|thiphenamil|19100738
C010581|glucometacin|25834|glucometacin|19098123
C010651|buflomedil|19836|buflomedil|19039639
C008133|invert sugar|27712|invert sugar|19003107
D015774|Ganciclovir|4678|Ganciclovir|1757803
D016049|Didanosine|3364|Didanosine|1724869
D016293|Moricizine|40169|Moricizine|1344996
C469428|bevacizumab|253337|bevacizumab|1397141
C471996|deracoxib|356834|deracoxib|19036391
C484563|insulin, lente, beef|235280|Insulin, Zinc, Beef|19090204
C500838|varenicline|591622|varenicline|780442
D017829|Granisetron|26237|Granisetron|1000772
D017830|Octoxynol|32301|Octoxynol|916059
D017985|Dalteparin|67109|Dalteparin|1301065
D018029|Rho(D) Immune Globulin|35465|Rho(D) Immune Globulin|535714
D019258|Saquinavir|83395|Saquinavir|1746244
D019344|Lactic Acid|28393|Lactic acid|904826
D019347|Potassium Acetate|54987|Potassium Acetate|19076414
D019772|Topotecan|57308|Topotecan|1378509
D019782|Riluzole|35623|Riluzole|735951
D019787|Linoleate|70611|linoleate|19011795
D019791|Guanidine|50675|guanidinium|766337
C013459|cyclopentamine|59094|cyclopentamine|19080427
C014557|flunixin|25121|flunixin|19096546
C014635|lactitol|28395|lactitol|19071236
C015358|methylparaben|29903|methylparaben|19009877
C015372|iodinated glycerol|27723|iodinated glycerol|1103137
C015668|4-aminomethylbenzoic acid|14852|4-aminomethylbenzoic acid|19012200
C015712|bisdequalinium|19464|bisdequalinium|19018635
C015853|eprozinol|24274|eprozinol|19058682
C016167|triflusal|38655|triflusal|19042778
C016986|apraclonidine|14845|apraclonidine|919986
C017590|oxitropium|32649|oxitropium|19018882
C018279|sodium phosphate|36709|sodium phosphate|939871
C502012|vildagliptin|596554|vildagliptin|19122137
C502411|maraviroc|620216|maraviroc|1787101
C515100|carbonyl iron (Fe(CO)5)|262150|elemental iron (as carbonyl iron)|1400498
C517982|idursulfase|644101|Idursulfase|19091430
D000114|Acetylene|200|Acetylene|19040233
D015738|Famotidine|4278|Famotidine|953076
D015765|Almitrine|528|Almitrine|19113052
D015766|Albendazole|430|Albendazole|1753745
D015767|Mefloquine|6694|Mefloquine|19000498
D015784|Betaxolol|1520|Betaxolol|1322081
D016210|Methacholine|155080|Methacholine|19024227
D016255|Anistreplase|40028|Anistreplase|19044890
D016700|Encainide|42368|Encainide|19051513
D017292|Doxazosin|49276|Doxazosin|1363053
D017330|Remoxipride|35350|Remoxipride|19035226
D017335|Enoximone|49626|Enoximone|19063454
D017374|Paroxetine|32937|Paroxetine|722031
D017409|Sufentanil|56795|Sufentanil|19078219
D017762|Nadroparin|67031|Nadroparin|19001014
D000241|Adenosine|296|Adenosine|1309204
D000255|Adenosine Triphosphate|318|Adenosine Triphosphate|19015230
D000516|alpha-Amylases|560|ALPHA-AMYLASE|19115053
D000561|Amdinocillin Pivoxil|627|Amdinocillin Pivoxil|19088223
D000584|Amiloride|644|Amiloride|991382
C473307|nicoboxil|235788|nicoboxil|19090809
C473478|sunitinib|357977|sunitinib|1336539
C476513|levobupivacaine|259453|Levobupivacaine|19098741
C479038|carbomer|235535|Carbomer|19055217
C074031|exenatide|60548|exenatide|1583722
C074848|Tocamphyl|60906|Tocamphyl|19123338
C075375|grepafloxacin|83719|grepafloxacin|1747032
C076029|olanzapine|61381|olanzapine|785788
C076775|clostebol|61686|clostebol|19123502
C076986|flutrimazole|61773|flutrimazole|19123624
C079150|paliperidone|679314|paliperidone|703244
C081732|iloperidone|73178|iloperidone|19017241
C084645|distigmine|3551|distigmine|19035856
C084775|fenspiride|4335|fenspiride|19107829
C084825|thioproperazine|10498|thioproperazine|19000305
C084828|allobarbital|516|allobarbital|19113034
C084833|butabarbital|477631|butabarbital|959174
C089399|ichthammol|5645|ichthammol|977949
C092560|rituximab|121191|rituximab|1314273
C093802|zinc bromide|88188|zinc bromide|19135810
C093875|montelukast|88249|montelukast|1154161
C095105|bexarotene|233272|bexarotene|1389888
C100135|propicillin|34649|propicillin|19096054
C100209|phenethicillin|33277|phenethicillin|19088795
C100275|fomocain|25231|fomocain|19065032
C100280|ketophenylbutazone|28198|ketophenylbutazone|19069191
C100295|poldine|33926|poldine|19026134
C101012|ferrous lactate|136034|ferrous lactate|19016234
C101315|Capromab Pendetide|136300|Capromab Pendetide|19016248
C106389|conivaptan|302285|conivaptan|19010927
C106856|alatrofloxacin|141440|alatrofloxacin|19018154
C108577|infliximab|191831|infliximab|937368
C110051|calcium lactate|47622|calcium lactate|19058896
C111481|shark cartilage extract|81782|Shark cartilage extract|1340875
C112035|lopinavir|195088|lopinavir|1738170
C112748|trastuzumab|224905|trastuzumab|1387104
C113825|quinupristin|229367|quinupristin|1789515
C117342|calfactant|232539|calfactant|19089891
C121182|tenecteplase|259280|tenecteplase|19098548
C121677|valganciclovir|275891|valganciclovir|1703063
C400082|bortezomib|358258|bortezomib|1336825
C407042|plant stanol ester|259320|plant stanol ester|1398573
D017291|Clarithromycin|21212|Clarithromycin|1750500
D017312|Toremifene|38409|Toremifene|1342346
D017336|Loratadine|28889|Loratadine|1107830
D018698|Glutamate|70602|Glutamate|911486
D019289|Pyruvate|72031|Pyruvate|19126916
D019301|Oleate|70616|Oleate|19126536
D019327|Copper Sulfate|21579|Copper Sulfate|19057346
D019346|Sodium Acetate|56443|Sodium Acetate|19077884
C012021|quinestradol|35215|quinestradol|19098415
C012318|fenbutrazate|158507|fenbutrazate|19018289
C012839|cholinophyllin|20976|cholinophyllin|19049816
C413685|entecavir|306266|entecavir|1711246
C418563|tenofovir disoproxil|300195|tenofovir disoproxil|1710281
C418863|pralatrexate|662019|Pralatrexate|40166461
C426063|vardenafil|306674|vardenafil|1311276
C438103|travoprost|283809|travoprost|904501
C467567|lenalidomide|342369|lenalidomide|19026972
C468008|certolizumab pegol|709271|certolizumab pegol|912263
C469407|natalizumab|354770|Natalizumab|735843
D000658|Amoxicillin|723|Amoxicillin|1713332
D000666|Amphotericin B|732|Amphotericin B|1717240
D000676|Amrinone|738|Amrinone|19017805
D000735|Androstenedione|784|Androstenedione|19026277
C021182|gemeprost|12449|gemeprost|19011126
C022909|5-methoxypsoralen|15842|5-methoxypsoralen|19018285
C022990|chromic chloride|21009|chromic chloride|19049877
C023177|sultilains|227410|sultilains|19088614
C025026|sodium sulfite|36723|sodium sulfite|939979
D013974|Thyroxine|10582|Thyroxine|1501700
D013976|Tiapride|10588|Tiapride|19008012
C025136|phenylacetate|70619|phenylacetate|1511856
C025292|diacetylrhein|22759|diacetylrhein|19088915
C025698|selenium disulfide|36345|selenium disulfide|938061
C026013|fenproporex|24867|fenproporex|19095727
C026055|oxilofrin|32639|oxilofrin|19018261
C026191|diethylamine salicylate|162592|diethylamine salicylate|19029278
C026455|thymalfasin|38221|thymalfasin|19100740
C027385|tibolone|38260|tibolone|19041933
C027429|veralipride|39468|veralipride|19043327
C027696|acipimox|16817|acipimox|19029644
C027953|alminoprofen|17387|alminoprofen|19018431
D013993|Tilidine|10597|Tilidine|19002431
D008535|Megestrol|6703|Megestrol|1300978
D008618|Mephobarbital|6758|Mephobarbital|702685
D008621|Meptazinol|6761|Meptazinol|19003010
D008691|Methadone|6813|Methadone|1103640
D008701|Methapyrilene|6822|Methapyrilene|19004158
D008711|Metergoline|6834|Metergoline|19004626
D008713|Methimazole|6835|Methimazole|1504620
D008771|Corbadrine|132889|Levonordefrin|19015395
D008790|Metoprolol|6918|Metoprolol|1307046
D008795|Metronidazole|6922|Metronidazole|1707164
D008797|Metyrapone|6923|Metyrapone|19007490
D008802|Mezlocillin|6927|Mezlocillin|19007701
D008879|Midodrine|6963|Midodrine|1308368
D008911|Minocycline|6980|Minocycline|1708880
D008939|Mitotane|7004|Mitotane|1309161
D009257|Nafronyl|7236|Nafronyl|19014035
D009271|Naltrexone|7243|Naltrexone|1714319
D009526|Nialamide|7394|Nialamide|19127550
D009538|Nicotine|7407|Nicotine|718583
D009583|Nitrofurazone|7455|Nitrofurazone|920378
D009599|Nitroprusside|7476|Nitroprusside|19020994
D009609|Nitrous Oxide|7486|Nitrous Oxide|19021129
D009637|Masoprocol|227239|Masoprocol|988447
D009639|Norethandrolone|7513|Norethandrolone|19128219
D009827|Oleandomycin|7629|Oleandomycin|19023254
D010113|Oxyphenbutazone|7816|Oxyphenbutazone|19025925
D010194|Pancreatin|7880|Pancreatin|926487
D010205|Pantothenic Acid|7891|Pantothenic Acid|19026739
D010426|Pentosan Polysulfate|155046|Pentosan Polysulfate|924151
D010461|Peptones|8040|Peptones|19032237
D010546|Perphenazine|8076|Perphenazine|733008
D014011|Tinidazole|10612|Tinidazole|1702559
D014031|Tobramycin|10627|Tobramycin|902722
D014048|Tolonium Chloride|10638|Tolonium chloride|19008782
D010620|Phenazocine|8119|Phenazocine|19132884
D010629|Phenformin|8129|Phenformin|19033909
D010638|Phenoperidine|8143|Phenoperidine|19132889
D010643|Phenoxybenzamine|8149|Phenoxybenzamine|1335301
D010646|Phentolamine|8153|Phentolamine|1335539
D010830|Physostigmine|8299|Physostigmine|19044337
D010840|Phytosterols|8310|Phytosterols|19044812
D010894|Piroxicam|8356|Piroxicam|1146810
D010909|Pituitary Hormones, Posterior|8366|Posterior Pituitary Hormones|19046987
D011095|Polyethylenes|8519|Polyethylenes|19135778
D011241|Prednisone|8640|Prednisone|1551099
D011343|Procaine|8701|Procaine|751698
D011429|Propolis|8783|Propolis|19135804
D011515|Prothionamide|8871|Prothionamide|19135812
D014215|Triacetin|10756|Triacetin|19003914
D014272|Trifluperidol|10804|Trifluperidol|19005101
C043648|acrivastine|19959|acrivastine|1140123
C044327|interferon beta-1b|72257|interferon beta-1b|713196
C044946|benazepril|18867|benazepril|1335471
C045166|bretylium|19685|bretylium|19038998
C045645|cilostazol|21107|cilostazol|1350310
C047046|atosiban|59639|Atosiban|19122136
C047316|flosequinan|25089|flosequinan|19096489
C047426|venlafaxine|39786|venlafaxine|743670
C048832|piketoprofen|82910|piketoprofen|19133329
C051890|irinotecan|51499|irinotecan|1367268
C052599|piroctone olamine|33783|piroctone olamine|19025614
D014309|Tripelennamine|10847|Tripelennamine|1105853
D011729|Pyridostigmine|9000|Pyridostigmine|759740
D011730|Pyridoxal|9002|Pyridoxal|19059817
D011802|Quinidine|9068|Quinidine|1360421
D012293|Rifampin|9384|Rifampin|1763204
D012294|Rifamycins|9385|Rifamycins|19136008
D012436|S-Adenosylmethionine|9504|S-Adenosylmethionine|1363981
D012642|Selegiline|9639|Selegiline|766209
D012825|Silicon|9774|Silicon|19066891
D012835|Silver Nitrate|9789|Silver Nitrate|966913
D012972|Sodium Hydroxide|9880|Sodium Hydroxide|19069760
D012976|Sodium Morrhuate|9892|Sodium Morrhuate|19069904
D012978|Sodium Oxybate|9899|Sodium Oxybate|769935
D013311|Streptozocin|10114|Streptozocin|19136210
D013390|Succinylcholine|10154|Succinylcholine|836208
D013442|Sulfinpyrazone|10205|Sulfinpyrazone|1236493
D013455|Sulfur|10223|Sulfur|1036525
D013469|Sulpiride|10239|Sulpiride|19136626
D013713|Teniposide|10362|Teniposide|19136750
D013759|Tetrahydrocannabinol|10402|Tetrahydrocannabinol|1037005
D013847|Thiethylperazine|10471|Thiethylperazine|1037358
D013962|Thyroid Extract, Desiccated|10572|Desiccated thyroid|1501309
D013973|Thyrotropin-Releasing Hormone|10580|Thyrotropin-Releasing Hormone|19001701
C000486|citiolone|21171|citiolone|19050441
C000490|clobenzorex|21244|clobenzorex|19050840
C001716|polydihydroxydimethyldiphenylmethanedisulfonic acid|54908|POLICRESULEN|19075109
C001910|carzenide|20355|carzenide|19026951
D004025|Dicyclomine|3361|Dicyclomine|924724
D000585|Aminacrine|645|Aminacrine|19091514
D019344|Lactate|114202|Lactate|19011035
C464843|nitenpyram|341379|nitenpyram|40168316
D000639|Amitriptyline|704|Amitriptyline|710062
D000654|Amobarbital|719|Amobarbital|712757
D000681|Amylases|743|Amylases|919204
D001241|Aspirin|1191|Aspirin|1112807
D001390|Azlocillin|1266|Azlocillin|19015123
D001500|BCG Vaccine|1344|BCG Vaccine|19015423
D001537|Bencyclane|1367|Bencyclane|19016320
D000721|Ancrod|772|Ancrod|19024544
D004923|Erythrosine|4061|Erythrosine|19103082
D002434|Cefadroxil|2177|Cefadroxil|1769535
D002443|Ceftriaxone|2193|Ceftriaxone|1777806
D002515|Cephradine|2239|Cephradine|1786842
D005640|Follicle Stimulating Hormone|227518|Follicle Stimulating Hormone|1588712
D005703|Gallamine|4638|Gallamine|19057690
D005857|Germanium|4784|Germanium|19059405
D005867|Gestrinone|4792|Gestrinone|19059522
D005937|Calcium Glucarate|1907|Calcium Glucarate|19018602
D005942|Copper Gluconate|2839|Copper Gluconate|19004810
D005947|Glucose|4850|Glucose|1560524
D005994|Calcium Glycerophosphate|1909|Calcium Glycerophosphate|1337159
D005996|Nitroglycerin|4917|Nitroglycerin|1361711
D006035|Licorice|42769|Licorice|1353048
D006063|Chorionic Gonadotropin|4986|Chorionic Gonadotropin|1563600
D006220|Haloperidol|5093|Haloperidol|766529
C023635|dienogest|22968|dienogest|19054876
C023768|halofantrine|50749|halofantrine|1766340
C023842|lormetazepam|28894|lormetazepam|19007977
C023885|menadiol|29491|menadiol|19009057
C024158|tiadilon|38249|tiadilon|19100754
C025787|N-acetyltyrosine|31005|N-acetyltyrosine|19011456
C026116|torsemide|38413|torsemide|942350
C026784|acemetacin|16695|acemetacin|19029398
C027373|potassium chromate(VI)|34303|potassium chromate(VI)|19095132
C027634|indanazoline|27492|indanazolin|19069106
C027707|sodium perborate|36702|sodium perborate|19039877
C027859|morniflumate|30225|morniflumate|19072152
C028222|dicobalt edetate|288331|Dicobalt edetate|19007780
D001205|Ascorbic Acid|1151|Ascorbic Acid|19011773
D001216|Asparagine|1157|Asparagine|19011069
D001646|Bile|1533|Bile fluid|19023420
C528449|carglumic acid|401713|Carglumic acid|19102150
C529000|golimumab|819300|golimumab|19041065
D000074|Acenocoumarol|154|Acenocoumarol|19024063
D000109|Acetylcholine|194|Acetylcholine|19037624
D000112|Acetyldigitoxin|132871|Acetyldigitoxin|19011193
D000362|Agar|397|Agar|19043649
D000493|Allopurinol|519|Allopurinol|1167322
D000525|Alprazolam|596|Alprazolam|781039
D000632|Aminopyrine|695|Aminopyrine|19125628
D000643|Ammonium Chloride|712|Ammonium Chloride|912362
D000961|Antilymphocyte Immunoglobulin|973|Antilymphocyte Immunoglobulin|19136041
D001120|Arginine|1091|Arginine|19006410
D001215|Asparaginase|1156|ASPARAGINASE|19012585
D001224|Aspartic Acid|1169|Aspartic Acid|19012686
D001285|Atropine|1223|Atropine|914335
D001546|Bentonite|1375|Bentonite|19016467
D001565|Benzoate|70589|benzoate|711452
D001622|Betaine|1512|Betaine|1520218
D013407|Sulbactam|10167|Sulbactam|1836241
D013444|Sulfisoxazole|10207|Sulfisoxazole|1836503
D002065|Buspirone|1827|Buspirone|733301
D002112|Calcifediol|1889|Calcifediol|19035569
D002193|Cantharidin|1984|Cantharidin|19039679
D002211|Capsaicin|1992|Capsaicin|939881
D002217|Carbachol|1999|Carbachol|940183
D002228|Carbenicillin|2015|Carbenicillin|1740546
D002233|Carbocysteine|2023|Carbocysteine|19041843
D002266|Carboxymethylcellulose|2062|Carboxymethylcellulose|949279
D002374|Catalase|2133|CATALASE|19047698
D002433|Cefaclor|2176|Cefaclor|1768849
D013467|Sulindac|10237|Sulindac|1236607
D003899|Desoximetasone|3255|Desoximetasone|917336
D003900|Desoxycorticosterone|3256|Deoxycorticosterone|19017895
D003913|Dextroamphetamine|3288|Dextroamphetamine|719311
D003975|Diazepam|3322|Diazepam|723013
D013496|Suprofen|10255|Suprofen|1036636
D013747|Tetrabenazine|10390|Tetrabenazine|836877
D004098|Dihydroxyacetone|3430|Dihydroxyacetone|927194
D004112|Dimercaprol|3445|Dimercaprol|1728903
D004113|Succimer|3446|Succimer|1728909
D004115|Dimethindene|3449|Dimethindene|19028947
D004316|Doxepin|3638|Doxepin|738156
D004329|Droperidol|3648|Droperidol|739323
D004897|Erythrityl Tetranitrate|4040|Erythrityl Tetranitrate|19045644
D004966|Estrogens, Conjugated (USP)|4099|Estrogens, Conjugated (USP)|1549080
D004999|Amifostine|4126|Amifostine|1350040
D005003|Ethisterone|4129|Ethisterone|19050090
D005070|Evans Blue|4191|Evans blue stain|19050607
D005273|Fenbendazole|4325|Fenbendazole|40167608
D005437|Flucytosine|4451|Flucytosine|1755112
D005447|Fluocinonide|4462|Fluocinonide|955252
D005474|Fluoxymesterone|4494|Fluoxymesterone|1555887
D005711|Gallopamil|4648|Gallopamil|19057715
D005752|Gastric Mucins|4698|Gastric Mucin|19112537
D005866|Gestonorone Caproate|4791|Gestonorone Caproate|19059487
D005934|Glucagon|4832|Glucagon|1560278
D006427|Hemin|5175|Hemin|19067303
D006496|Heparinoids|5228|Heparinoids|19113045
D006514|Hepatitis B Surface Antigens|5240|Hepatitis B Surface Antigens|568224
D006590|Hexetidine|5301|Hexetidine|19068839
D006594|Hexoprenaline|5307|Hexoprenaline|19068969
D006632|Histamine|5333|Histamine|19069019
D006853|Hydrocodone|5489|Hydrocodone|1174888
D006859|Hydrogen|5497|Hydrogen|19076389
D006886|Hydroxychloroquine|5521|Hydroxychloroquine|1777087
D006895|Hetastarch|5531|Hetastarch|19077117
D007217|Indoramin|5784|Indoramin|19078808
D007294|Inositol|5833|Inositol|1379525
D007328|Insulin, Regular, Beef-Pork|235275|Insulin, Regular, Beef-Pork|1590165
D013748|Tetracaine|10391|Tetracaine|1036884
D013881|Thioridazine|10502|Thioridazine|700299
D003519|Cyclopentolate|3001|Cyclopentolate|910232
D003533|Cyproheptadine|3013|Cyproheptadine|1110727
D003534|Cyproterone|3014|Cyproterone|19010792
D003609|Dactinomycin|3100|Dactinomycin|1311443
C472067|levocetirizine|356887|levocetirizine|1136422
C479079|insulin glulisine|400008|Insulin, Glulisine, Human|1544838
C484565|insulin, lente, pork|93108|Insulin, Zinc, Pork|1562586
C488804|lithium acetate|52103|Lithium acetate|19113039
C490728|lapatinib|480167|lapatinib|1359548
C496892|Magnesium Salicylate|52364|Magnesium Salicylate|1168079
C507898|raltegravir|719872|Raltegravir|1712889
C509029|benzylpenicilloyl G polylysine|19079|Benzylpenicilloyl polylysine|19037035
C509951|alglucosidase alfa|629565|alglucosidase alfa|19088328
C515051|eszopiclone|461016|Eszopiclone|757352
C523979|tapentadol|787390|tapentadol|19026459
C060590|famciclovir|68099|famciclovir|1703603
C060885|epsiprantel|24285|epsiprantel|19095269
C061363|sparfloxacin|18469|sparfloxacin|1733765
C064893|pidotimod|40450|pidotimod|19102785
C066304|sertindole|41996|sertindole|19050633
C067192|ibutilide|41289|ibutilide|19050087
C069248|prothipendyl|55244|prothipendyl|19115044
C070292|alglucerase|46049|alglucerase|19057354
C071192|entacapone|60307|entacapone|782211
C072630|isopropyl unoprostone|135313|isopropyl unoprostone|915829
C078456|denileukin diftitox|214470|denileukin diftitox|19051642
C086827|tazarotene|83947|tazarotene|947416
C087507|BCG Connaught|76469|BCG, Live, Connaught Strain|19023835
C087896|reteplase|76895|Reteplase|19024191
C088482|tamsulosin|77492|tamsulosin|924566
C088769|ferumoxsil|77754|ferumoxsil|19024772
C091593|insulin LISPRO|86009|Insulin, Lispro, Human|1550023
C092985|calcium pidolate|87393|calcium pidolate|19052829
C093450|ardeparin|87866|ardeparin|19053746
C096323|RimabotulinumtoxinB|860178|rimabotulinumtoxinB|40166020
C099245|doripenem|119771|doripenem|1713905
C100115|hetacillin|26797|hetacillin|19069006
C100129|phensuximide|33309|phensuximide|19023842
C100133|pramiverine|190433|pramiverine|19036942
C100193|demecarium|107771|Demecarium|19004718
C100234|benzquinamide|19041|benzquinamide|19036909
C100286|methsuximide|47858|methsuximide|759401
C100294|phendimetrazine|33272|phendimetrazine|723344
C101426|sildenafil|136411|sildenafil|1316262
C102790|voriconazole|121243|voriconazole|1714277
C103998|epoetin beta|105695|epoetin beta|19001311
C104727|moxifloxacin|139462|moxifloxacin|1716903
C105050|tegaserod|139778|tegaserod|916943
C105934|celecoxib|140587|celecoxib|1118084
