16123992	Antineoplastic Combined Chemotherapy Protocols	D000971	Demyelinating Diseases	D003711	16123992	Case Reports	D002363
17517853	Hypoglycemic Agents	D007004	Cardiovascular Diseases	D002318	17517853	Meta-Analysis	D017418
17517853	Thiazolidinediones	D045162	Myocardial Infarction	D009203	17517853	Meta-Analysis	D017418
17517853	Thiazolidinediones	D045162	Cardiovascular Diseases	D002318	17517853	Meta-Analysis	D017418
17569402	Hyaluronic Acid	D006820	Facial Dermatoses	D005148	17569402	Case Reports	D002363
17394037	Immunologic Factors	D007155	Bipolar Disorder	D001714	17394037	Case Reports	D002363
17394037	Interferon-alpha	D016898	Bipolar Disorder	D001714	17394037	Case Reports	D002363
17546486	Anti-Bacterial Agents	D000900	Torsades de Pointes	D016171	17546486	Case Reports	D002363
17546486	Anti-Bacterial Agents	D000900	Long QT Syndrome	D008133	17546486	Case Reports	D002363
17546486	Azithromycin	D017963	Torsades de Pointes	D016171	17546486	Case Reports	D002363
17546486	Azithromycin	D017963	Long QT Syndrome	D008133	17546486	Case Reports	D002363
17571041	Anticoagulants	D000925	Hematoma, Subdural, Acute	D020199	17571041	Case Reports	D002363
17570185	Acetamides	D000081	Peripheral Nervous System Diseases	D010523	17570185	Case Reports	D002363
17570185	Acetamides	D000081	Anemia	D000740	17570185	Case Reports	D002363
17570185	Oxazolidinones	D023303	Peripheral Nervous System Diseases	D010523	17570185	Case Reports	D002363
17570185	Oxazolidinones	D023303	Anemia	D000740	17570185	Case Reports	D002363
17571610	Enema	D004733	Ulcer	D014456	17571610	Case Reports	D002363
17571610	Enema	D004733	Rectal Diseases	D012002	17571610	Case Reports	D002363
17571610	Glycerol	D005990	Ulcer	D014456	17571610	Case Reports	D002363
17571610	Glycerol	D005990	Rectal Diseases	D012002	17571610	Case Reports	D002363
17571635	Insulin, Long-Acting	D049528	Urticaria	D014581	17571635	Case Reports	D002363
17571748	Fenofibrate	D011345	Rhabdomyolysis	D012206	17571748	Case Reports	D002363
17571748	Fenofibrate	D011345	Muscular Diseases	D009135	17571748	Case Reports	D002363
17571748	Fluorobenzenes	D005464	Rhabdomyolysis	D012206	17571748	Case Reports	D002363
17571748	Fluorobenzenes	D005464	Muscular Diseases	D009135	17571748	Case Reports	D002363
17571748	Hydroxymethylglutaryl-CoA Reductase Inhibitors	D019161	Rhabdomyolysis	D012206	17571748	Case Reports	D002363
17571748	Hydroxymethylglutaryl-CoA Reductase Inhibitors	D019161	Muscular Diseases	D009135	17571748	Case Reports	D002363
17571748	Hypolipidemic Agents	D000960	Rhabdomyolysis	D012206	17571748	Case Reports	D002363
17571748	Hypolipidemic Agents	D000960	Muscular Diseases	D009135	17571748	Case Reports	D002363
17571748	Pyrimidines	D011743	Rhabdomyolysis	D012206	17571748	Case Reports	D002363
17571748	Pyrimidines	D011743	Muscular Diseases	D009135	17571748	Case Reports	D002363
17571748	Sulfonamides	D013449	Rhabdomyolysis	D012206	17571748	Case Reports	D002363
17571748	Sulfonamides	D013449	Muscular Diseases	D009135	17571748	Case Reports	D002363
17573733	Aspirin	D001241	Anaphylaxis	D000707	17573733	Case Reports	D002363
17573733	Food Additives	D005503	Anaphylaxis	D000707	17573733	Case Reports	D002363
17573733	Galactans	D005685	Anaphylaxis	D000707	17573733	Case Reports	D002363
17573733	Mannans	D008351	Anaphylaxis	D000707	17573733	Case Reports	D002363
17573733	Plant Gums	D053149	Anaphylaxis	D000707	17573733	Case Reports	D002363
17573734	Folic Acid	D005492	Anaphylaxis	D000707	17573734	Case Reports	D002363
17573734	Vitamin B Complex	D014803	Anaphylaxis	D000707	17573734	Case Reports	D002363
17573734	Vitamins	D014815	Anaphylaxis	D000707	17573734	Case Reports	D002363
17484731	Vancomycin	D014640	Erythema Multiforme	D004892	17484731	Case Reports	D002363
17484732	Cetirizine	D017332	Urticaria	D014581	17484732	Case Reports	D002363
17484732	Histamine H1 Antagonists	D006634	Urticaria	D014581	17484732	Case Reports	D002363
17484732	Hydroxyzine	D006919	Urticaria	D014581	17484732	Case Reports	D002363
17484732	Piperazines	D010879	Urticaria	D014581	17484732	Case Reports	D002363
17571914	Anticoagulants	D000925	Thrombocytopenia	D013921	17571914	Clinical Trial	D016430
17571914	Heparin	D006493	Thrombocytopenia	D013921	17571914	Clinical Trial	D016430
17571914	Pipecolic Acids	D010875	Thrombocytopenia	D013921	17571914	Clinical Trial	D016430
17544313	Angiotensin II Type 1 Receptor Blockers	D047228	Renal Insufficiency	D051437	17544313	Case Reports	D002363
17544313	Antihypertensive Agents	D000959	Renal Insufficiency	D051437	17544313	Case Reports	D002363
17544313	Tetrazoles	D013777	Renal Insufficiency	D051437	17544313	Case Reports	D002363
17544313	Valine	D014633	Renal Insufficiency	D051437	17544313	Case Reports	D002363
17481633	Antineoplastic Combined Chemotherapy Protocols	D000971	Bone Marrow Diseases	D001855	17481633	Clinical Trial	D016430
17572343	Adrenergic alpha-Agonists	D000316	Sleep Disorders	D012893	17572343	Case Reports	D002363
17572343	Adrenergic alpha-Agonists	D000316	Respiration Disorders	D012120	17572343	Case Reports	D002363
17572343	Adrenergic alpha-Agonists	D000316	Lethargy	D053609	17572343	Case Reports	D002363
17572343	Adrenergic alpha-Agonists	D000316	Bradycardia	D001919	17572343	Case Reports	D002363
17572343	Clonidine	D003000	Sleep Disorders	D012893	17572343	Case Reports	D002363
17572343	Clonidine	D003000	Respiration Disorders	D012120	17572343	Case Reports	D002363
17572343	Clonidine	D003000	Lethargy	D053609	17572343	Case Reports	D002363
17572343	Clonidine	D003000	Bradycardia	D001919	17572343	Case Reports	D002363
17572325	Dexmedetomidine	D020927	Hypothermia	D007035	17572325	Case Reports	D002363
17572330	Hypertonic Solutions	D006982	Intraoperative Complications	D007431	17572330	Case Reports	D002363
17572330	Hypertonic Solutions	D006982	Hyponatremia	D007010	17572330	Case Reports	D002363
17572330	Hypertonic Solutions	D006982	Hyperkalemia	D006947	17572330	Case Reports	D002363
17572330	Mannitol	D008353	Intraoperative Complications	D007431	17572330	Case Reports	D002363
17572330	Mannitol	D008353	Hyponatremia	D007010	17572330	Case Reports	D002363
17572330	Mannitol	D008353	Hyperkalemia	D006947	17572330	Case Reports	D002363
17575025	Acetazolamide	D000086	Ataxia	D001259	17575025	Case Reports	D002363
17575025	Acetazolamide	D000086	Acidosis	D000138	17575025	Case Reports	D002363
17575025	Carbonic Anhydrase Inhibitors	D002257	Ataxia	D001259	17575025	Case Reports	D002363
17575025	Carbonic Anhydrase Inhibitors	D002257	Acidosis	D000138	17575025	Case Reports	D002363
4127340	Lithium	D008094	Tremor	D014202	4127340	Clinical Trial	D016430
4127340	Propranolol	D011433	Tremor	D014202	4127340	Clinical Trial	D016430
4356387	Oxymetholone	D010110	Jaundice	D007565	4356387	Clinical Trial	D016430
4127393	Azacitidine	D001374	Vomiting	D014839	4127393	Clinical Trial	D016430
4127393	Azacitidine	D001374	Thrombocytopenia	D013921	4127393	Clinical Trial	D016430
4127393	Azacitidine	D001374	Nausea	D009325	4127393	Clinical Trial	D016430
4127393	Azacitidine	D001374	Hypotension	D007022	4127393	Clinical Trial	D016430
4127393	Azacitidine	D001374	Diarrhea	D003967	4127393	Clinical Trial	D016430
4127393	Azacitidine	D001374	Bone Marrow Diseases	D001855	4127393	Clinical Trial	D016430
4584487	Procarbazine	D011344	Vomiting	D014839	4584487	Clinical Trial	D016430
4584487	Procarbazine	D011344	Nervous System Diseases	D009422	4584487	Clinical Trial	D016430
4584487	Procarbazine	D011344	Nausea	D009325	4584487	Clinical Trial	D016430
4270858	Spectinomycin	D000198	Nausea	D009325	4270858	Clinical Trial	D016430
4751350	Ampicillin	D000667	Exanthema	D005076	4751350	Clinical Trial	D016430
4201618	Gold Sodium Thiomalate	D006052	Proteinuria	D011507	4201618	Clinical Trial	D016430
4201618	Gold Sodium Thiomalate	D006052	Agranulocytosis	D000380	4201618	Clinical Trial	D016430
4584527	Adrenal Cortex Hormones	D000305	Mental Disorders	D001523	4584527	Clinical Trial	D016430
4356453	Demeclocycline	D003707	Diabetes Insipidus	D003919	4356453	Clinical Trial	D016430
4127641	Hydrochlorothiazide	D006852	Hypokalemia	D007008	4127641	Clinical Trial	D016430
4518619	Tetracycline	D013752	Kidney Failure, Chronic	D007676	4518619	Case Reports	D002363
4148107	Central Nervous System Stimulants	D000697	Respiratory Tract Diseases	D012140	4148107	Clinical Trial	D016430
4585287	Contraceptives, Oral	D003276	Vomiting	D014839	4585287	Clinical Trial	D016430
4585287	Contraceptives, Oral	D003276	Nausea	D009325	4585287	Clinical Trial	D016430
4585287	Contraceptives, Oral	D003276	Depression	D003863	4585287	Clinical Trial	D016430
4585287	Ethynodiol Diacetate	D005040	Vomiting	D014839	4585287	Clinical Trial	D016430
4585287	Ethynodiol Diacetate	D005040	Nausea	D009325	4585287	Clinical Trial	D016430
4585287	Ethynodiol Diacetate	D005040	Depression	D003863	4585287	Clinical Trial	D016430
4755007	Pentazocine	D010423	Hallucinations	D006212	4755007	Case Reports	D002363
4585751	Disulfiram	D004221	Sexual Dysfunction, Physiological	D012735	4585751	Clinical Trial	D016430
4585751	Disulfiram	D004221	Fatigue	D005221	4585751	Clinical Trial	D016430
4585751	Disulfiram	D004221	Dyspnea	D004417	4585751	Clinical Trial	D016430
4585752	Biguanides	D001645	Acidosis	D000138	4585752	Clinical Trial	D016430
4585838	Diethylstilbestrol	D004054	Uterine Hemorrhage	D014592	4585838	Clinical Trial	D016430
4585838	Estradiol	D004958	Uterine Hemorrhage	D014592	4585838	Clinical Trial	D016430
4585838	Norethindrone	D009640	Uterine Hemorrhage	D014592	4585838	Clinical Trial	D016430
4585838	Testosterone	D013739	Uterine Hemorrhage	D014592	4585838	Clinical Trial	D016430
4585966	Sulfamethoxazole	D013420	Hematologic Diseases	D006402	4585966	Clinical Trial	D016430
4585966	Trimethoprim	D014295	Hematologic Diseases	D006402	4585966	Clinical Trial	D016430
4796610	Dantrolene	D003620	Nausea	D009325	4796610	Clinical Trial	D016430
4758359	Anesthesia, Spinal	D000775	Paralysis	D010243	4758359	Case Reports	D002363
4758359	Lidocaine	D008012	Paralysis	D010243	4758359	Case Reports	D002363
4758361	Anesthesia	D000758	Hallucinations	D006212	4758361	Case Reports	D002363
4758361	Ketamine	D007649	Hallucinations	D006212	4758361	Case Reports	D002363
4148490	Ergotamine	D004878	Nausea	D009325	4148490	Clinical Trial	D016430
4271370	Tetracycline	D013752	Penile Diseases	D010409	4271370	Case Reports	D002363
4759746	Aluminum Hydroxide	D000536	Granuloma	D006099	4759746	Case Reports	D002363
4357260	Succinylcholine	D013390	Hyperkalemia	D006947	4357260	Case Reports	D002363
4759885	Anesthetics	D000777	Erythema	D004890	4759885	Case Reports	D002363
4759885	Anesthetics	D000777	Cyanosis	D003490	4759885	Case Reports	D002363
4759885	Anesthetics	D000777	Anaphylaxis	D000707	4759885	Case Reports	D002363
4759885	Castor Oil	D002368	Erythema	D004890	4759885	Case Reports	D002363
4759885	Castor Oil	D002368	Cyanosis	D003490	4759885	Case Reports	D002363
4759885	Castor Oil	D002368	Anaphylaxis	D000707	4759885	Case Reports	D002363
4759885	Hydroxysteroids	D006914	Erythema	D004890	4759885	Case Reports	D002363
4759885	Hydroxysteroids	D006914	Cyanosis	D003490	4759885	Case Reports	D002363
4759885	Hydroxysteroids	D006914	Anaphylaxis	D000707	4759885	Case Reports	D002363
4759885	Pregnanediones	D011277	Erythema	D004890	4759885	Case Reports	D002363
4759885	Pregnanediones	D011277	Cyanosis	D003490	4759885	Case Reports	D002363
4759885	Pregnanediones	D011277	Anaphylaxis	D000707	4759885	Case Reports	D002363
4586372	Anti-Arrhythmia Agents	D000889	Corneal Opacity	D003318	4586372	Clinical Trial	D016430
4586372	Benzofurans	D001572	Corneal Opacity	D003318	4586372	Clinical Trial	D016430
4586372	Diethylamines	D004048	Corneal Opacity	D003318	4586372	Clinical Trial	D016430
4586372	Iodobenzoates	D007463	Corneal Opacity	D003318	4586372	Clinical Trial	D016430
4760479	Gold	D006046	Protein-Losing Enteropathies	D011504	4760479	Case Reports	D002363
4760479	Gold	D006046	Hypoproteinemia	D007019	4760479	Case Reports	D002363
4760479	Gold	D006046	Enterocolitis, Pseudomembranous	D004761	4760479	Case Reports	D002363
4760479	Gold	D006046	Diarrhea	D003967	4760479	Case Reports	D002363
4760479	Gold	D006046	Agammaglobulinemia	D000361	4760479	Case Reports	D002363
4760681	Rifampin	D012293	Vomiting	D014839	4760681	Case Reports	D002363
4760681	Rifampin	D012293	Diarrhea	D003967	4760681	Case Reports	D002363
4760681	Rifampin	D012293	Acute Kidney Injury	D058186	4760681	Case Reports	D002363
4148581	Antipsychotic Agents	D014150	Basal Ganglia Diseases	D001480	4148581	Clinical Trial	D016430
4148581	Palmitic Acids	D010169	Basal Ganglia Diseases	D001480	4148581	Clinical Trial	D016430
4148581	Piperidines	D010880	Basal Ganglia Diseases	D001480	4148581	Clinical Trial	D016430
4148581	Sulfonamides	D013449	Basal Ganglia Diseases	D001480	4148581	Clinical Trial	D016430
4761732	Chloroquine	D002738	Retinal Diseases	D012164	4761732	Case Reports	D002363
4357525	Gastrointestinal Agents	D005765	Peripheral Nervous System Diseases	D010523	4357525	Case Reports	D002363
4357525	Gastrointestinal Agents	D005765	Intestinal Diseases	D007410	4357525	Case Reports	D002363
4357525	Gastrointestinal Agents	D005765	Atrophy	D001284	4357525	Case Reports	D002363
4357525	Quinolines	D011804	Peripheral Nervous System Diseases	D010523	4357525	Case Reports	D002363
4357525	Quinolines	D011804	Intestinal Diseases	D007410	4357525	Case Reports	D002363
4357525	Quinolines	D011804	Atrophy	D001284	4357525	Case Reports	D002363
4586919	Anticonvulsants	D000927	Fatigue	D005221	4586919	Clinical Trial	D016430
4586919	Benzodiazepinones	D001570	Fatigue	D005221	4586919	Clinical Trial	D016430
4586919	Chlorobenzenes	D002722	Fatigue	D005221	4586919	Clinical Trial	D016430
4586919	Nitro Compounds	D009574	Fatigue	D005221	4586919	Clinical Trial	D016430
4586920	Anticonvulsants	D000927	Fatigue	D005221	4586920	Clinical Trial	D016430
4586920	Benzodiazepinones	D001570	Fatigue	D005221	4586920	Clinical Trial	D016430
4586920	Chlorobenzenes	D002722	Fatigue	D005221	4586920	Clinical Trial	D016430
4586920	Nitro Compounds	D009574	Fatigue	D005221	4586920	Clinical Trial	D016430
4586953	Cisplatin	D002945	Vomiting	D014839	4586953	Clinical Trial	D016430
4586953	Cisplatin	D002945	Necrosis	D009336	4586953	Clinical Trial	D016430
4586953	Cisplatin	D002945	Nausea	D009325	4586953	Clinical Trial	D016430
4586953	Cisplatin	D002945	Kidney Diseases	D007674	4586953	Clinical Trial	D016430
4586955	Drug Therapy, Combination	D004359	Vomiting	D014839	4586955	Clinical Trial	D016430
4586955	Drug Therapy, Combination	D004359	Thrombocytopenia	D013921	4586955	Clinical Trial	D016430
4586955	Drug Therapy, Combination	D004359	Nervous System Diseases	D009422	4586955	Clinical Trial	D016430
4586955	Drug Therapy, Combination	D004359	Nausea	D009325	4586955	Clinical Trial	D016430
4586955	Drug Therapy, Combination	D004359	Leukopenia	D007970	4586955	Clinical Trial	D016430
4586955	Drug Therapy, Combination	D004359	Alopecia	D000505	4586955	Clinical Trial	D016430
4586955	Vinblastine	D014747	Vomiting	D014839	4586955	Clinical Trial	D016430
4586955	Vinblastine	D014747	Thrombocytopenia	D013921	4586955	Clinical Trial	D016430
4586955	Vinblastine	D014747	Nervous System Diseases	D009422	4586955	Clinical Trial	D016430
4586955	Vinblastine	D014747	Nausea	D009325	4586955	Clinical Trial	D016430
4586955	Vinblastine	D014747	Leukopenia	D007970	4586955	Clinical Trial	D016430
4586955	Vinblastine	D014747	Alopecia	D000505	4586955	Clinical Trial	D016430
4586955	Vincristine	D014750	Vomiting	D014839	4586955	Clinical Trial	D016430
4586955	Vincristine	D014750	Thrombocytopenia	D013921	4586955	Clinical Trial	D016430
4586955	Vincristine	D014750	Nervous System Diseases	D009422	4586955	Clinical Trial	D016430
4586955	Vincristine	D014750	Nausea	D009325	4586955	Clinical Trial	D016430
4586955	Vincristine	D014750	Leukopenia	D007970	4586955	Clinical Trial	D016430
4586955	Vincristine	D014750	Alopecia	D000505	4586955	Clinical Trial	D016430
4519479	Asparaginase	D001215	Diabetes Mellitus	D003920	4519479	Case Reports	D002363
4519479	Asparaginase	D001215	Acidosis	D000138	4519479	Case Reports	D002363
4764829	Anticoagulants	D000925	Myocarditis	D009205	4764829	Case Reports	D002363
4520088	Perphenazine	D010546	Basal Ganglia Diseases	D001480	4520088	Case Reports	D002363
4520088	Tranquilizing Agents	D014149	Basal Ganglia Diseases	D001480	4520088	Case Reports	D002363
4271841	Nicotinic Acids	D009539	Pruritus	D011537	4271841	Clinical Trial	D016430
4271841	Nicotinic Acids	D009539	Peptic Ulcer	D010437	4271841	Clinical Trial	D016430
4271841	Nicotinic Acids	D009539	Hyperbilirubinemia	D006932	4271841	Clinical Trial	D016430
4587789	Lynestrenol	D008234	Gynecomastia	D006177	4587789	Clinical Trial	D016430
4587789	Mestranol	D008656	Gynecomastia	D006177	4587789	Clinical Trial	D016430
4203162	Streptomycin	D013307	Skin Diseases	D012871	4203162	Clinical Trial	D016430
7438959	Diethylstilbestrol	D004054	Liver Neoplasms	D008113	7438959	Case Reports	D002363
7438959	Diethylstilbestrol	D004054	Hemangioendothelioma	D006390	7438959	Case Reports	D002363
7439114	Amantadine	D000547	Myoclonus	D009207	7439114	Case Reports	D002363
7439114	Amantadine	D000547	Edema	D004487	7439114	Case Reports	D002363
7439114	Diuretics	D004232	Myoclonus	D009207	7439114	Case Reports	D002363
7439114	Diuretics	D004232	Edema	D004487	7439114	Case Reports	D002363
7439122	Clofibrate	D002994	Muscular Diseases	D009135	7439122	Case Reports	D002363
7439205	Phenytoin	D010672	Stomatitis	D013280	7439205	Case Reports	D002363
7439205	Phenytoin	D010672	Purpura	D011693	7439205	Case Reports	D002363
7439205	Phenytoin	D010672	Disseminated Intravascular Coagulation	D004211	7439205	Case Reports	D002363
7439205	Phenytoin	D010672	Conjunctivitis	D003231	7439205	Case Reports	D002363
6254778	Gasoline	D005742	Peripheral Nervous System Diseases	D010523	6254778	Case Reports	D002363
6254778	Petroleum	D010578	Peripheral Nervous System Diseases	D010523	6254778	Case Reports	D002363
6254778	Tetraethyl Lead	D013756	Peripheral Nervous System Diseases	D010523	6254778	Case Reports	D002363
7439249	Disopyramide	D004206	Cholestasis, Intrahepatic	D002780	7439249	Case Reports	D002363
7439249	Pyridines	D011725	Cholestasis, Intrahepatic	D002780	7439249	Case Reports	D002363
6449369	Aerosol Propellants	D000335	Arrhythmias, Cardiac	D001145	6449369	Clinical Trial	D016430
6449369	Aerosols	D000336	Arrhythmias, Cardiac	D001145	6449369	Clinical Trial	D016430
6449369	Chlorofluorocarbons, Methane	D005617	Arrhythmias, Cardiac	D001145	6449369	Clinical Trial	D016430
6777210	Metformin	D008687	Diabetic Ketoacidosis	D016883	6777210	Case Reports	D002363
6108246	Contraceptives, Oral	D003276	Dizziness	D004244	6108246	Clinical Trial	D016430
6108246	Contraceptives, Oral, Synthetic	D003280	Dizziness	D004244	6108246	Clinical Trial	D016430
7439615	Azathioprine	D001379	Cholestasis	D002779	7439615	Case Reports	D002363
7002705	Caffeine	D002110	Heartburn	D006356	7002705	Clinical Trial	D016430
7002705	Coffee	D003069	Heartburn	D006356	7002705	Clinical Trial	D016430
7439635	Contraceptives, Oral	D003276	Hemorrhage	D006470	7439635	Case Reports	D002363
7439635	Contraceptives, Oral, Combined	D003277	Hemorrhage	D006470	7439635	Case Reports	D002363
7439635	Ethinyl Estradiol	D004997	Hemorrhage	D006470	7439635	Case Reports	D002363
7439635	Norethindrone	D009640	Hemorrhage	D006470	7439635	Case Reports	D002363
7439635	Norgestrel	D009644	Hemorrhage	D006470	7439635	Case Reports	D002363
7440065	Thioridazine	D013881	Vision Disorders	D014786	7440065	Case Reports	D002363
7440065	Thioridazine	D013881	Retinal Diseases	D012164	7440065	Case Reports	D002363
7440120	Acetaminophen	D000082	Liver Cirrhosis, Biliary	D008105	7440120	Case Reports	D002363
7440131	Diuretics	D004232	Hypokalemia	D007008	7440131	Case Reports	D002363
7440131	Diuretics	D004232	Hyperaldosteronism	D006929	7440131	Case Reports	D002363
7440131	Diuretics	D004232	Foot Diseases	D005534	7440131	Case Reports	D002363
7440131	Diuretics	D004232	Edema	D004487	7440131	Case Reports	D002363
7440131	Ethacrynic Acid	D004976	Hypokalemia	D007008	7440131	Case Reports	D002363
7440131	Ethacrynic Acid	D004976	Hyperaldosteronism	D006929	7440131	Case Reports	D002363
