meddra_concept_id	meddra_concept_name	snomed_concept_id	snomed_concept_name
35506547	Glucagon secretion disorder	201837	Abnormality of secretion of glucagon
35104284	ABO incompatibility	433921	ABO incompatibility reaction
37119741	Vaginal erosion	4050826	Abrasion of vagina
36110534	Abscess	444202	Abscess
35707939	Abdominal wall abscess	4214610	Abscess of abdominal wall
35707988	Appendiceal abscess	4268754	Abscess of appendix
36110503	Bartholin's abscess	258482	Abscess of Bartholin's gland
36110472	Breast abscess	4153106	Abscess of breast
36110619	Chest wall abscess	4228164	Abscess of chest wall
36110684	Subcutaneous abscess	4339469	Abscess of external ear
35607107	Eye abscess	4317971	Abscess of eye
35607080	Abscess of eyelid	381308	Abscess of eyelid
36110508	Fallopian tube abscess	4160180	Abscess of fallopian tube
35909450	Gallbladder abscess	4137285	Abscess of gallbladder
36110545	Groin abscess	4195436	Abscess of groin
35707984	Abscess intestinal	197328	Abscess of intestine
36110459	Abscess jaw	4059177	Abscess of jaw
35909542	Liver abscess	201901	Abscess of liver
36110590	Lung abscess	257010	Abscess of lung
36110592	Mediastinal abscess	441607	Abscess of mediastinum
36110618	Abscess neck	4266864	Abscess of neck
36110695	Nasal abscess	4222003	Abscess of nose
36110516	Ovarian abscess	4250317	Abscess of ovary
35707711	Pancreatic abscess	4288876	Abscess of pancreas
36110609	Penile abscess	4262258	Abscess of penis
36110625	Perineal abscess	4147598	Abscess of perineum
36110612	Prostatic abscess	198806	Abscess of prostate
35708712	Abscess of salivary gland	31609	Abscess of salivary gland
36110613	Scrotal abscess	4100659	Abscess of scrotum
36110617	Testicular abscess	4318849	Abscess of testis
35104818	Thymus abscess	433738	Abscess of thymus
35506766	Thyroid gland abscess	4010825	Abscess of thyroid
36110535	Abscess limb	4009031	Abscess of toe
35708733	Tongue abscess	4185886	Abscess of tongue
35809071	No adverse event	4320832	Absence of drug reaction
36718386	Anaesthesia	4141128	Absence of sensation
36718408	Sensory loss	4141128	Absence of sensation
35306095	Septum pellucidum agenesis	4100573	Absence of septum pellucidum
36315275	Breath sounds absent	4279280	Absent breath sounds
35909459	Gallbladder non-functioning	4279542	Absent gallbladder function
35607304	Iridoplegia	4028329	Absent pupil reaction
36718267	Areflexia	4290597	Absent reflex
36919059	Aggression	4021344	Abusive behavior
36718291	Acalculia	4091060	Acalculia
42889175	Acanthamoeba keratitis	4338871	Acanthamoeba keratitis
35104321	Spur cell anaemia	4097604	Acanthocytosis
37320105	Acantholysis	4183196	Acantholysis
37320091	Acanthosis	4053290	Acanthosis
36617314	Acanthosis nigricans	4299544	Acanthosis nigricans
45886201	Acardia	4118403	Acardia
36110308	Acariasis	436634	Acariasis
35204965	Accelerated idioventricular rhythm	4247537	Accelerated idioventricular rhythm
35306177	Accessory breast	4056354	Accessory breast
35305906	Accessory carpal bone	74160	Accessory carpal bones
35306147	Accessory kidney	4147222	Accessory kidney
35306179	Supernumerary nipple	4176400	Accessory nipple
35305712	Accessory salivary gland	22722	Accessory salivary gland
35306033	Accessory muscle	80832	Accessory skeletal muscle
35104780	Accessory spleen	4304186	Accessory spleen
36211280	Accident	440279	Accident
36211281	Accident at home	433942	Accident while engaged in household activity
35809056	Accidental death	4302017	Accidental death
36315059	Dural tap	4134544	Accidental dural puncture
36211484	Accidental exposure	4115598	Accidental exposure
43053920	Accidental exposure to product	4302222	Accidental ingestion of potentially harmful entity
36211148	Accidental poisoning	436581	Accidental poisoning
36314237	Blood ketone body	4017413	Acetoacetate
36416479	Acetonaemia	4060404	Acetonemia
36313555	Blood cholinesterase	4052720	Acetylcholinesterase
35708120	Oesophageal achalasia	4174974	Achalasia
35708122	Cardiospasm	318186	Achalasia of esophagus
35707819	Achlorhydria	193804	Achlorhydria
35708149	Faeces pale	4290672	Acholic stool
35306031	Chondrodystrophy	4082503	Achondrogenesis
37320235	Skin depigmentation	4048466	Achromia of skin
35607185	Chemical burns of eye	442860	Acid chemical burn of cornea and conjunctival sac
42890118	Mycobacterium test	4230907	Acid fast stain
36312560	Blood acid phosphatase	4101472	Acid phosphatase
43562841	Acid haemolysin test	4016245	Acidified serum lysis test, RBC
36416496	Acidosis	435517	Acidosis
37320257	Acne	141095	Acne
37320258	Acne conglobata	4172185	Acne conglobata
37320259	Acne cosmetica	4066164	Acne cosmetica
37320261	Acne fulminans	4263196	Acne fulminans
37320078	Dermatitis papillaris capillitii	4033341	Acne keloid
37320264	Acne varioliformis	138826	Acne varioliformis
37320265	Dermatitis acneiform	4299558	Acneiform eruption
36718441	Atonic urinary bladder	74082	Acontractile detrusor
35406397	Acoustic neuritis	4071154	Acoustic neuritis
35406398	Acoustic neuroma	4131769	Acoustic neuroma
43562798	Acquired acrodermatitis enteropathica	4053659	Acquired acrodermatitis enteropathica
35104128	Acquired afibrinogenaemia	4230381	Acquired afibrinogenemia
35506589	Ovarian atrophy	4100626	Acquired atrophy of ovary
36516889	Acquired claw toe	196792	Acquired claw foot
35104133	Coagulation factor deficiency	432863	Acquired coagulation factor deficiency
35607449	Colour blindness acquired	377865	Acquired color vision deficiency
36516929	Neck deformity	31668	Acquired deformity of neck
36516915	Nose deformity	261116	Acquired deformity of nose
36516942	Pelvic deformity	192422	Acquired deformity of pelvis
37320092	Acquired digital fibrokeratoma	4004353	Acquired digital fibrokeratoma
37320101	Acquired epidermolysis bullosa	4100661	Acquired epidermolysis bullosa
36718521	Acquired epileptic aphasia	4046219	Acquired epileptic aphasia
35104256	Acquired haemoglobinopathy	4131125	Acquired hemoglobinopathy
37119593	Acquired hydrocele	4032593	Acquired hydrocele
35708233	Obstruction gastric	198191	Acquired hypertrophic pyloric stenosis
35506801	Primary hypothyroidism	138384	Acquired hypothyroidism
37320085	Ichthyosis acquired	4313149	Acquired ichthyosis
36516926	Lordosis	73849	Acquired lordosis
35708727	Acquired macroglossia	4307781	Acquired macroglossia
36718334	Meningocele acquired	4002338	Acquired meningocele
36416657	Partial lipodystrophy	4192633	Acquired partial lipodystrophy
36516939	Funnel chest acquired	4194112	Acquired pectus excavatum
37119571	Acquired phimosis	4141635	Acquired phimosis
35406333	Ear canal stenosis	374957	Acquired stenosis of external ear canal
35406334	Ear canal stenosis postoperative	372326	Acquired stenosis of external ear canal secondary to surgery
35406335	Ear canal stenosis traumatic	377571	Acquired stenosis of external ear canal secondary to trauma
35707791	Acquired tracheo-oesophageal fistula	4148907	Acquired tracheo-esophageal fistula
36517152	Trigger finger	77965	Acquired trigger finger
42888942	Acquired Von Willebrand's disease	4125641	Acquired von Willebrand's disease
36718404	Palmar-plantar erythrodysaesthesia syndrome	4033054	Acral erythema
35305956	Apert's syndrome	439134	Acrocephalosyndactyly
36110086	Acrodermatitis chronica atrophicans	4183170	Acrodermatitis atrophicans chronica
36211149	Acrodynia	4283669	Acrodynia due to mercury
36617340	Acrokeratosis paraneoplastica	4081064	Acrokeratosis paraneoplastica of Bazex
35506645	Acromegaly	4253197	Acromegaly
36718379	Paraesthesia	4193492	Acroparesthesia
36918863	Acrophobia	4239656	Acrophobia
43053767	Adrenocorticotropic hormone deficiency	4029439	ACTH deficiency
42889272	Actinic cheilitis	4263325	Actinic cheilitis
37320098	Actinic keratosis	138825	Actinic keratosis
42890389	Actinic prurigo	141374	Actinic prurigo
36109999	Actinomycosis	436020	Actinomycotic infection
36312918	Activated partial thromboplastin time	44809202	Activated partial thromboplastin time
45885981	Activated partial thromboplastin time ratio	4307179	Activated partial thromboplastin time ratio
45886394	Airway secretion clearance therapy	4046478	Active cycle of breathing technique
35708166	Acute abdomen	4241033	Acute abdomen
36009711	Hypersensitivity	4084167	Acute allergic reaction
35708654	Peritoneal abscess	193238	Acute appendicitis with peritoneal abscess
35104335	Acute biphenotypic leukaemia	4028711	Acute biphenotypic leukemia
35104266	Acute chest syndrome	254062	Acute chest syndrome
35909419	Cholangitis acute	4267297	Acute cholangitis
35205264	Cor pulmonale acute	312927	Acute cor pulmonale
35205179	Acute coronary syndrome	4215140	Acute coronary syndrome
35607085	Dacryoadenitis acquired	372636	Acute dacryoadenitis
35708103	Gastric dilatation	195301	Acute dilatation of stomach
36009795	Acute disseminated encephalomyelitis	374021	Acute disseminated encephalomyelitis
35708270	Duodenal ulcer	4057053	Acute duodenal ulcer
35708271	Duodenal ulcer haemorrhage	4027729	Acute duodenal ulcer with hemorrhage
35205200	Acute endocarditis	434663	Acute endocarditis
36110692	Epiglottitis obstructive	433513	Acute epiglottitis with obstruction
36110587	Infective exacerbation of chronic obstructive airways disease	257004	Acute exacerbation of chronic obstructive airways disease
36009905	Kawasaki's disease	314381	Acute febrile mucocutaneous lymph node syndrome
35104849	Acute febrile neutrophilic dermatosis	4225434	Acute febrile neutrophilic dermatosis
35708279	Gastric ulcer haemorrhage	4231580	Acute gastric ulcer with hemorrhage
35708282	Gastric ulcer perforation	4057953	Acute gastric ulcer with perforation
35708288	Anastomotic ulcer haemorrhage	4274491	Acute gastrojejunal ulcer with hemorrhage
35708289	Anastomotic ulcer perforation	4217947	Acute gastrojejunal ulcer with hemorrhage AND perforation
36211150	Acute generalised exanthematous pustulosis	45773387	Acute generalized exanthematous pustulosis
37019282	Glomerulonephritis acute	435308	Acute glomerulonephritis
36110168	Cervicitis gonococcal	193136	Acute gonococcal cervicitis
36110186	Urethritis gonococcal	4107240	Acute gonococcal urethritis
36009891	Acute graft versus host disease	439416	Acute graft-versus-host disease
35205241	Cardiac failure acute	442310	Acute heart failure
36009796	Acute haemorrhagic leukoencephalitis	4249574	Acute hemorrhagic leukoencephalitis
35707718	Pancreatitis haemorrhagic	4185268	Acute hemorrhagic pancreatitis
35909513	Acute hepatic failure	4026032	Acute hepatic failure
35909614	Hepatitis acute	4243475	Acute hepatitis
43053861	Acute hepatitis C	192242	Acute hepatitis C
36009926	Acute HIV infection	4008081	Acute HIV infection
36718600	Spinal cord infarction	4269209	Acute infarction of spinal cord
35205366	Pericarditis infective	4121476	Acute infective pericarditis
35607146	Parophthalmia	433486	Acute inflammation of orbit
35305832	Porphyria acute	4120604	Acute intermittent porphyria
36110694	Laryngotracheitis obstructive	31601	Acute laryngotracheitis with obstruction
35205254	Acute left ventricular failure	4108245	Acute left ventricular failure
35104336	Acute leukaemia	138708	Acute leukemia
35104337	Acute leukaemia in remission	135496	Acute leukemia in remission
37320184	Pityriasis lichenoides et varioliformis acuta	4314705	Acute lichenoid pityriasis
42890301	Acute lung injury	4199961	Acute lung injury
35104339	Acute lymphocytic leukaemia	134305	Acute lymphoid leukemia
35104340	Acute lymphocytic leukaemia (in remission)	141816	Acute lymphoid leukemia in remission
35104349	Acute monocytic leukaemia	135768	Acute monocytic leukemia
35104350	Acute monocytic leukaemia (in remission)	140672	Acute monocytic leukemia in remission
36211417	Mountain sickness acute	4301266	Acute mountain sickness
35406430	Otitis media acute	374049	Acute mucoid otitis media
35104351	Acute myeloid leukaemia	4073533	Acute myeloid leukemia
35104352	Acute myeloid leukaemia (in remission)	135762	Acute myeloid leukemia in remission
35104354	Acute myelomonocytic leukaemia	4149110	Acute myelomonocytic leukemia
35205180	Acute myocardial infarction	312327	Acute myocardial infarction
35707721	Pancreatitis necrotising	4303234	Acute necrotizing pancreatitis
36110972	Poliomyelitis	136330	Acute nonparalytic poliomyelitis
36110467	Osteomyelitis acute	133002	Acute osteomyelitis
35809247	Post-traumatic pain	4333227	Acute pain due to injury
35707714	Pancreatitis acute	199074	Acute pancreatitis
35506541	Renal papillary necrosis	4152839	Acute papillary necrosis
36919075	Paranoia	438737	Acute paranoid reaction
35607375	Retinal pigment epitheliopathy	438744	Acute posterior multifocal placoid pigment epitheliopathy
35104085	Haemorrhagic anaemia	434894	Acute posthemorrhagic anemia
36109993	Post streptococcal glomerulonephritis	4286024	Acute post-streptococcal glomerulonephritis
35104355	Acute promyelocytic leukaemia	4103718	Acute promyelocytic leukemia
35205255	Acute pulmonary oedema	261600	Acute pulmonary edema
36110411	Acute pulmonary histoplasmosis	4241693	Acute pulmonary histoplasmosis
35205372	Purulent pericarditis	4103288	Acute purulent pericarditis
36110723	Pyelonephritis acute	4139915	Acute pyelitis
37080784	Acute kidney injury	197320	Acute renal failure syndrome
37219925	Acute respiratory failure	319049	Acute respiratory failure
35205208	Endocarditis rheumatic	437897	Acute rheumatic endocarditis
36110687	Acute sinusitis	260123	Acute sinusitis
36918909	Acute stress disorder	440083	Acute stress disorder
36110703	Pseudocroup	4048492	Acute subglottic laryngitis
35506768	Thyroiditis acute	133737	Acute thyroiditis
36110688	Acute tonsillitis	24660	Acute tonsillitis
36110711	Tracheitis obstructive	255566	Acute tracheitis with obstruction
36717969	Myelitis transverse	139803	Acute transverse myelitis
37019358	Renal tubular necrosis	444044	Acute tubular necrosis
43053860	Acute hepatitis B	197795	Acute type B viral hepatitis
36110530	Vaginal infection	4081648	Acute vaginitis
45886425	Acute zonal occult outer retinopathy	4210131	Acute zonal occult outer retinopathy
35305908	Adactyly	4169990	Adactyly
36918918	Attention deficit/hyperactivity disorder	4228617	Add
35506457	Addison's disease	443394	Addison's disease
36617287	Adenocarcinoma	4262123	Adenocarcinoma
43053818	Adenocarcinoma of appendix	4184849	Adenocarcinoma of appendix
36617562	Adenocarcinoma of the cervix	4110872	Adenocarcinoma of cervix
43054043	Endometrial adenocarcinoma	4048226	Adenocarcinoma of endometrium
35708510	Oesophageal adenocarcinoma	4081043	Adenocarcinoma of esophagus
36617821	Lung adenocarcinoma	4112738	Adenocarcinoma of lung
36617825	Lung adenocarcinoma stage I	4308784	Adenocarcinoma of lung, stage I
36617826	Lung adenocarcinoma stage II	4314832	Adenocarcinoma of lung, stage II
36617827	Lung adenocarcinoma stage III	4311452	Adenocarcinoma of lung, stage III
36617828	Lung adenocarcinoma stage IV	4314156	Adenocarcinoma of lung, stage IV
36617822	Lung adenocarcinoma metastatic	4314156	Adenocarcinoma of lung, stage IV
35708536	Adenocarcinoma pancreas	45763891	Adenocarcinoma of pancreas
36617702	Prostate cancer	4161028	Adenocarcinoma of prostate
43053819	Adenocarcinoma of colon	4200514	Adenocarcinoma of sigmoid colon
36617249	Adenoma benign	4106411	Adenofibroma
36617288	Adenoid cystic carcinoma	4022895	Adenoid cystic carcinoma
43053827	Adenoid cystic carcinoma of salivary gland	4309400	Adenoid cystic carcinoma of salivary gland
37220040	Adenoidal hypertrophy	439042	Adenoid vegetations
35104723	Adenoiditis	4289744	Adenoiditis
42889214	Adenolymphoma	4048446	Adenolymphoma
43562682	Papillary cystadenoma lymphomatosum	4048446	Adenolymphoma
35707606	Rectal adenoma	4269748	Adenoma of rectum
35305680	Adenomatous polyposis coli	4324390	Adenomatous polyposis coli
36617563	Adenosquamous carcinoma of the cervix	4116081	Adenosquamous carcinoma of cervix
36617289	Adenosquamous cell carcinoma	4298029	Adenosquamous cell carcinoma
35707909	Gastroenteritis adenovirus	193120	Adenoviral enteritis
36110853	Meningoencephalitis adenoviral	436903	Adenoviral meningitis
36110854	Pneumonia adenoviral	254677	Adenoviral pneumonia
35809109	Adhesion	4175338	Adhesion
35708675	Abdominal adhesions	4107244	Adhesion of intestine
37219853	Pleural adhesion	4141908	Adhesion of pleura
35606889	Iris adhesions	432319	Adhesions and disruptions of iris and ciliary body
35406419	Middle ear adhesions	375820	Adhesive middle ear disease
35205375	Pericarditis adhesive	312928	Adhesive pericarditis
35506660	Adiposogenital dystrophy	4271317	Adiposogenital dystrophy
36416591	Oligodipsia	4229910	Adipsia
45885835	Adjusted calcium	4121872	Adjusted calcium
36918846	Adjustment disorder	436677	Adjustment disorder
36918847	Adjustment disorder with anxiety	436075	Adjustment disorder with anxious mood
36918848	Adjustment disorder with depressed mood	442306	Adjustment disorder with depressed mood
36918849	Adjustment disorder with disturbance of conduct	435799	Adjustment disorder with disturbance of conduct
36918851	Adjustment disorder with mixed disturbance of emotion and conduct	436076	Adjustment disorder with mixed disturbance of emotions AND conduct
36918850	Adjustment disorder with mixed anxiety and depressed mood	433454	Adjustment disorder with mixed emotional features
37420346	Adolescence	4139801	Adolescence
36516925	Kyphosis	75351	Adolescent postural kyphosis
37420422	Adoption	4023148	Adoption
35506481	Adrenal adenoma	4112987	Adrenal adenoma
35506458	Adrenal atrophy	4030214	Adrenal atrophy
43053745	Adrenal calcification	4046503	Adrenal calcification
43053746	Adrenal gland cancer	4116230	Adrenal carcinoma
35506483	Adrenal cyst	4030337	Adrenal cyst
35506475	Adrenal haemorrhage	4173897	Adrenal hemorrhage
35506459	Adrenal insufficiency	193984	Adrenal hypofunction
35506476	Adrenal mass	4029581	Adrenal mass
35506450	Hyperadrenocorticism	438123	Adrenocortical hyperfunction
35306074	Adrenoleukodystrophy	4276356	Adrenoleukodystrophy
36009837	Still's disease adult onset	4344166	Adult onset Still's disease
37219850	Acute respiratory distress syndrome	4195694	Adult respiratory distress syndrome
35104574	Adult T-cell lymphoma/leukaemia	4300174	Adult T-cell leukemia/lymphoma
36818816	Pregnancy with advanced maternal age	441092	Advanced maternal age gravida
36211499	Anaesthetic complication	435720	Adverse anesthesia outcome
35809321	Adverse reaction	4105886	Adverse reaction
35809319	Adverse drug reaction	441207	Adverse reaction to drug
36416547	Low turnover osteopathy	4126449	Adynamic bone disease
35708152	Aerophagia	4148787	Aerophagy
36919053	Affective disorder	40480415	Affective psychosis
35708217	Afferent loop syndrome	4049350	Afferent loop syndrome
36110827	African trypanosomiasis	438344	African trypanosomiasis
42889192	Age-related macular degeneration	374028	Age related macular degeneration
37420413	Aged parent	4052770	Aged parents
35305607	Lacrimal punctum agenesis	4070198	Agenesis of punctum lacrimale
36009860	Amyloidosis senile	4289319	Age-related amyloidosis
36718346	Agitated depression	4308866	Agitated depression
36718292	Agnosia	4173136	Agnosia
36918864	Agoraphobia	4321835	Agoraphobia
35104874	Agranulocytosis	440689	Agranulocytosis
36718293	Agraphia	4098868	Agraphia
35306097	Aicardi's syndrome	4216211	Aicardi's syndrome
36009925	Acquired immunodeficiency syndrome	4267414	AIDS
36516890	Ainhum	136912	Ainhum
36211644	Air embolism	4156949	Air embolism
36211739	Pulmonary air leakage	43020567	Air leaking from lung
37219808	Reversible airways obstruction	4015818	Airways obstruction reversible
36718193	Akathisia	4108925	Akathisia
36718194	Akinesia	4143471	Akinesia
36718231	Locked-in syndrome	4203306	Akinetic mutism
36313521	Alanine aminotransferase	4211515	Alanine aminotransferase
35305761	Albinism	4049014	Albinism
36315469	Blood albumin	4199139	Albumin
36315408	Albumin globulin ratio	4288601	Albumin/Globulin ratio
37019412	Albuminuria	4168705	Albuminuria
36516776	Ochronosis	4254774	Alcaptonuric ochronosis
36919123	Alcohol abuse	433753	Alcohol abuse
36416614	Alcohol intolerance	4010023	Alcohol intolerance
36316306	Urine alcohol test	4139290	Alcohol measurement, urine
35809366	Delirium tremens	377830	Alcohol withdrawal delirium
35809365	Alcohol withdrawal syndrome	375519	Alcohol withdrawal syndrome
35607435	Amblyopia alcohol	4322643	Alcoholic amblyopia
35909525	Cirrhosis alcoholic	196463	Alcoholic cirrhosis
35909609	Fatty liver alcoholic	193256	Alcoholic fatty liver
35708051	Gastritis alcoholic	195300	Alcoholic gastritis
35909615	Hepatitis alcoholic	4340383	Alcoholic hepatitis
35909604	Alcoholic liver disease	201612	Alcoholic liver damage
36416505	Polyneuropathy alcoholic	378421	Alcoholic polyneuropathy
37420414	Alcoholic relative	4046300	Alcoholic spouse
35707704	Alcoholic pancreatitis	40483827	Alcohol-induced pancreatitis
35506446	Alcoholic pseudo Cushing's syndrome	4028805	Alcohol-induced pseudo-Cushing's syndrome
36211154	Alcoholic psychosis	374317	Alcohol-induced psychosis
36919125	Alcoholism	4218106	Alcoholism
36718522	Alcoholic seizure	4176651	Alcohol-related fit
35104322	Aleukaemic leukaemia	4121332	Aleukemic leukemia
36718294	Alexia	440084	Alexia
36312565	Blood alkaline phosphatase	4210900	Alkaline phosphatase
36416490	Alkalosis	438730	Alkalosis
35305762	Alkaptonuria	4231182	Alkaptonuria
35306133	Urachal abnormality	4066019	Allantoic cyst
36009699	Arthritis allergic	72992	Allergic arthritis
36009684	Allergic bronchitis	4233477	Allergic bronchitis
35104824	Bronchopulmonary aspergillosis allergic	257583	Allergic bronchopulmonary aspergillosis
35708037	Allergic colitis	4146762	Allergic colitis
36009685	Allergic cough	4116989	Allergic cough
36009705	Encephalopathy allergic	4324289	Allergic encephalitis
36009802	Encephalitis allergic	4324289	Allergic encephalitis
45885913	Allergic eosinophilia	4272496	Allergic eosinophilia
45886001	Allergic gastroenteritis	4094215	Allergic gastroenteritis
35104822	Allergic granulomatous angiitis	4305666	Allergic granulomatosis angiitis
42889493	Allergic hepatitis	4139051	Allergic hepatitis
45885857	Allergic otitis externa	4233622	Allergic otitis externa
35406424	Allergic otitis media	4095693	Allergic otitis media
36009687	Allergic pharyngitis	4112008	Allergic pharyngitis
36009693	Allergy to arthropod sting	4086860	Allergic reaction to bee sting
36009773	Rhinitis allergic	257007	Allergic rhinitis
36009690	Allergic transfusion reaction	4237543	Allergic transfusion reaction
36313830	Allergy test positive	4064988	Allergy test positive
36009695	Allergy to plants	4292521	Allergy to plant
36009691	Allergy to animal	4139700	Allergy to wool
36110317	Allescheriosis	442185	Allescheriosis
36718385	Allodynia	4083293	Allodynia
36009868	Refractoriness to platelet transfusion	4027374	Alloimmune platelet transfusion refractoriness
37320268	Alopecia	133280	Alopecia
37320269	Alopecia areata	141933	Alopecia areata
37320272	Alopecia totalis	4056343	Alopecia totalis
37320273	Alopecia universalis	4312756	Alopecia universalis
35305824	Alpha-1 anti-trypsin deficiency	192275	Alpha-1-antitrypsin deficiency
36315417	Alpha 1 foetoprotein normal	4042555	Alpha-fetoprotein normal
35305634	Alstroem syndrome	4270189	Alstrom syndrome
35708116	Change of bowel habit	4338120	Altered bowel function
36919118	Mental status changes	436222	Altered mental status
35607276	Heterophoria	372650	Alternating hyperphoria
36316211	Blood aluminium	4052298	Aluminum
43054151	Alveolar rhabdomyosarcoma	4272931	Alveolar rhabdomyosarcoma
36517021	Alveolar soft part sarcoma	4301648	Alveolar soft part sarcoma
35707623	Alveolar osteitis	201332	Alveolitis of jaw
36718157	Dementia Alzheimer's type	378419	Alzheimer's disease
35707670	Amalgam tattoo	4001521	Amalgam tattoo
35607439	Amaurosis	4290687	Amaurosis
35607440	Amaurosis fugax	4338523	Amaurosis fugax
35607434	Amblyopia	376981	Amblyopia
36110802	Amoebic brain abscess	373684	Amebic brain abscess
35707987	Amoebic dysentery	4302676	Amebic dysentery
36110812	Encephalitis protozoal	4045979	Amebic encephalitis
35707985	Amoebiasis	438959	Amebic infection
35909533	Hepatic amoebiasis	194560	Amebic liver abscess
36110803	Amoebic lung abscess	256023	Amebic lung abscess
